Organization Name,Invested In,Api Url,Description,Rank
Great Oaks Venture Capital,verb-energy-inc,https://api.crunchbase.com/v3.1/organizations/verb-energy-inc,"",6303
Great Oaks Venture Capital,weller,https://api.crunchbase.com/v3.1/organizations/weller,"",4181
Great Oaks Venture Capital,pillar-app,https://api.crunchbase.com/v3.1/organizations/pillar-app,"",4411
Great Oaks Venture Capital,by-humankind,https://api.crunchbase.com/v3.1/organizations/by-humankind,"",6472
Great Oaks Venture Capital,king-children,https://api.crunchbase.com/v3.1/organizations/king-children,"",18048
Great Oaks Venture Capital,maven-clinic,https://api.crunchbase.com/v3.1/organizations/maven-clinic,"",2170
Great Oaks Venture Capital,cylera,https://api.crunchbase.com/v3.1/organizations/cylera,"",10099
Great Oaks Venture Capital,inbox-2,https://api.crunchbase.com/v3.1/organizations/inbox-2,"",3298
Great Oaks Venture Capital,blast-427f,https://api.crunchbase.com/v3.1/organizations/blast-427f,"",50027
Great Oaks Venture Capital,verge-genomics,https://api.crunchbase.com/v3.1/organizations/verge-genomics,"",4579
Great Oaks Venture Capital,grubmarket-inc,https://api.crunchbase.com/v3.1/organizations/grubmarket-inc,"",25193
Great Oaks Venture Capital,poquito,https://api.crunchbase.com/v3.1/organizations/poquito,"",10427
Great Oaks Venture Capital,bolt-5,https://api.crunchbase.com/v3.1/organizations/bolt-5,"",2305
Great Oaks Venture Capital,porter-road-butcher,https://api.crunchbase.com/v3.1/organizations/porter-road-butcher,"",20564
Great Oaks Venture Capital,tentrr,https://api.crunchbase.com/v3.1/organizations/tentrr,"",8879
Great Oaks Venture Capital,huckleberry,https://api.crunchbase.com/v3.1/organizations/huckleberry,"",6373
Great Oaks Venture Capital,ribbonhealth,https://api.crunchbase.com/v3.1/organizations/ribbonhealth,"",75248
Great Oaks Venture Capital,smithrx,https://api.crunchbase.com/v3.1/organizations/smithrx,"",8677
Great Oaks Venture Capital,petal,https://api.crunchbase.com/v3.1/organizations/petal,"",1761
Great Oaks Venture Capital,rumble-3,https://api.crunchbase.com/v3.1/organizations/rumble-3,"",68871
Great Oaks Venture Capital,welkin-health,https://api.crunchbase.com/v3.1/organizations/welkin-health,"",3372
Great Oaks Venture Capital,rep-the-squad,https://api.crunchbase.com/v3.1/organizations/rep-the-squad,"",26904
Great Oaks Venture Capital,scoutible,https://api.crunchbase.com/v3.1/organizations/scoutible,"",10838
Great Oaks Venture Capital,built-robotics,https://api.crunchbase.com/v3.1/organizations/built-robotics,"",3560
Great Oaks Venture Capital,thinkcerca,https://api.crunchbase.com/v3.1/organizations/thinkcerca,"",11985
Great Oaks Venture Capital,eaze-2,https://api.crunchbase.com/v3.1/organizations/eaze-2,"",471
Great Oaks Venture Capital,herb,https://api.crunchbase.com/v3.1/organizations/herb,"",59003
Great Oaks Venture Capital,minibar-delivery,https://api.crunchbase.com/v3.1/organizations/minibar-delivery,"",9551
Great Oaks Venture Capital,mojilala,https://api.crunchbase.com/v3.1/organizations/mojilala,"",29081
Great Oaks Venture Capital,creator,https://api.crunchbase.com/v3.1/organizations/creator,"",5524
