Organization Name,Invested In,Api Url,Description,Rank
Green D Ventures,tundra,https://api.crunchbase.com/v3.1/organizations/tundra,"",2391
Green D Ventures,mdmetrix,https://api.crunchbase.com/v3.1/organizations/mdmetrix,"",24301
Green D Ventures,true-rowing,https://api.crunchbase.com/v3.1/organizations/true-rowing,"",2202
Green D Ventures,scipher-medicine,https://api.crunchbase.com/v3.1/organizations/scipher-medicine,"",12668
Green D Ventures,almanac-labs,https://api.crunchbase.com/v3.1/organizations/almanac-labs,"",304141
Green D Ventures,stellaservice,https://api.crunchbase.com/v3.1/organizations/stellaservice,"",4824
Green D Ventures,trm-labs,https://api.crunchbase.com/v3.1/organizations/trm-labs,"",20409
Green D Ventures,pharmaccx,https://api.crunchbase.com/v3.1/organizations/pharmaccx,"",18147
Green D Ventures,localwise,https://api.crunchbase.com/v3.1/organizations/localwise,"",24241
Green D Ventures,welbehealth,https://api.crunchbase.com/v3.1/organizations/welbehealth,"",11937
Green D Ventures,zippity,https://api.crunchbase.com/v3.1/organizations/zippity,"",17280
Green D Ventures,structural,https://api.crunchbase.com/v3.1/organizations/structural,"",22638
Green D Ventures,verity-studios,https://api.crunchbase.com/v3.1/organizations/verity-studios,"",13387
Green D Ventures,sail-internet,https://api.crunchbase.com/v3.1/organizations/sail-internet,"",23803
Green D Ventures,realself,https://api.crunchbase.com/v3.1/organizations/realself,"",5088
Green D Ventures,datanomix,https://api.crunchbase.com/v3.1/organizations/datanomix,"",37039
Green D Ventures,accolade,https://api.crunchbase.com/v3.1/organizations/accolade,"",394
Green D Ventures,commonbond,https://api.crunchbase.com/v3.1/organizations/commonbond,"",1102
Green D Ventures,headlight-aa88,https://api.crunchbase.com/v3.1/organizations/headlight-aa88,"",143996
Green D Ventures,chatlingual,https://api.crunchbase.com/v3.1/organizations/chatlingual,"",46639
Green D Ventures,relayr,https://api.crunchbase.com/v3.1/organizations/relayr,"",1844
Green D Ventures,siris-medical,https://api.crunchbase.com/v3.1/organizations/siris-medical,"",31229
Green D Ventures,propelplm-inc,https://api.crunchbase.com/v3.1/organizations/propelplm-inc,"",5500
Green D Ventures,horsepower-technologies,https://api.crunchbase.com/v3.1/organizations/horsepower-technologies,"",35497
Green D Ventures,prenav,https://api.crunchbase.com/v3.1/organizations/prenav,"",13682
Green D Ventures,deserve,https://api.crunchbase.com/v3.1/organizations/deserve,"",2316
Green D Ventures,groups,https://api.crunchbase.com/v3.1/organizations/groups,"",74822
Green D Ventures,iris-plans,https://api.crunchbase.com/v3.1/organizations/iris-plans,"",21789
Green D Ventures,c2sense,https://api.crunchbase.com/v3.1/organizations/c2sense,"",22609
Green D Ventures,speakaboos,https://api.crunchbase.com/v3.1/organizations/speakaboos,"",9687
Green D Ventures,snappr-2,https://api.crunchbase.com/v3.1/organizations/snappr-2,"",6663
Green D Ventures,deako,https://api.crunchbase.com/v3.1/organizations/deako,"",10062
Green D Ventures,revolutioncredit,https://api.crunchbase.com/v3.1/organizations/revolutioncredit,"",14659
Green D Ventures,integrate,https://api.crunchbase.com/v3.1/organizations/integrate,"",3318
Green D Ventures,rinse,https://api.crunchbase.com/v3.1/organizations/rinse,"",2893
Green D Ventures,logistyx-technologies,https://api.crunchbase.com/v3.1/organizations/logistyx-technologies,"",94167
Green D Ventures,domo,https://api.crunchbase.com/v3.1/organizations/domo,"",12590
Green D Ventures,gaurdhat-technologies,https://api.crunchbase.com/v3.1/organizations/gaurdhat-technologies,"",7693
Green D Ventures,upstart,https://api.crunchbase.com/v3.1/organizations/upstart,"",9915
