Organization Name,Invested In,Api Url,Description,Rank
Group 11,tripactions,https://api.crunchbase.com/v3.1/organizations/tripactions,"",2996
Group 11,sunbit,https://api.crunchbase.com/v3.1/organizations/sunbit,"",2071
Group 11,next-insurance,https://api.crunchbase.com/v3.1/organizations/next-insurance,"",1496
Group 11,tipalti,https://api.crunchbase.com/v3.1/organizations/tipalti,"",924
Group 11,globetouch,https://api.crunchbase.com/v3.1/organizations/globetouch,"",46791
Group 11,homelight,https://api.crunchbase.com/v3.1/organizations/homelight,"",428
Group 11,see-jane-farm,https://api.crunchbase.com/v3.1/organizations/see-jane-farm,"",15492
Group 11,addepar,https://api.crunchbase.com/v3.1/organizations/addepar,"",612
Group 11,skygiraffe,https://api.crunchbase.com/v3.1/organizations/skygiraffe,"",11099
Group 11,redkix,https://api.crunchbase.com/v3.1/organizations/redkix,"",9874
Group 11,covercy,https://api.crunchbase.com/v3.1/organizations/covercy,"",17832
Group 11,omnity,https://api.crunchbase.com/v3.1/organizations/omnity,"",124054
Group 11,loop-commerce,https://api.crunchbase.com/v3.1/organizations/loop-commerce,"",5590
Group 11,keywee,https://api.crunchbase.com/v3.1/organizations/keywee,"",8696
Group 11,vydia-inc,https://api.crunchbase.com/v3.1/organizations/vydia-inc,"",14627
Group 11,switch-2,https://api.crunchbase.com/v3.1/organizations/switch-2,"",10198
Group 11,wondermall,https://api.crunchbase.com/v3.1/organizations/wondermall,"",105272
Group 11,booshaka,https://api.crunchbase.com/v3.1/organizations/booshaka,"",16067
Group 11,alibaba,https://api.crunchbase.com/v3.1/organizations/alibaba,"",530
Group 11,the-bouqs-company,https://api.crunchbase.com/v3.1/organizations/the-bouqs-company,"",3982
Group 11,genzum-life-sciences,https://api.crunchbase.com/v3.1/organizations/genzum-life-sciences,"",41441
Group 11,opengov,https://api.crunchbase.com/v3.1/organizations/opengov,"",2010
Group 11,any-do,https://api.crunchbase.com/v3.1/organizations/any-do,"",7941
Group 11,social-finance,https://api.crunchbase.com/v3.1/organizations/social-finance,"",6053
Group 11,tango-card,https://api.crunchbase.com/v3.1/organizations/tango-card,"",4033
Group 11,energous-corporation,https://api.crunchbase.com/v3.1/organizations/energous-corporation,"",8323
Group 11,talkspace,https://api.crunchbase.com/v3.1/organizations/talkspace,"",681
Group 11,radpad,https://api.crunchbase.com/v3.1/organizations/radpad,"",12777
Group 11,salespredict,https://api.crunchbase.com/v3.1/organizations/salespredict,"",14371
Group 11,healthsherpa,https://api.crunchbase.com/v3.1/organizations/healthsherpa,"",10544
Group 11,younow,https://api.crunchbase.com/v3.1/organizations/younow,"",2396
Group 11,interlude,https://api.crunchbase.com/v3.1/organizations/interlude,"",945
Group 11,webflakes,https://api.crunchbase.com/v3.1/organizations/webflakes,"",52493
Group 11,duda,https://api.crunchbase.com/v3.1/organizations/duda,"",43180
Group 11,fireblade,https://api.crunchbase.com/v3.1/organizations/fireblade,"",44050
Group 11,rolepoint,https://api.crunchbase.com/v3.1/organizations/rolepoint,"",10828
Group 11,rentmetrics,https://api.crunchbase.com/v3.1/organizations/rentmetrics,"",132371
Group 11,saygent,https://api.crunchbase.com/v3.1/organizations/saygent,"",44783
Group 11,commerce-sciences,https://api.crunchbase.com/v3.1/organizations/commerce-sciences,"",28918
Group 11,zao-com,https://api.crunchbase.com/v3.1/organizations/zao-com,"",37066
