Organization Name,Invested In,Api Url,Description,Rank
GSV AcceleraTE,degreed,https://api.crunchbase.com/v3.1/organizations/degreed,"",2838
GSV AcceleraTE,peoplegrove,https://api.crunchbase.com/v3.1/organizations/peoplegrove,"",4632
GSV AcceleraTE,collegepulse,https://api.crunchbase.com/v3.1/organizations/collegepulse,"",8356
GSV AcceleraTE,fairygodboss,https://api.crunchbase.com/v3.1/organizations/fairygodboss,"",7019
GSV AcceleraTE,classdojo,https://api.crunchbase.com/v3.1/organizations/classdojo,"",2576
GSV AcceleraTE,ansaro,https://api.crunchbase.com/v3.1/organizations/ansaro,"",25114
GSV AcceleraTE,gradescope,https://api.crunchbase.com/v3.1/organizations/gradescope,"",11408
GSV AcceleraTE,thinkcerca,https://api.crunchbase.com/v3.1/organizations/thinkcerca,"",11985
GSV AcceleraTE,lightneer,https://api.crunchbase.com/v3.1/organizations/lightneer,"",23890
GSV AcceleraTE,hustle-inc,https://api.crunchbase.com/v3.1/organizations/hustle-inc,"",1967
GSV AcceleraTE,creativelive,https://api.crunchbase.com/v3.1/organizations/creativelive,"",5697
GSV AcceleraTE,voxy,https://api.crunchbase.com/v3.1/organizations/voxy,"",6404
GSV AcceleraTE,raise-labs-inc,https://api.crunchbase.com/v3.1/organizations/raise-labs-inc,"",3969
GSV AcceleraTE,masterclass,https://api.crunchbase.com/v3.1/organizations/masterclass,"",69
GSV AcceleraTE,campuslogic,https://api.crunchbase.com/v3.1/organizations/campuslogic,"",2900
GSV AcceleraTE,nearpod,https://api.crunchbase.com/v3.1/organizations/nearpod,"",34523
GSV AcceleraTE,andela,https://api.crunchbase.com/v3.1/organizations/andela,"",804
GSV AcceleraTE,tynker,https://api.crunchbase.com/v3.1/organizations/tynker,"",6066
GSV AcceleraTE,speakaboos,https://api.crunchbase.com/v3.1/organizations/speakaboos,"",9687
GSV AcceleraTE,motimatic,https://api.crunchbase.com/v3.1/organizations/motimatic,"",15593
GSV AcceleraTE,educents,https://api.crunchbase.com/v3.1/organizations/educents,"",9391
GSV AcceleraTE,noredink,https://api.crunchbase.com/v3.1/organizations/noredink,"",9500
GSV AcceleraTE,clever,https://api.crunchbase.com/v3.1/organizations/clever,"",856
GSV AcceleraTE,coursehero,https://api.crunchbase.com/v3.1/organizations/coursehero,"",972
GSV AcceleraTE,iparadigms-inc,https://api.crunchbase.com/v3.1/organizations/iparadigms-inc,"",85366
GSV AcceleraTE,pluralsight,https://api.crunchbase.com/v3.1/organizations/pluralsight,"",9911
GSV AcceleraTE,masteryconnect,https://api.crunchbase.com/v3.1/organizations/masteryconnect,"",10090
GSV AcceleraTE,think-through-learning,https://api.crunchbase.com/v3.1/organizations/think-through-learning,"",29038
GSV AcceleraTE,hotchalk,https://api.crunchbase.com/v3.1/organizations/hotchalk,"",7577
