Organization Name,Invested In,Api Url,Description,Rank
Halogen Ventures,trustandwill,https://api.crunchbase.com/v3.1/organizations/trustandwill,"",9591
Halogen Ventures,partyslate,https://api.crunchbase.com/v3.1/organizations/partyslate,"",12474
Halogen Ventures,shipsi-inc,https://api.crunchbase.com/v3.1/organizations/shipsi-inc,"",8187
Halogen Ventures,one-potato-c0d2,https://api.crunchbase.com/v3.1/organizations/one-potato-c0d2,"",124623
Halogen Ventures,the-flex-company,https://api.crunchbase.com/v3.1/organizations/the-flex-company,"",2089
Halogen Ventures,tinted,https://api.crunchbase.com/v3.1/organizations/tinted,"",104135
Halogen Ventures,goodr,https://api.crunchbase.com/v3.1/organizations/goodr,"",13081
Halogen Ventures,hopskipdrive,https://api.crunchbase.com/v3.1/organizations/hopskipdrive,"",3591
Halogen Ventures,tea-drops,https://api.crunchbase.com/v3.1/organizations/tea-drops,"",23462
Halogen Ventures,senreve,https://api.crunchbase.com/v3.1/organizations/senreve,"",77940
Halogen Ventures,the-skimm,https://api.crunchbase.com/v3.1/organizations/the-skimm,"",2413
Halogen Ventures,ffinery,https://api.crunchbase.com/v3.1/organizations/ffinery,"",10617
Halogen Ventures,preemadonna,https://api.crunchbase.com/v3.1/organizations/preemadonna,"",31231
Halogen Ventures,scribblechat,https://api.crunchbase.com/v3.1/organizations/scribblechat,"",56300
Halogen Ventures,the-sill,https://api.crunchbase.com/v3.1/organizations/the-sill,"",5084
Halogen Ventures,molly,https://api.crunchbase.com/v3.1/organizations/molly,"",65115
Halogen Ventures,vida-co,https://api.crunchbase.com/v3.1/organizations/vida-co,"",8278
Halogen Ventures,werk,https://api.crunchbase.com/v3.1/organizations/werk,"",14922
Halogen Ventures,the-levo-league,https://api.crunchbase.com/v3.1/organizations/the-levo-league,"",9383
Halogen Ventures,blue-fever,https://api.crunchbase.com/v3.1/organizations/blue-fever,"",10229
Halogen Ventures,broadway-roulette,https://api.crunchbase.com/v3.1/organizations/broadway-roulette,"",192293
Halogen Ventures,silvernest,https://api.crunchbase.com/v3.1/organizations/silvernest,"",9384
Halogen Ventures,therelishmediagroup,https://api.crunchbase.com/v3.1/organizations/therelishmediagroup,"",126954
Halogen Ventures,barn-willow,https://api.crunchbase.com/v3.1/organizations/barn-willow,"",26877
Halogen Ventures,inked-brands,https://api.crunchbase.com/v3.1/organizations/inked-brands,"",18963
Halogen Ventures,ying,https://api.crunchbase.com/v3.1/organizations/ying,"",161432
Halogen Ventures,armoire,https://api.crunchbase.com/v3.1/organizations/armoire,"",5782
Halogen Ventures,tentrr,https://api.crunchbase.com/v3.1/organizations/tentrr,"",8879
Halogen Ventures,carbon38,https://api.crunchbase.com/v3.1/organizations/carbon38,"",33541
Halogen Ventures,bulletin,https://api.crunchbase.com/v3.1/organizations/bulletin,"",943
Halogen Ventures,clover-letter,https://api.crunchbase.com/v3.1/organizations/clover-letter,"",203847
Halogen Ventures,seedling,https://api.crunchbase.com/v3.1/organizations/seedling,"",15463
Halogen Ventures,dog-parker,https://api.crunchbase.com/v3.1/organizations/dog-parker,"",23129
Halogen Ventures,peek-com,https://api.crunchbase.com/v3.1/organizations/peek-com,"",524
Halogen Ventures,naia-health,https://api.crunchbase.com/v3.1/organizations/naia-health,"",20111
