Organization Name,Invested In,Api Url,Description,Rank
Harbert Growth Partners,stellaservice,https://api.crunchbase.com/v3.1/organizations/stellaservice,"",4824
Harbert Growth Partners,cloud-elements,https://api.crunchbase.com/v3.1/organizations/cloud-elements,"",3391
Harbert Growth Partners,temperpack,https://api.crunchbase.com/v3.1/organizations/temperpack,"",4131
Harbert Growth Partners,springbot,https://api.crunchbase.com/v3.1/organizations/springbot,"",5651
Harbert Growth Partners,ceterus,https://api.crunchbase.com/v3.1/organizations/ceterus,"",10886
Harbert Growth Partners,clinipace-worldwide,https://api.crunchbase.com/v3.1/organizations/clinipace-worldwide,"",9173
Harbert Growth Partners,voci-technologies,https://api.crunchbase.com/v3.1/organizations/voci-technologies,"",6189
Harbert Growth Partners,algolux,https://api.crunchbase.com/v3.1/organizations/algolux,"",7734
Harbert Growth Partners,cloudbilt,https://api.crunchbase.com/v3.1/organizations/cloudbilt,"",2221
Harbert Growth Partners,sidecar,https://api.crunchbase.com/v3.1/organizations/sidecar,"",1548
Harbert Growth Partners,iconixx-software,https://api.crunchbase.com/v3.1/organizations/iconixx-software,"",22295
Harbert Growth Partners,invincea,https://api.crunchbase.com/v3.1/organizations/invincea,"",15126
Harbert Growth Partners,shipt-2,https://api.crunchbase.com/v3.1/organizations/shipt-2,"",1134
Harbert Growth Partners,envera-health,https://api.crunchbase.com/v3.1/organizations/envera-health,"",19485
Harbert Growth Partners,netsertive,https://api.crunchbase.com/v3.1/organizations/netsertive,"",4174
Harbert Growth Partners,caresync,https://api.crunchbase.com/v3.1/organizations/caresync,"",13466
Harbert Growth Partners,healthcare-interactive,https://api.crunchbase.com/v3.1/organizations/healthcare-interactive,"",32765
Harbert Growth Partners,kineticor,https://api.crunchbase.com/v3.1/organizations/kineticor,"",42339
Harbert Growth Partners,wisertogether,https://api.crunchbase.com/v3.1/organizations/wisertogether,"",18152
Harbert Growth Partners,racemi,https://api.crunchbase.com/v3.1/organizations/racemi,"",17240
Harbert Growth Partners,returbo,https://api.crunchbase.com/v3.1/organizations/returbo,"",224256
Harbert Growth Partners,peoplematter,https://api.crunchbase.com/v3.1/organizations/peoplematter,"",14284
Harbert Growth Partners,ingagepatient,https://api.crunchbase.com/v3.1/organizations/ingagepatient,"",53988
Harbert Growth Partners,mobile-posse,https://api.crunchbase.com/v3.1/organizations/mobile-posse,"",14292
Harbert Growth Partners,openq,https://api.crunchbase.com/v3.1/organizations/openq,"",47367
Harbert Growth Partners,ncontact-surgical,https://api.crunchbase.com/v3.1/organizations/ncontact-surgical,"",64788
Harbert Growth Partners,controlscan,https://api.crunchbase.com/v3.1/organizations/controlscan,"",25347
Harbert Growth Partners,clarabridge,https://api.crunchbase.com/v3.1/organizations/clarabridge,"",3017
Harbert Growth Partners,innovative-biosensors,https://api.crunchbase.com/v3.1/organizations/innovative-biosensors,"",56771
Harbert Growth Partners,unitrends-software,https://api.crunchbase.com/v3.1/organizations/unitrends-software,"",16329
Harbert Growth Partners,aldagen,https://api.crunchbase.com/v3.1/organizations/aldagen,"",72947
Harbert Growth Partners,agility-healthcare-solution,https://api.crunchbase.com/v3.1/organizations/agility-healthcare-solution,"",293707
Harbert Growth Partners,privaris,https://api.crunchbase.com/v3.1/organizations/privaris,"",54057
Harbert Growth Partners,taproot-systems,https://api.crunchbase.com/v3.1/organizations/taproot-systems,"",96088
Harbert Growth Partners,broadsource,https://api.crunchbase.com/v3.1/organizations/broadsource,"",263450
Harbert Growth Partners,maxcyte,https://api.crunchbase.com/v3.1/organizations/maxcyte,"",29017
