Organization Name,Invested In,Api Url,Description,Rank
Hard Yaka,transfergo,https://api.crunchbase.com/v3.1/organizations/transfergo,"",3368
Hard Yaka,cogni,https://api.crunchbase.com/v3.1/organizations/cogni,"",6996
Hard Yaka,tangotrade,https://api.crunchbase.com/v3.1/organizations/tangotrade,"",82737
Hard Yaka,kava-labs,https://api.crunchbase.com/v3.1/organizations/kava-labs,"",8955
Hard Yaka,yoyo,https://api.crunchbase.com/v3.1/organizations/yoyo,"",2332
Hard Yaka,smbx,https://api.crunchbase.com/v3.1/organizations/smbx,"",8889
Hard Yaka,reby,https://api.crunchbase.com/v3.1/organizations/reby,"",69380
Hard Yaka,global-id,https://api.crunchbase.com/v3.1/organizations/global-id,"",7882
Hard Yaka,ballotready,https://api.crunchbase.com/v3.1/organizations/ballotready,"",21036
Hard Yaka,hal-cash,https://api.crunchbase.com/v3.1/organizations/hal-cash,"",61183
Hard Yaka,empyr,https://api.crunchbase.com/v3.1/organizations/empyr,"",7022
Hard Yaka,finerio,https://api.crunchbase.com/v3.1/organizations/finerio,"",29164
Hard Yaka,dropel-fabrics-2,https://api.crunchbase.com/v3.1/organizations/dropel-fabrics-2,"",110945
Hard Yaka,sipree-inc,https://api.crunchbase.com/v3.1/organizations/sipree-inc,"",22967
Hard Yaka,castle-2,https://api.crunchbase.com/v3.1/organizations/castle-2,"",3858
Hard Yaka,shapeshift,https://api.crunchbase.com/v3.1/organizations/shapeshift,"",2517
Hard Yaka,aircall,https://api.crunchbase.com/v3.1/organizations/aircall,"",1980
Hard Yaka,trim,https://api.crunchbase.com/v3.1/organizations/trim,"",7789
Hard Yaka,alloy-2,https://api.crunchbase.com/v3.1/organizations/alloy-2,"",4312
Hard Yaka,id-dataweb,https://api.crunchbase.com/v3.1/organizations/id-dataweb,"",38065
Hard Yaka,moni-ltd,https://api.crunchbase.com/v3.1/organizations/moni-ltd,"",23843
Hard Yaka,enter-2,https://api.crunchbase.com/v3.1/organizations/enter-2,"",24152
Hard Yaka,verse-2,https://api.crunchbase.com/v3.1/organizations/verse-2,"",4258
Hard Yaka,kickpay,https://api.crunchbase.com/v3.1/organizations/kickpay,"",92970
Hard Yaka,roomi,https://api.crunchbase.com/v3.1/organizations/roomi,"",36584
Hard Yaka,bitso,https://api.crunchbase.com/v3.1/organizations/bitso,"",3461
Hard Yaka,messageus,https://api.crunchbase.com/v3.1/organizations/messageus,"",136919
Hard Yaka,savvy-is,https://api.crunchbase.com/v3.1/organizations/savvy-is,"",25252
Hard Yaka,betable,https://api.crunchbase.com/v3.1/organizations/betable,"",18290
Hard Yaka,appzen,https://api.crunchbase.com/v3.1/organizations/appzen,"",1307
Hard Yaka,grandjunction,https://api.crunchbase.com/v3.1/organizations/grandjunction,"",87373
Hard Yaka,37coins,https://api.crunchbase.com/v3.1/organizations/37coins,"",55530
Hard Yaka,faraday-bicycles,https://api.crunchbase.com/v3.1/organizations/faraday-bicycles,"",27234
Hard Yaka,notice-software,https://api.crunchbase.com/v3.1/organizations/notice-software,"",39837
Hard Yaka,filecoin,https://api.crunchbase.com/v3.1/organizations/filecoin,"",6524
Hard Yaka,knox-payments,https://api.crunchbase.com/v3.1/organizations/knox-payments,"",39278
Hard Yaka,tradeblock,https://api.crunchbase.com/v3.1/organizations/tradeblock,"",5898
Hard Yaka,ledgerx,https://api.crunchbase.com/v3.1/organizations/ledgerx,"",1537
Hard Yaka,authy-inc,https://api.crunchbase.com/v3.1/organizations/authy-inc,"",13244
Hard Yaka,standard-treasury,https://api.crunchbase.com/v3.1/organizations/standard-treasury,"",20212
Hard Yaka,shiftcars,https://api.crunchbase.com/v3.1/organizations/shiftcars,"",1261
Hard Yaka,paybygroup,https://api.crunchbase.com/v3.1/organizations/paybygroup,"",17174
Hard Yaka,airhelp,https://api.crunchbase.com/v3.1/organizations/airhelp,"",2488
Hard Yaka,chatcenter,https://api.crunchbase.com/v3.1/organizations/chatcenter,"",69914
Hard Yaka,casetext,https://api.crunchbase.com/v3.1/organizations/casetext,"",4907
Hard Yaka,summon,https://api.crunchbase.com/v3.1/organizations/summon,"",114861
Hard Yaka,boosted-boards,https://api.crunchbase.com/v3.1/organizations/boosted-boards,"",1934
Hard Yaka,3scale,https://api.crunchbase.com/v3.1/organizations/3scale,"",23250
Hard Yaka,coin,https://api.crunchbase.com/v3.1/organizations/coin,"",17253
Hard Yaka,angellist,https://api.crunchbase.com/v3.1/organizations/angellist,"",239
Hard Yaka,marqeta,https://api.crunchbase.com/v3.1/organizations/marqeta,"",829
Hard Yaka,balanced,https://api.crunchbase.com/v3.1/organizations/balanced,"",23982
Hard Yaka,ribbon,https://api.crunchbase.com/v3.1/organizations/ribbon,"",20630
Hard Yaka,parking-panda,https://api.crunchbase.com/v3.1/organizations/parking-panda,"",14974
Hard Yaka,hailo,https://api.crunchbase.com/v3.1/organizations/hailo,"",3444
Hard Yaka,wizpert,https://api.crunchbase.com/v3.1/organizations/wizpert,"",59215
Hard Yaka,mightytext,https://api.crunchbase.com/v3.1/organizations/mightytext,"",20924
Hard Yaka,geeklist,https://api.crunchbase.com/v3.1/organizations/geeklist,"",23093
Hard Yaka,coinbase,https://api.crunchbase.com/v3.1/organizations/coinbase,"",243
Hard Yaka,visible-markets,https://api.crunchbase.com/v3.1/organizations/visible-markets,"",58924
Hard Yaka,milkster,https://api.crunchbase.com/v3.1/organizations/milkster,"",154687
Hard Yaka,startup-stock-exchange,https://api.crunchbase.com/v3.1/organizations/startup-stock-exchange,"",17784
Hard Yaka,lovely,https://api.crunchbase.com/v3.1/organizations/lovely,"",16655
Hard Yaka,mobidigger-inc,https://api.crunchbase.com/v3.1/organizations/mobidigger-inc,"",569618
Hard Yaka,proven-com,https://api.crunchbase.com/v3.1/organizations/proven-com,"",19062
Hard Yaka,kabbage,https://api.crunchbase.com/v3.1/organizations/kabbage,"",126
