Organization Name,Invested In,Api Url,Description,Rank
HAX Boost,tinkabit,https://api.crunchbase.com/v3.1/organizations/tinkabit,"",259038
HAX Boost,revvo,https://api.crunchbase.com/v3.1/organizations/revvo,"",44467
HAX Boost,gobone,https://api.crunchbase.com/v3.1/organizations/gobone,"",182466
HAX Boost,be-wear-wearable-technologies,https://api.crunchbase.com/v3.1/organizations/be-wear-wearable-technologies,"",242137
HAX Boost,naran,https://api.crunchbase.com/v3.1/organizations/naran,"",207523
HAX Boost,backbone-labs-inc,https://api.crunchbase.com/v3.1/organizations/backbone-labs-inc,"",37884
HAX Boost,pixl-toys,https://api.crunchbase.com/v3.1/organizations/pixl-toys,"",312403
HAX Boost,liloe-labs,https://api.crunchbase.com/v3.1/organizations/liloe-labs,"",286240
HAX Boost,ar-devices,https://api.crunchbase.com/v3.1/organizations/ar-devices,"",169673
HAX Boost,vidi,https://api.crunchbase.com/v3.1/organizations/vidi,"",55180
HAX Boost,kiband,https://api.crunchbase.com/v3.1/organizations/kiband,"",131251
HAX Boost,solidface-technology,https://api.crunchbase.com/v3.1/organizations/solidface-technology,"",55202
HAX Boost,koala-safe,https://api.crunchbase.com/v3.1/organizations/koala-safe,"",67448
HAX Boost,swapbots,https://api.crunchbase.com/v3.1/organizations/swapbots,"",82461
HAX Boost,néit,https://api.crunchbase.com/v3.1/organizations/néit,"",79346
HAX Boost,bloom-technologies,https://api.crunchbase.com/v3.1/organizations/bloom-technologies,"",7111
HAX Boost,scooterson,https://api.crunchbase.com/v3.1/organizations/scooterson,"",14576
HAX Boost,emberlight,https://api.crunchbase.com/v3.1/organizations/emberlight,"",145985
HAX Boost,athletec,https://api.crunchbase.com/v3.1/organizations/athletec,"",122818
HAX Boost,zeraph,https://api.crunchbase.com/v3.1/organizations/zeraph,"",323581
HAX Boost,tinsel,https://api.crunchbase.com/v3.1/organizations/tinsel,"",168882
HAX Boost,tapplock,https://api.crunchbase.com/v3.1/organizations/tapplock,"",109226
HAX Boost,elwing,https://api.crunchbase.com/v3.1/organizations/elwing,"",224949
HAX Boost,slick-technologies,https://api.crunchbase.com/v3.1/organizations/slick-technologies,"",50200
HAX Boost,foobot,https://api.crunchbase.com/v3.1/organizations/foobot,"",103878
HAX Boost,skwrl,https://api.crunchbase.com/v3.1/organizations/skwrl,"",72551
HAX Boost,mofily,https://api.crunchbase.com/v3.1/organizations/mofily,"",255361
HAX Boost,fogo-digital-inc,https://api.crunchbase.com/v3.1/organizations/fogo-digital-inc,"",229683
HAX Boost,alchema,https://api.crunchbase.com/v3.1/organizations/alchema,"",123615
HAX Boost,lugloc,https://api.crunchbase.com/v3.1/organizations/lugloc,"",108868
HAX Boost,swj-technology,https://api.crunchbase.com/v3.1/organizations/swj-technology,"",179153
HAX Boost,the-light-phone,https://api.crunchbase.com/v3.1/organizations/the-light-phone,"",110056
HAX Boost,ezeecube,https://api.crunchbase.com/v3.1/organizations/ezeecube,"",75484
