Organization Name,Invested In,Api Url,Description,Rank
"Hercules Capital, Inc.",dashlane,https://api.crunchbase.com/v3.1/organizations/dashlane,"",810
"Hercules Capital, Inc.",aldeyra-therapeutics,https://api.crunchbase.com/v3.1/organizations/aldeyra-therapeutics,"",15874
"Hercules Capital, Inc.",fuelcell-energy-inc,https://api.crunchbase.com/v3.1/organizations/fuelcell-energy-inc,"",12896
"Hercules Capital, Inc.",urovant-sciences,https://api.crunchbase.com/v3.1/organizations/urovant-sciences,"",16128
"Hercules Capital, Inc.",bridgebio,https://api.crunchbase.com/v3.1/organizations/bridgebio,"",738
"Hercules Capital, Inc.",contentful,https://api.crunchbase.com/v3.1/organizations/contentful,"",1466
"Hercules Capital, Inc.",merrimack-pharmaceuticals,https://api.crunchbase.com/v3.1/organizations/merrimack-pharmaceuticals,"",12611
"Hercules Capital, Inc.",transenterix,https://api.crunchbase.com/v3.1/organizations/transenterix,"",4486
"Hercules Capital, Inc.",cloudpay,https://api.crunchbase.com/v3.1/organizations/cloudpay,"",3743
"Hercules Capital, Inc.",metalysis,https://api.crunchbase.com/v3.1/organizations/metalysis,"",11665
"Hercules Capital, Inc.",tricida,https://api.crunchbase.com/v3.1/organizations/tricida,"",8118
"Hercules Capital, Inc.",intuity-medical,https://api.crunchbase.com/v3.1/organizations/intuity-medical,"",7632
"Hercules Capital, Inc.",gynesonics,https://api.crunchbase.com/v3.1/organizations/gynesonics,"",11532
"Hercules Capital, Inc.",sebacia,https://api.crunchbase.com/v3.1/organizations/sebacia,"",22391
"Hercules Capital, Inc.",concert-pharmaceuticals,https://api.crunchbase.com/v3.1/organizations/concert-pharmaceuticals,"",19156
"Hercules Capital, Inc.",axovant-sciences,https://api.crunchbase.com/v3.1/organizations/axovant-sciences,"",10694
"Hercules Capital, Inc.",druva-software,https://api.crunchbase.com/v3.1/organizations/druva-software,"",2929
"Hercules Capital, Inc.",auris-medical,https://api.crunchbase.com/v3.1/organizations/auris-medical,"",22925
