Organization Name,Invested In,Api Url,Description,Rank
H.I.G. Capital,moneydesktop,https://api.crunchbase.com/v3.1/organizations/moneydesktop,"",463
H.I.G. Capital,riveron-consulting,https://api.crunchbase.com/v3.1/organizations/riveron-consulting,"",106366
H.I.G. Capital,medusind-solutions,https://api.crunchbase.com/v3.1/organizations/medusind-solutions,"",102344
H.I.G. Capital,digital-ware,https://api.crunchbase.com/v3.1/organizations/digital-ware,"",145352
H.I.G. Capital,cuyana,https://api.crunchbase.com/v3.1/organizations/cuyana,"",4217
H.I.G. Capital,clínica-amo,https://api.crunchbase.com/v3.1/organizations/clínica-amo,"",317526
H.I.G. Capital,sage-hospice,https://api.crunchbase.com/v3.1/organizations/sage-hospice,"",277048
H.I.G. Capital,grupo-meridional,https://api.crunchbase.com/v3.1/organizations/grupo-meridional,"",286793
H.I.G. Capital,eze-castle-integration,https://api.crunchbase.com/v3.1/organizations/eze-castle-integration,"",102619
H.I.G. Capital,carlton-group-limited,https://api.crunchbase.com/v3.1/organizations/carlton-group-limited,"",156964
H.I.G. Capital,virtus-data-centres,https://api.crunchbase.com/v3.1/organizations/virtus-data-centres,"",25333
H.I.G. Capital,trace3,https://api.crunchbase.com/v3.1/organizations/trace3,"",84471
H.I.G. Capital,ecore-group,https://api.crunchbase.com/v3.1/organizations/ecore-group,"",32532
H.I.G. Capital,barnet-dulaney-perkins,https://api.crunchbase.com/v3.1/organizations/barnet-dulaney-perkins,"",190066
H.I.G. Capital,southwestern-eye-center,https://api.crunchbase.com/v3.1/organizations/southwestern-eye-center,"",160872
H.I.G. Capital,xtera-communications-inc,https://api.crunchbase.com/v3.1/organizations/xtera-communications-inc,"",27141
H.I.G. Capital,halex-istar,https://api.crunchbase.com/v3.1/organizations/halex-istar,"",362021
H.I.G. Capital,a10-capital,https://api.crunchbase.com/v3.1/organizations/a10-capital,"",25800
H.I.G. Capital,mr-cat,https://api.crunchbase.com/v3.1/organizations/mr-cat,"",114768
H.I.G. Capital,ship-supply-international,https://api.crunchbase.com/v3.1/organizations/ship-supply-international,"",111646
H.I.G. Capital,igm-resins,https://api.crunchbase.com/v3.1/organizations/igm-resins,"",31729
H.I.G. Capital,centerfield-media,https://api.crunchbase.com/v3.1/organizations/centerfield-media,"",7385
H.I.G. Capital,classmates-com,https://api.crunchbase.com/v3.1/organizations/classmates-com,"",82026
H.I.G. Capital,locationsmart,https://api.crunchbase.com/v3.1/organizations/locationsmart,"",9564
H.I.G. Capital,go2mobi,https://api.crunchbase.com/v3.1/organizations/go2mobi,"",122584
H.I.G. Capital,us-med,https://api.crunchbase.com/v3.1/organizations/us-med,"",207386
H.I.G. Capital,milestone-technologies,https://api.crunchbase.com/v3.1/organizations/milestone-technologies,"",15021
H.I.G. Capital,art-wilson-co,https://api.crunchbase.com/v3.1/organizations/art-wilson-co,"",535884
H.I.G. Capital,northwest-carpet,https://api.crunchbase.com/v3.1/organizations/northwest-carpet,"",503454
H.I.G. Capital,nzn-no-zebra-network,https://api.crunchbase.com/v3.1/organizations/nzn-no-zebra-network,"",119827
H.I.G. Capital,cardiofocus,https://api.crunchbase.com/v3.1/organizations/cardiofocus,"",7728
H.I.G. Capital,office-total,https://api.crunchbase.com/v3.1/organizations/office-total,"",480359
H.I.G. Capital,lexmark-carpet-mills,https://api.crunchbase.com/v3.1/organizations/lexmark-carpet-mills,"",197726
H.I.G. Capital,sorveteria-creme-mel-ltda,https://api.crunchbase.com/v3.1/organizations/sorveteria-creme-mel-ltda,"",680863
H.I.G. Capital,loc-aid,https://api.crunchbase.com/v3.1/organizations/loc-aid,"",22364
H.I.G. Capital,holland-services,https://api.crunchbase.com/v3.1/organizations/holland-services,"",319381
H.I.G. Capital,raymond-express-international,https://api.crunchbase.com/v3.1/organizations/raymond-express-international,"",236683
H.I.G. Capital,correctional-medical-group-companies,https://api.crunchbase.com/v3.1/organizations/correctional-medical-group-companies,"",375820
H.I.G. Capital,vertice-360-servicios-audiovisuales,https://api.crunchbase.com/v3.1/organizations/vertice-360-servicios-audiovisuales,"",648061
H.I.G. Capital,funambol,https://api.crunchbase.com/v3.1/organizations/funambol,"",25602
H.I.G. Capital,alder-biopharmaceuticals,https://api.crunchbase.com/v3.1/organizations/alder-biopharmaceuticals,"",7380
H.I.G. Capital,apollo-endosurgery,https://api.crunchbase.com/v3.1/organizations/apollo-endosurgery,"",12634
H.I.G. Capital,hart-intercivic,https://api.crunchbase.com/v3.1/organizations/hart-intercivic,"",122167
H.I.G. Capital,der-grne-punkt-duales-system-deutschland,https://api.crunchbase.com/v3.1/organizations/der-grne-punkt-duales-system-deutschland,"",273539
H.I.G. Capital,spotxchange,https://api.crunchbase.com/v3.1/organizations/spotxchange,"",8260
H.I.G. Capital,nexidia,https://api.crunchbase.com/v3.1/organizations/nexidia,"",14991
