Organization Name,Invested In,Api Url,Description,Rank
High Alpha,socio-labs-ltd,https://api.crunchbase.com/v3.1/organizations/socio-labs-ltd,"",1347
High Alpha,encamp,https://api.crunchbase.com/v3.1/organizations/encamp,"",11748
High Alpha,anvl,https://api.crunchbase.com/v3.1/organizations/anvl,"",11824
High Alpha,jobmarketmaker,https://api.crunchbase.com/v3.1/organizations/jobmarketmaker,"",47489
High Alpha,boardable,https://api.crunchbase.com/v3.1/organizations/boardable,"",36198
High Alpha,woven-4d30,https://api.crunchbase.com/v3.1/organizations/woven-4d30,"",22252
High Alpha,metacx,https://api.crunchbase.com/v3.1/organizations/metacx,"",12936
High Alpha,quantifi-2,https://api.crunchbase.com/v3.1/organizations/quantifi-2,"",14809
High Alpha,crowdriff,https://api.crunchbase.com/v3.1/organizations/crowdriff,"",7227
High Alpha,sigstr,https://api.crunchbase.com/v3.1/organizations/sigstr,"",8316
High Alpha,malomo,https://api.crunchbase.com/v3.1/organizations/malomo,"",29665
High Alpha,logicgate,https://api.crunchbase.com/v3.1/organizations/logicgate,"",6387
High Alpha,integrate,https://api.crunchbase.com/v3.1/organizations/integrate,"",3318
High Alpha,cordial,https://api.crunchbase.com/v3.1/organizations/cordial,"",3351
High Alpha,structural,https://api.crunchbase.com/v3.1/organizations/structural,"",22638
High Alpha,project44,https://api.crunchbase.com/v3.1/organizations/project44,"",842
High Alpha,dwolla,https://api.crunchbase.com/v3.1/organizations/dwolla,"",2828
High Alpha,zylo,https://api.crunchbase.com/v3.1/organizations/zylo,"",6038
High Alpha,lesson-ly,https://api.crunchbase.com/v3.1/organizations/lesson-ly,"",2445
High Alpha,fuzic-media,https://api.crunchbase.com/v3.1/organizations/fuzic-media,"",22904
High Alpha,terminus-software,https://api.crunchbase.com/v3.1/organizations/terminus-software,"",2539
High Alpha,salesloft,https://api.crunchbase.com/v3.1/organizations/salesloft,"",761
High Alpha,clearscholar-2,https://api.crunchbase.com/v3.1/organizations/clearscholar-2,"",39651
High Alpha,doxly,https://api.crunchbase.com/v3.1/organizations/doxly,"",20839
High Alpha,tinderbox,https://api.crunchbase.com/v3.1/organizations/tinderbox,"",11719
High Alpha,dronedeploy,https://api.crunchbase.com/v3.1/organizations/dronedeploy,"",1013
High Alpha,when-i-work,https://api.crunchbase.com/v3.1/organizations/when-i-work,"",5069
High Alpha,visible-vc,https://api.crunchbase.com/v3.1/organizations/visible-vc,"",18628
High Alpha,tinypulse,https://api.crunchbase.com/v3.1/organizations/tinypulse,"",6229
High Alpha,narvar,https://api.crunchbase.com/v3.1/organizations/narvar,"",1632
High Alpha,g2-crowd,https://api.crunchbase.com/v3.1/organizations/g2-crowd,"",371
