Organization Name,Invested In,Api Url,Description,Rank
Higher Ground Labs,speakeasy-political,https://api.crunchbase.com/v3.1/organizations/speakeasy-political,"",194867
Higher Ground Labs,countable,https://api.crunchbase.com/v3.1/organizations/countable,"",7250
Higher Ground Labs,outfox-ai,https://api.crunchbase.com/v3.1/organizations/outfox-ai,"",38407
Higher Ground Labs,hatch-13,https://api.crunchbase.com/v3.1/organizations/hatch-13,"",11484
Higher Ground Labs,main-street-one,https://api.crunchbase.com/v3.1/organizations/main-street-one,"",179616
Higher Ground Labs,torch-2fba,https://api.crunchbase.com/v3.1/organizations/torch-2fba,"",179877
Higher Ground Labs,openfield,https://api.crunchbase.com/v3.1/organizations/openfield,"",181757
Higher Ground Labs,warchest,https://api.crunchbase.com/v3.1/organizations/warchest,"",217575
Higher Ground Labs,survey160,https://api.crunchbase.com/v3.1/organizations/survey160,"",184961
Higher Ground Labs,outvote,https://api.crunchbase.com/v3.1/organizations/outvote,"",89176
Higher Ground Labs,predictwise,https://api.crunchbase.com/v3.1/organizations/predictwise,"",21594
Higher Ground Labs,human-agency,https://api.crunchbase.com/v3.1/organizations/human-agency,"",202159
Higher Ground Labs,calltime-ai,https://api.crunchbase.com/v3.1/organizations/calltime-ai,"",47050
Higher Ground Labs,grow-progress,https://api.crunchbase.com/v3.1/organizations/grow-progress,"",70635
Higher Ground Labs,voter-protection-partners,https://api.crunchbase.com/v3.1/organizations/voter-protection-partners,"",91640
Higher Ground Labs,5-calls,https://api.crunchbase.com/v3.1/organizations/5-calls,"",83589
Higher Ground Labs,change-research,https://api.crunchbase.com/v3.1/organizations/change-research,"",36511
Higher Ground Labs,avalanche-strategy,https://api.crunchbase.com/v3.1/organizations/avalanche-strategy,"",61642
Higher Ground Labs,swayable,https://api.crunchbase.com/v3.1/organizations/swayable,"",89575
Higher Ground Labs,factsquared,https://api.crunchbase.com/v3.1/organizations/factsquared,"",113579
Higher Ground Labs,new-mode,https://api.crunchbase.com/v3.1/organizations/new-mode,"",39530
Higher Ground Labs,sameside,https://api.crunchbase.com/v3.1/organizations/sameside,"",75853
Higher Ground Labs,civic-eagle,https://api.crunchbase.com/v3.1/organizations/civic-eagle,"",24115
Higher Ground Labs,qriously-69f8,https://api.crunchbase.com/v3.1/organizations/qriously-69f8,"",359580
Higher Ground Labs,votercircle-inc,https://api.crunchbase.com/v3.1/organizations/votercircle-inc,"",103229
Higher Ground Labs,hope-47cb,https://api.crunchbase.com/v3.1/organizations/hope-47cb,"",736886
Higher Ground Labs,mobilizeamerica,https://api.crunchbase.com/v3.1/organizations/mobilizeamerica,"",95208
Higher Ground Labs,hustle-inc,https://api.crunchbase.com/v3.1/organizations/hustle-inc,"",1967
Higher Ground Labs,victory-guide,https://api.crunchbase.com/v3.1/organizations/victory-guide,"",443904
Higher Ground Labs,groundgame,https://api.crunchbase.com/v3.1/organizations/groundgame,"",318615
Higher Ground Labs,the-tuesday-company,https://api.crunchbase.com/v3.1/organizations/the-tuesday-company,"",270683
Higher Ground Labs,field-day,https://api.crunchbase.com/v3.1/organizations/field-day,"",134268
Higher Ground Labs,ballotready,https://api.crunchbase.com/v3.1/organizations/ballotready,"",21036
