Organization Name,Invested In,Api Url,Description,Rank
Hinge Capital,naked-labs,https://api.crunchbase.com/v3.1/organizations/naked-labs,"",5732
Hinge Capital,airfoil-capital,https://api.crunchbase.com/v3.1/organizations/airfoil-capital,"",45187
Hinge Capital,bird,https://api.crunchbase.com/v3.1/organizations/bird,"",878
Hinge Capital,honk-2,https://api.crunchbase.com/v3.1/organizations/honk-2,"",3810
Hinge Capital,tap-2501,https://api.crunchbase.com/v3.1/organizations/tap-2501,"",111572
Hinge Capital,rehinged,https://api.crunchbase.com/v3.1/organizations/rehinged,"",43998
Hinge Capital,ripple-labs,https://api.crunchbase.com/v3.1/organizations/ripple-labs,"",621
Hinge Capital,qualified,https://api.crunchbase.com/v3.1/organizations/qualified,"",75263
Hinge Capital,poncho,https://api.crunchbase.com/v3.1/organizations/poncho,"",23148
Hinge Capital,minbox,https://api.crunchbase.com/v3.1/organizations/minbox,"",141886
Hinge Capital,zealot-network,https://api.crunchbase.com/v3.1/organizations/zealot-network,"",18325
Hinge Capital,stayclassy-org,https://api.crunchbase.com/v3.1/organizations/stayclassy-org,"",3010
Hinge Capital,visage,https://api.crunchbase.com/v3.1/organizations/visage,"",17249
Hinge Capital,wedpics,https://api.crunchbase.com/v3.1/organizations/wedpics,"",13385
Hinge Capital,reserve,https://api.crunchbase.com/v3.1/organizations/reserve,"",1630
Hinge Capital,fitmob,https://api.crunchbase.com/v3.1/organizations/fitmob,"",12702
Hinge Capital,dollar-shave-club,https://api.crunchbase.com/v3.1/organizations/dollar-shave-club,"",150
Hinge Capital,codewars,https://api.crunchbase.com/v3.1/organizations/codewars,"",38156
Hinge Capital,triage-2,https://api.crunchbase.com/v3.1/organizations/triage-2,"",66438
Hinge Capital,gospotcheck,https://api.crunchbase.com/v3.1/organizations/gospotcheck,"",3558
Hinge Capital,betaworks,https://api.crunchbase.com/v3.1/organizations/betaworks,"",1036
Hinge Capital,active-mind-technology,https://api.crunchbase.com/v3.1/organizations/active-mind-technology,"",19865
Hinge Capital,colingo,https://api.crunchbase.com/v3.1/organizations/colingo,"",40132
Hinge Capital,betable,https://api.crunchbase.com/v3.1/organizations/betable,"",18290
Hinge Capital,puddle,https://api.crunchbase.com/v3.1/organizations/puddle,"",36103
Hinge Capital,sendhub,https://api.crunchbase.com/v3.1/organizations/sendhub,"",14636
Hinge Capital,videolicious,https://api.crunchbase.com/v3.1/organizations/videolicious,"",14712
Hinge Capital,clarity-2,https://api.crunchbase.com/v3.1/organizations/clarity-2,"",10433
Hinge Capital,dekko,https://api.crunchbase.com/v3.1/organizations/dekko,"",34927
Hinge Capital,republic-project,https://api.crunchbase.com/v3.1/organizations/republic-project,"",64610
Hinge Capital,tracks-by,https://api.crunchbase.com/v3.1/organizations/tracks-by,"",314225
Hinge Capital,space-monkey,https://api.crunchbase.com/v3.1/organizations/space-monkey,"",21618
Hinge Capital,mediaspike,https://api.crunchbase.com/v3.1/organizations/mediaspike,"",34603
Hinge Capital,trigger-io,https://api.crunchbase.com/v3.1/organizations/trigger-io,"",45064
Hinge Capital,fanium,https://api.crunchbase.com/v3.1/organizations/fanium,"",40329
Hinge Capital,incredible-labs,https://api.crunchbase.com/v3.1/organizations/incredible-labs,"",209125
Hinge Capital,ecomom,https://api.crunchbase.com/v3.1/organizations/ecomom,"",47222
Hinge Capital,law-pivot,https://api.crunchbase.com/v3.1/organizations/law-pivot,"",28926
Hinge Capital,launchrock,https://api.crunchbase.com/v3.1/organizations/launchrock,"",33447
Hinge Capital,meeps,https://api.crunchbase.com/v3.1/organizations/meeps,"",588332
Hinge Capital,zaarly,https://api.crunchbase.com/v3.1/organizations/zaarly,"",8456
Hinge Capital,ginzametrics,https://api.crunchbase.com/v3.1/organizations/ginzametrics,"",24815
Hinge Capital,getaround,https://api.crunchbase.com/v3.1/organizations/getaround,"",144
Hinge Capital,life360,https://api.crunchbase.com/v3.1/organizations/life360,"",992
Hinge Capital,manpacks,https://api.crunchbase.com/v3.1/organizations/manpacks,"",44388
Hinge Capital,embed-ly,https://api.crunchbase.com/v3.1/organizations/embed-ly,"",33321
Hinge Capital,toutapp,https://api.crunchbase.com/v3.1/organizations/toutapp,"",8226
Hinge Capital,doubledutch,https://api.crunchbase.com/v3.1/organizations/doubledutch,"",2480
Hinge Capital,kiip,https://api.crunchbase.com/v3.1/organizations/kiip,"",5463
Hinge Capital,dailyworth,https://api.crunchbase.com/v3.1/organizations/dailyworth,"",22538
Hinge Capital,graphicly,https://api.crunchbase.com/v3.1/organizations/graphicly,"",36266
Hinge Capital,humanoid,https://api.crunchbase.com/v3.1/organizations/humanoid,"",33847
Hinge Capital,tektrak,https://api.crunchbase.com/v3.1/organizations/tektrak,"",72428
Hinge Capital,answerly,https://api.crunchbase.com/v3.1/organizations/answerly,"",122107
Hinge Capital,etoro,https://api.crunchbase.com/v3.1/organizations/etoro,"",120
