Organization Name,Invested In,Api Url,Description,Rank
Horizon Technology Finance,outboundengine,https://api.crunchbase.com/v3.1/organizations/outboundengine,"",1367
Horizon Technology Finance,meditrina-inc,https://api.crunchbase.com/v3.1/organizations/meditrina-inc,"",26712
Horizon Technology Finance,encore-dermatology,https://api.crunchbase.com/v3.1/organizations/encore-dermatology,"",18895
Horizon Technology Finance,mustang-bio,https://api.crunchbase.com/v3.1/organizations/mustang-bio,"",14214
Horizon Technology Finance,csa-medical,https://api.crunchbase.com/v3.1/organizations/csa-medical,"",14582
Horizon Technology Finance,maculogix,https://api.crunchbase.com/v3.1/organizations/maculogix,"",14227
Horizon Technology Finance,new-signature,https://api.crunchbase.com/v3.1/organizations/new-signature,"",12386
Horizon Technology Finance,catasys,https://api.crunchbase.com/v3.1/organizations/catasys,"",13559
Horizon Technology Finance,audacy-space,https://api.crunchbase.com/v3.1/organizations/audacy-space,"",8036
Horizon Technology Finance,intelepeer,https://api.crunchbase.com/v3.1/organizations/intelepeer,"",7428
Horizon Technology Finance,conventus-orthopaedics,https://api.crunchbase.com/v3.1/organizations/conventus-orthopaedics,"",15860
Horizon Technology Finance,aerin-medical,https://api.crunchbase.com/v3.1/organizations/aerin-medical,"",16096
Horizon Technology Finance,titan-pharmaceuticals,https://api.crunchbase.com/v3.1/organizations/titan-pharmaceuticals,"",31480
Horizon Technology Finance,pebblepost,https://api.crunchbase.com/v3.1/organizations/pebblepost,"",2937
Horizon Technology Finance,searchignite,https://api.crunchbase.com/v3.1/organizations/searchignite,"",3222
Horizon Technology Finance,mediabrix,https://api.crunchbase.com/v3.1/organizations/mediabrix,"",19853
Horizon Technology Finance,scorebig,https://api.crunchbase.com/v3.1/organizations/scorebig,"",16091
Horizon Technology Finance,avalanche-technology,https://api.crunchbase.com/v3.1/organizations/avalanche-technology,"",8150
Horizon Technology Finance,nomi,https://api.crunchbase.com/v3.1/organizations/nomi,"",17384
Horizon Technology Finance,digital-signal,https://api.crunchbase.com/v3.1/organizations/digital-signal,"",19180
Horizon Technology Finance,new-haven-pharmaceuticals,https://api.crunchbase.com/v3.1/organizations/new-haven-pharmaceuticals,"",41809
Horizon Technology Finance,bridge2-solutions,https://api.crunchbase.com/v3.1/organizations/bridge2-solutions,"",14153
Horizon Technology Finance,medsphere-systems,https://api.crunchbase.com/v3.1/organizations/medsphere-systems,"",8415
Horizon Technology Finance,silkroad-technology,https://api.crunchbase.com/v3.1/organizations/silkroad-technology,"",7318
Horizon Technology Finance,savingstar,https://api.crunchbase.com/v3.1/organizations/savingstar,"",13156
Horizon Technology Finance,ninepoint-medical,https://api.crunchbase.com/v3.1/organizations/ninepoint-medical,"",17746
Horizon Technology Finance,palatin-technologies,https://api.crunchbase.com/v3.1/organizations/palatin-technologies,"",13542
Horizon Technology Finance,interleukin-genetics,https://api.crunchbase.com/v3.1/organizations/interleukin-genetics,"",36024
Horizon Technology Finance,zetroz,https://api.crunchbase.com/v3.1/organizations/zetroz,"",36633
Horizon Technology Finance,invisage-technologies,https://api.crunchbase.com/v3.1/organizations/invisage-technologies,"",13821
Horizon Technology Finance,argos-therapeutics,https://api.crunchbase.com/v3.1/organizations/argos-therapeutics,"",17378
Horizon Technology Finance,integenx,https://api.crunchbase.com/v3.1/organizations/integenx,"",16006
Horizon Technology Finance,springcm,https://api.crunchbase.com/v3.1/organizations/springcm,"",5653
Horizon Technology Finance,mblox,https://api.crunchbase.com/v3.1/organizations/mblox,"",10300
Horizon Technology Finance,genepeeks,https://api.crunchbase.com/v3.1/organizations/genepeeks,"",23507
Horizon Technology Finance,social-intelligence,https://api.crunchbase.com/v3.1/organizations/social-intelligence,"",116706
Horizon Technology Finance,mederi-therapeutics,https://api.crunchbase.com/v3.1/organizations/mederi-therapeutics,"",37308
Horizon Technology Finance,overture-networks,https://api.crunchbase.com/v3.1/organizations/overture-networks,"",42684
Horizon Technology Finance,valore-3,https://api.crunchbase.com/v3.1/organizations/valore-3,"",17338
Horizon Technology Finance,radisphere-national-radiology-group,https://api.crunchbase.com/v3.1/organizations/radisphere-national-radiology-group,"",41602
Horizon Technology Finance,grab-networks,https://api.crunchbase.com/v3.1/organizations/grab-networks,"",58962
Horizon Technology Finance,ambit-biosciences,https://api.crunchbase.com/v3.1/organizations/ambit-biosciences,"",38270
Horizon Technology Finance,copan-systems,https://api.crunchbase.com/v3.1/organizations/copan-systems,"",73831
Horizon Technology Finance,intarcia-therapeutics,https://api.crunchbase.com/v3.1/organizations/intarcia-therapeutics,"",4098
