Organization Name,Invested In,Api Url,Description,Rank
Hyperplane Venture Capital,roadbotics-inc,https://api.crunchbase.com/v3.1/organizations/roadbotics-inc,"",1274
Hyperplane Venture Capital,pickle-robots,https://api.crunchbase.com/v3.1/organizations/pickle-robots,"",13305
Hyperplane Venture Capital,dynamicare-health,https://api.crunchbase.com/v3.1/organizations/dynamicare-health,"",15933
Hyperplane Venture Capital,linksquares,https://api.crunchbase.com/v3.1/organizations/linksquares,"",6296
Hyperplane Venture Capital,modulate,https://api.crunchbase.com/v3.1/organizations/modulate,"",23495
Hyperplane Venture Capital,subease,https://api.crunchbase.com/v3.1/organizations/subease,"",14148
Hyperplane Venture Capital,emtropy-labs,https://api.crunchbase.com/v3.1/organizations/emtropy-labs,"",139015
Hyperplane Venture Capital,machinemetrics,https://api.crunchbase.com/v3.1/organizations/machinemetrics,"",5417
Hyperplane Venture Capital,spiro-technologies-inc,https://api.crunchbase.com/v3.1/organizations/spiro-technologies-inc,"",6320
Hyperplane Venture Capital,toweriq,https://api.crunchbase.com/v3.1/organizations/toweriq,"",16559
Hyperplane Venture Capital,elucidata-2,https://api.crunchbase.com/v3.1/organizations/elucidata-2,"",17115
Hyperplane Venture Capital,vesper,https://api.crunchbase.com/v3.1/organizations/vesper,"",4509
Hyperplane Venture Capital,soft-robotics-inc-,https://api.crunchbase.com/v3.1/organizations/soft-robotics-inc-,"",5386
Hyperplane Venture Capital,dover-microsystems,https://api.crunchbase.com/v3.1/organizations/dover-microsystems,"",17951
Hyperplane Venture Capital,indico-data-solutions,https://api.crunchbase.com/v3.1/organizations/indico-data-solutions,"",8284
Hyperplane Venture Capital,biobot-analytics,https://api.crunchbase.com/v3.1/organizations/biobot-analytics,"",11355
Hyperplane Venture Capital,elsen-trading,https://api.crunchbase.com/v3.1/organizations/elsen-trading,"",15035
Hyperplane Venture Capital,pillar-technologies,https://api.crunchbase.com/v3.1/organizations/pillar-technologies,"",9799
Hyperplane Venture Capital,tive,https://api.crunchbase.com/v3.1/organizations/tive,"",3685
Hyperplane Venture Capital,numerated,https://api.crunchbase.com/v3.1/organizations/numerated,"",7759
Hyperplane Venture Capital,telluslabs,https://api.crunchbase.com/v3.1/organizations/telluslabs,"",11073
Hyperplane Venture Capital,jisto-inc,https://api.crunchbase.com/v3.1/organizations/jisto-inc,"",46129
Hyperplane Venture Capital,talla,https://api.crunchbase.com/v3.1/organizations/talla,"",5795
Hyperplane Venture Capital,empirical-systems,https://api.crunchbase.com/v3.1/organizations/empirical-systems,"",20539
Hyperplane Venture Capital,sentenai,https://api.crunchbase.com/v3.1/organizations/sentenai,"",17370
Hyperplane Venture Capital,alphasheets,https://api.crunchbase.com/v3.1/organizations/alphasheets,"",13913
Hyperplane Venture Capital,curoverse,https://api.crunchbase.com/v3.1/organizations/curoverse,"",38246
