Organization Name,Invested In,Api Url,Description,Rank
Actua Corporation,relay-network,https://api.crunchbase.com/v3.1/organizations/relay-network,"",12606
Actua Corporation,govdelivery,https://api.crunchbase.com/v3.1/organizations/govdelivery,"",28761
Actua Corporation,whitefence,https://api.crunchbase.com/v3.1/organizations/whitefence,"",99618
Actua Corporation,vcommerce,https://api.crunchbase.com/v3.1/organizations/vcommerce,"",112780
Actua Corporation,cortera,https://api.crunchbase.com/v3.1/organizations/cortera,"",8684
Actua Corporation,captive-capital,https://api.crunchbase.com/v3.1/organizations/captive-capital,"",276862
Actua Corporation,citadon,https://api.crunchbase.com/v3.1/organizations/citadon,"",158952
Actua Corporation,logistics-com,https://api.crunchbase.com/v3.1/organizations/logistics-com,"",145548
Actua Corporation,clearcommerce,https://api.crunchbase.com/v3.1/organizations/clearcommerce,"",203131
Actua Corporation,freeborders,https://api.crunchbase.com/v3.1/organizations/freeborders,"",253819
Actua Corporation,starcite-3,https://api.crunchbase.com/v3.1/organizations/starcite-3,"",189292
Actua Corporation,investorforce,https://api.crunchbase.com/v3.1/organizations/investorforce,"",140301
Actua Corporation,paperexchange-com,https://api.crunchbase.com/v3.1/organizations/paperexchange-com,"",252635
Actua Corporation,credittrade,https://api.crunchbase.com/v3.1/organizations/credittrade,"",241625
Actua Corporation,cargobiz-com,https://api.crunchbase.com/v3.1/organizations/cargobiz-com,"",395571
Actua Corporation,deja,https://api.crunchbase.com/v3.1/organizations/deja,"",221065
Actua Corporation,goindustry-com,https://api.crunchbase.com/v3.1/organizations/goindustry-com,"",186003
Actua Corporation,blackboard,https://api.crunchbase.com/v3.1/organizations/blackboard,"",29259
Actua Corporation,netvendor-2,https://api.crunchbase.com/v3.1/organizations/netvendor-2,"",171572
Actua Corporation,simplexis-com,https://api.crunchbase.com/v3.1/organizations/simplexis-com,"",389896
Actua Corporation,emptoris,https://api.crunchbase.com/v3.1/organizations/emptoris,"",123585
Actua Corporation,computerjobs-com,https://api.crunchbase.com/v3.1/organizations/computerjobs-com,"",340117
Actua Corporation,entegrity-solutions-ltd,https://api.crunchbase.com/v3.1/organizations/entegrity-solutions-ltd,"",499725
Actua Corporation,tibersoft,https://api.crunchbase.com/v3.1/organizations/tibersoft,"",172676
Actua Corporation,centrimed,https://api.crunchbase.com/v3.1/organizations/centrimed,"",577435
Actua Corporation,retailexchange,https://api.crunchbase.com/v3.1/organizations/retailexchange,"",400835
Actua Corporation,industrialamerica,https://api.crunchbase.com/v3.1/organizations/industrialamerica,"",752629
Actua Corporation,dni-holdings,https://api.crunchbase.com/v3.1/organizations/dni-holdings,"",640843
Actua Corporation,lexisnexis,https://api.crunchbase.com/v3.1/organizations/lexisnexis,"",25558
Actua Corporation,internet-healthcare-group,https://api.crunchbase.com/v3.1/organizations/internet-healthcare-group,"",255265
Actua Corporation,isky-2,https://api.crunchbase.com/v3.1/organizations/isky-2,"",246920
Actua Corporation,jamcracker,https://api.crunchbase.com/v3.1/organizations/jamcracker,"",95053
Actua Corporation,buymedia-com,https://api.crunchbase.com/v3.1/organizations/buymedia-com,"",451570
Actua Corporation,commerx-corp,https://api.crunchbase.com/v3.1/organizations/commerx-corp,"",205838
Actua Corporation,vivant,https://api.crunchbase.com/v3.1/organizations/vivant,"",143887
Actua Corporation,courtlink,https://api.crunchbase.com/v3.1/organizations/courtlink,"",466097
Actua Corporation,usgift,https://api.crunchbase.com/v3.1/organizations/usgift,"",320936
Actua Corporation,traffic-com,https://api.crunchbase.com/v3.1/organizations/traffic-com,"",214523
