Organization Name,Invested In,Api Url,Description,Rank
Icon Ventures,truste,https://api.crunchbase.com/v3.1/organizations/truste,"",7476
Icon Ventures,button,https://api.crunchbase.com/v3.1/organizations/button,"",769
Icon Ventures,exabeam,https://api.crunchbase.com/v3.1/organizations/exabeam,"",338
Icon Ventures,ionic-security,https://api.crunchbase.com/v3.1/organizations/ionic-security,"",3207
Icon Ventures,timescaledb,https://api.crunchbase.com/v3.1/organizations/timescaledb,"",4776
Icon Ventures,alation,https://api.crunchbase.com/v3.1/organizations/alation,"",1224
Icon Ventures,area-1-security,https://api.crunchbase.com/v3.1/organizations/area-1-security,"",1724
Icon Ventures,rylo,https://api.crunchbase.com/v3.1/organizations/rylo,"",6203
Icon Ventures,datrium,https://api.crunchbase.com/v3.1/organizations/datrium,"",2101
Icon Ventures,kixeye,https://api.crunchbase.com/v3.1/organizations/kixeye,"",37676
Icon Ventures,quizlet,https://api.crunchbase.com/v3.1/organizations/quizlet,"",27090
Icon Ventures,ever-ai,https://api.crunchbase.com/v3.1/organizations/ever-ai,"",5581
Icon Ventures,ripcord-2,https://api.crunchbase.com/v3.1/organizations/ripcord-2,"",4339
Icon Ventures,opcity,https://api.crunchbase.com/v3.1/organizations/opcity,"",3110
Icon Ventures,synack,https://api.crunchbase.com/v3.1/organizations/synack,"",1772
Icon Ventures,reputation-com,https://api.crunchbase.com/v3.1/organizations/reputation-com,"",28842
Icon Ventures,thanx,https://api.crunchbase.com/v3.1/organizations/thanx,"",2790
Icon Ventures,the-muse,https://api.crunchbase.com/v3.1/organizations/the-muse,"",2184
Icon Ventures,tunein-inc,https://api.crunchbase.com/v3.1/organizations/tunein-inc,"",1220
Icon Ventures,zephyr-health,https://api.crunchbase.com/v3.1/organizations/zephyr-health,"",5506
Icon Ventures,duetto-research,https://api.crunchbase.com/v3.1/organizations/duetto-research,"",2248
Icon Ventures,delphix,https://api.crunchbase.com/v3.1/organizations/delphix,"",2489
Icon Ventures,redseal-systems,https://api.crunchbase.com/v3.1/organizations/redseal-systems,"",3512
Icon Ventures,tune,https://api.crunchbase.com/v3.1/organizations/tune,"",4408
Icon Ventures,huddle,https://api.crunchbase.com/v3.1/organizations/huddle,"",2850
Icon Ventures,playstudios,https://api.crunchbase.com/v3.1/organizations/playstudios,"",6977
Icon Ventures,teladoc,https://api.crunchbase.com/v3.1/organizations/teladoc,"",481
Icon Ventures,cloudphysics,https://api.crunchbase.com/v3.1/organizations/cloudphysics,"",10095
Icon Ventures,truex-media,https://api.crunchbase.com/v3.1/organizations/truex-media,"",14632
Icon Ventures,origami-logic,https://api.crunchbase.com/v3.1/organizations/origami-logic,"",3873
Icon Ventures,bill-com,https://api.crunchbase.com/v3.1/organizations/bill-com,"",1280
Icon Ventures,sitime,https://api.crunchbase.com/v3.1/organizations/sitime,"",16935
Icon Ventures,inkling-inc,https://api.crunchbase.com/v3.1/organizations/inkling-inc,"",29415
Icon Ventures,moovweb,https://api.crunchbase.com/v3.1/organizations/moovweb,"",9956
Icon Ventures,pertino,https://api.crunchbase.com/v3.1/organizations/pertino,"",22832
Icon Ventures,devicescape,https://api.crunchbase.com/v3.1/organizations/devicescape,"",24879
Icon Ventures,avnera,https://api.crunchbase.com/v3.1/organizations/avnera,"",19974
Icon Ventures,fireeye,https://api.crunchbase.com/v3.1/organizations/fireeye,"",305
Icon Ventures,vuclip,https://api.crunchbase.com/v3.1/organizations/vuclip,"",5148
Icon Ventures,world-golf-tour,https://api.crunchbase.com/v3.1/organizations/world-golf-tour,"",33123
Icon Ventures,mopub,https://api.crunchbase.com/v3.1/organizations/mopub,"",7182
Icon Ventures,stellr,https://api.crunchbase.com/v3.1/organizations/stellr,"",43717
Icon Ventures,awarepoint,https://api.crunchbase.com/v3.1/organizations/awarepoint,"",15249
Icon Ventures,group-commerce,https://api.crunchbase.com/v3.1/organizations/group-commerce,"",30549
Icon Ventures,41st-parameter,https://api.crunchbase.com/v3.1/organizations/41st-parameter,"",19793
Icon Ventures,xambala,https://api.crunchbase.com/v3.1/organizations/xambala,"",26327
Icon Ventures,sencha,https://api.crunchbase.com/v3.1/organizations/sencha,"",16182
Icon Ventures,ultrasolar-technology,https://api.crunchbase.com/v3.1/organizations/ultrasolar-technology,"",42216
Icon Ventures,posterous,https://api.crunchbase.com/v3.1/organizations/posterous,"",22008
Icon Ventures,hara,https://api.crunchbase.com/v3.1/organizations/hara,"",24808
Icon Ventures,meebo,https://api.crunchbase.com/v3.1/organizations/meebo,"",23543
Icon Ventures,plastic-jungle,https://api.crunchbase.com/v3.1/organizations/plastic-jungle,"",7960
Icon Ventures,clairmail,https://api.crunchbase.com/v3.1/organizations/clairmail,"",38527
Icon Ventures,aster-data-systems,https://api.crunchbase.com/v3.1/organizations/aster-data-systems,"",14638
Icon Ventures,attributor,https://api.crunchbase.com/v3.1/organizations/attributor,"",61967
Icon Ventures,purfresh,https://api.crunchbase.com/v3.1/organizations/purfresh,"",33968
