Organization Name,Invested In,Api Url,Description,Rank
ICONYC labs,fixel,https://api.crunchbase.com/v3.1/organizations/fixel,"",35886
ICONYC labs,wishbox,https://api.crunchbase.com/v3.1/organizations/wishbox,"",47958
ICONYC labs,xperiti,https://api.crunchbase.com/v3.1/organizations/xperiti,"",10219
ICONYC labs,voiceable-8556,https://api.crunchbase.com/v3.1/organizations/voiceable-8556,"",65660
ICONYC labs,shiperd,https://api.crunchbase.com/v3.1/organizations/shiperd,"",54680
ICONYC labs,stagira,https://api.crunchbase.com/v3.1/organizations/stagira,"",71576
ICONYC labs,reveal-labs,https://api.crunchbase.com/v3.1/organizations/reveal-labs,"",68477
ICONYC labs,oodlz,https://api.crunchbase.com/v3.1/organizations/oodlz,"",90303
ICONYC labs,trialjectory,https://api.crunchbase.com/v3.1/organizations/trialjectory,"",51312
ICONYC labs,lance,https://api.crunchbase.com/v3.1/organizations/lance,"",26595
ICONYC labs,cryptonomy,https://api.crunchbase.com/v3.1/organizations/cryptonomy,"",378289
ICONYC labs,credwi,https://api.crunchbase.com/v3.1/organizations/credwi,"",27867
ICONYC labs,package-ai,https://api.crunchbase.com/v3.1/organizations/package-ai,"",114097
ICONYC labs,dataloop,https://api.crunchbase.com/v3.1/organizations/dataloop,"",86960
ICONYC labs,halo-labs,https://api.crunchbase.com/v3.1/organizations/halo-labs,"",108058
ICONYC labs,pitaya,https://api.crunchbase.com/v3.1/organizations/pitaya,"",137634
ICONYC labs,wiseye,https://api.crunchbase.com/v3.1/organizations/wiseye,"",25856
ICONYC labs,profility,https://api.crunchbase.com/v3.1/organizations/profility,"",30512
ICONYC labs,calibermind,https://api.crunchbase.com/v3.1/organizations/calibermind,"",12892
ICONYC labs,botique-ai,https://api.crunchbase.com/v3.1/organizations/botique-ai,"",29750
ICONYC labs,leo-6128,https://api.crunchbase.com/v3.1/organizations/leo-6128,"",95779
ICONYC labs,cast-plus,https://api.crunchbase.com/v3.1/organizations/cast-plus,"",146832
ICONYC labs,funnster,https://api.crunchbase.com/v3.1/organizations/funnster,"",202565
ICONYC labs,copyleaks-plagiarism-checker,https://api.crunchbase.com/v3.1/organizations/copyleaks-plagiarism-checker,"",39238
ICONYC labs,pushapps,https://api.crunchbase.com/v3.1/organizations/pushapps,"",149401
ICONYC labs,zirra,https://api.crunchbase.com/v3.1/organizations/zirra,"",9255
ICONYC labs,propcy,https://api.crunchbase.com/v3.1/organizations/propcy,"",210908
ICONYC labs,third-eye-systems,https://api.crunchbase.com/v3.1/organizations/third-eye-systems,"",148489
ICONYC labs,video-therapy-ltd,https://api.crunchbase.com/v3.1/organizations/video-therapy-ltd,"",70663
ICONYC labs,myndyou,https://api.crunchbase.com/v3.1/organizations/myndyou,"",84367
ICONYC labs,connecteam,https://api.crunchbase.com/v3.1/organizations/connecteam,"",23885
ICONYC labs,worldclass,https://api.crunchbase.com/v3.1/organizations/worldclass,"",59714
ICONYC labs,swiftshift,https://api.crunchbase.com/v3.1/organizations/swiftshift,"",8940
ICONYC labs,securithings,https://api.crunchbase.com/v3.1/organizations/securithings,"",68664
ICONYC labs,cinch-technologies-inc,https://api.crunchbase.com/v3.1/organizations/cinch-technologies-inc,"",17315
ICONYC labs,gaonic,https://api.crunchbase.com/v3.1/organizations/gaonic,"",215297
ICONYC labs,dandyloop,https://api.crunchbase.com/v3.1/organizations/dandyloop,"",80707
ICONYC labs,myndlift,https://api.crunchbase.com/v3.1/organizations/myndlift,"",22169
ICONYC labs,flux-6,https://api.crunchbase.com/v3.1/organizations/flux-6,"",120025
ICONYC labs,clickspree,https://api.crunchbase.com/v3.1/organizations/clickspree,"",158199
