Organization Name,Invested In,Api Url,Description,Rank
IFC Venture Capital Group,liftit-co,https://api.crunchbase.com/v3.1/organizations/liftit-co,"",5678
IFC Venture Capital Group,moni,https://api.crunchbase.com/v3.1/organizations/moni,"",13939
IFC Venture Capital Group,africas-talking,https://api.crunchbase.com/v3.1/organizations/africas-talking,"",8299
IFC Venture Capital Group,recargapay,https://api.crunchbase.com/v3.1/organizations/recargapay,"",48038
IFC Venture Capital Group,huochebang,https://api.crunchbase.com/v3.1/organizations/huochebang,"",6766
IFC Venture Capital Group,minsheng-education-group-company,https://api.crunchbase.com/v3.1/organizations/minsheng-education-group-company,"",67419
IFC Venture Capital Group,loggi,https://api.crunchbase.com/v3.1/organizations/loggi,"",1446
IFC Venture Capital Group,byju-s,https://api.crunchbase.com/v3.1/organizations/byju-s,"",6402
IFC Venture Capital Group,mobisol,https://api.crunchbase.com/v3.1/organizations/mobisol,"",14420
IFC Venture Capital Group,best-logistics-technology,https://api.crunchbase.com/v3.1/organizations/best-logistics-technology,"",15595
IFC Venture Capital Group,nephroplus,https://api.crunchbase.com/v3.1/organizations/nephroplus,"",12742
IFC Venture Capital Group,ayla-networks,https://api.crunchbase.com/v3.1/organizations/ayla-networks,"",2746
IFC Venture Capital Group,lenskart-com,https://api.crunchbase.com/v3.1/organizations/lenskart-com,"",2804
IFC Venture Capital Group,bigbasket-com,https://api.crunchbase.com/v3.1/organizations/bigbasket-com,"",290
IFC Venture Capital Group,souq-com,https://api.crunchbase.com/v3.1/organizations/souq-com,"",3534
IFC Venture Capital Group,fawry,https://api.crunchbase.com/v3.1/organizations/fawry,"",2143
IFC Venture Capital Group,coursera,https://api.crunchbase.com/v3.1/organizations/coursera,"",229
IFC Venture Capital Group,portea-medical,https://api.crunchbase.com/v3.1/organizations/portea-medical,"",1603
IFC Venture Capital Group,aihuishou,https://api.crunchbase.com/v3.1/organizations/aihuishou,"",3893
IFC Venture Capital Group,organica-water,https://api.crunchbase.com/v3.1/organizations/organica-water,"",13042
IFC Venture Capital Group,applied-solar-technologies,https://api.crunchbase.com/v3.1/organizations/applied-solar-technologies,"",30641
IFC Venture Capital Group,affero-lab,https://api.crunchbase.com/v3.1/organizations/affero-lab,"",30891
IFC Venture Capital Group,planet-labs,https://api.crunchbase.com/v3.1/organizations/planet-labs,"",63
IFC Venture Capital Group,netshoes,https://api.crunchbase.com/v3.1/organizations/netshoes,"",8231
IFC Venture Capital Group,eye-q,https://api.crunchbase.com/v3.1/organizations/eye-q,"",29631
IFC Venture Capital Group,off-grid-electric,https://api.crunchbase.com/v3.1/organizations/off-grid-electric,"",5431
IFC Venture Capital Group,ioxus,https://api.crunchbase.com/v3.1/organizations/ioxus,"",13690
IFC Venture Capital Group,lamoda,https://api.crunchbase.com/v3.1/organizations/lamoda,"",4863
IFC Venture Capital Group,fluidic-energy,https://api.crunchbase.com/v3.1/organizations/fluidic-energy,"",8079
IFC Venture Capital Group,kaiima,https://api.crunchbase.com/v3.1/organizations/kaiima,"",20045
IFC Venture Capital Group,ecolibrium,https://api.crunchbase.com/v3.1/organizations/ecolibrium,"",23731
IFC Venture Capital Group,azure-power,https://api.crunchbase.com/v3.1/organizations/azure-power,"",4633
IFC Venture Capital Group,sunpreme,https://api.crunchbase.com/v3.1/organizations/sunpreme,"",27261
IFC Venture Capital Group,microvast,https://api.crunchbase.com/v3.1/organizations/microvast,"",14827
IFC Venture Capital Group,evrotek,https://api.crunchbase.com/v3.1/organizations/evrotek,"",421474
