Organization Name,Invested In,Api Url,Description,Rank
Ignition Partners,icertis,https://api.crunchbase.com/v3.1/organizations/icertis,"",1874
Ignition Partners,tempered-networks,https://api.crunchbase.com/v3.1/organizations/tempered-networks,"",6481
Ignition Partners,jupiter-intelligence,https://api.crunchbase.com/v3.1/organizations/jupiter-intelligence,"",5774
Ignition Partners,intelage,https://api.crunchbase.com/v3.1/organizations/intelage,"",23722
Ignition Partners,shyft,https://api.crunchbase.com/v3.1/organizations/shyft,"",3007
Ignition Partners,the-studio,https://api.crunchbase.com/v3.1/organizations/the-studio,"",10687
Ignition Partners,tractable,https://api.crunchbase.com/v3.1/organizations/tractable,"",2280
Ignition Partners,astrumu-inc,https://api.crunchbase.com/v3.1/organizations/astrumu-inc,"",10663
Ignition Partners,trifacta,https://api.crunchbase.com/v3.1/organizations/trifacta,"",902
Ignition Partners,botkeeper,https://api.crunchbase.com/v3.1/organizations/botkeeper,"",1991
Ignition Partners,amplero,https://api.crunchbase.com/v3.1/organizations/amplero,"",4833
Ignition Partners,azuqua,https://api.crunchbase.com/v3.1/organizations/azuqua,"",7418
Ignition Partners,livestories,https://api.crunchbase.com/v3.1/organizations/livestories,"",11208
Ignition Partners,bionym,https://api.crunchbase.com/v3.1/organizations/bionym,"",7903
Ignition Partners,spoken-communications,https://api.crunchbase.com/v3.1/organizations/spoken-communications,"",16400
Ignition Partners,kensci,https://api.crunchbase.com/v3.1/organizations/kensci,"",3002
Ignition Partners,aviatrix,https://api.crunchbase.com/v3.1/organizations/aviatrix,"",3565
Ignition Partners,snaplogic,https://api.crunchbase.com/v3.1/organizations/snaplogic,"",1133
Ignition Partners,accompany,https://api.crunchbase.com/v3.1/organizations/accompany,"",7180
Ignition Partners,glympse,https://api.crunchbase.com/v3.1/organizations/glympse,"",6613
Ignition Partners,acalvio-technologies,https://api.crunchbase.com/v3.1/organizations/acalvio-technologies,"",4837
Ignition Partners,signalsense,https://api.crunchbase.com/v3.1/organizations/signalsense,"",78605
Ignition Partners,integris-software,https://api.crunchbase.com/v3.1/organizations/integris-software,"",6957
Ignition Partners,bromium,https://api.crunchbase.com/v3.1/organizations/bromium,"",4286
Ignition Partners,couchbase,https://api.crunchbase.com/v3.1/organizations/couchbase,"",1944
Ignition Partners,iron-io,https://api.crunchbase.com/v3.1/organizations/iron-io,"",14744
Ignition Partners,unidesk,https://api.crunchbase.com/v3.1/organizations/unidesk,"",22982
Ignition Partners,talentsonar,https://api.crunchbase.com/v3.1/organizations/talentsonar,"",23153
Ignition Partners,docker,https://api.crunchbase.com/v3.1/organizations/docker,"",151
Ignition Partners,cask,https://api.crunchbase.com/v3.1/organizations/cask,"",7512
Ignition Partners,streamsets,https://api.crunchbase.com/v3.1/organizations/streamsets,"",2308
Ignition Partners,chef,https://api.crunchbase.com/v3.1/organizations/chef,"",3397
Ignition Partners,bluedata-software,https://api.crunchbase.com/v3.1/organizations/bluedata-software,"",5476
Ignition Partners,apprenda,https://api.crunchbase.com/v3.1/organizations/apprenda,"",9731
Ignition Partners,yhat,https://api.crunchbase.com/v3.1/organizations/yhat,"",23032
Ignition Partners,convergent-io-technologies,https://api.crunchbase.com/v3.1/organizations/convergent-io-technologies,"",13658
Ignition Partners,skytap,https://api.crunchbase.com/v3.1/organizations/skytap,"",4914
Ignition Partners,wit-ai,https://api.crunchbase.com/v3.1/organizations/wit-ai,"",12572
Ignition Partners,keas,https://api.crunchbase.com/v3.1/organizations/keas,"",9031
Ignition Partners,xamarin,https://api.crunchbase.com/v3.1/organizations/xamarin,"",3785
Ignition Partners,paxvax,https://api.crunchbase.com/v3.1/organizations/paxvax,"",9312
Ignition Partners,hipmunk,https://api.crunchbase.com/v3.1/organizations/hipmunk,"",3390
Ignition Partners,message-bus,https://api.crunchbase.com/v3.1/organizations/message-bus,"",28782
Ignition Partners,motif-investing,https://api.crunchbase.com/v3.1/organizations/motif-investing,"",2963
Ignition Partners,avvo,https://api.crunchbase.com/v3.1/organizations/avvo,"",4600
Ignition Partners,tipbit,https://api.crunchbase.com/v3.1/organizations/tipbit,"",36656
Ignition Partners,docusign,https://api.crunchbase.com/v3.1/organizations/docusign,"",3675
Ignition Partners,strongloop,https://api.crunchbase.com/v3.1/organizations/strongloop,"",26743
Ignition Partners,vastrm,https://api.crunchbase.com/v3.1/organizations/vastrm,"",44508
Ignition Partners,swiftype,https://api.crunchbase.com/v3.1/organizations/swiftype,"",8322
Ignition Partners,mattermark,https://api.crunchbase.com/v3.1/organizations/mattermark,"",10067
Ignition Partners,tellwise,https://api.crunchbase.com/v3.1/organizations/tellwise,"",39334
Ignition Partners,amiato,https://api.crunchbase.com/v3.1/organizations/amiato,"",31426
Ignition Partners,hangtime,https://api.crunchbase.com/v3.1/organizations/hangtime,"",46443
Ignition Partners,whiptail,https://api.crunchbase.com/v3.1/organizations/whiptail,"",47583
Ignition Partners,cloudera,https://api.crunchbase.com/v3.1/organizations/cloudera,"",321
Ignition Partners,refer-ly,https://api.crunchbase.com/v3.1/organizations/refer-ly,"",37765
Ignition Partners,xeround,https://api.crunchbase.com/v3.1/organizations/xeround,"",31040
Ignition Partners,topsy-labs,https://api.crunchbase.com/v3.1/organizations/topsy-labs,"",37232
Ignition Partners,stellr,https://api.crunchbase.com/v3.1/organizations/stellr,"",43717
Ignition Partners,korrio,https://api.crunchbase.com/v3.1/organizations/korrio,"",43965
Ignition Partners,orderahead,https://api.crunchbase.com/v3.1/organizations/orderahead,"",8616
Ignition Partners,prosodic,https://api.crunchbase.com/v3.1/organizations/prosodic,"",70564
Ignition Partners,wepay,https://api.crunchbase.com/v3.1/organizations/wepay,"",27700
