Organization Name,Invested In,Api Url,Description,Rank
Indicator Ventures,catchco,https://api.crunchbase.com/v3.1/organizations/catchco,"",3381
Indicator Ventures,wade-wendy,https://api.crunchbase.com/v3.1/organizations/wade-wendy,"",6466
Indicator Ventures,netomi,https://api.crunchbase.com/v3.1/organizations/netomi,"",7826
Indicator Ventures,simplifeye,https://api.crunchbase.com/v3.1/organizations/simplifeye,"",14944
Indicator Ventures,everbloom,https://api.crunchbase.com/v3.1/organizations/everbloom,"",38200
Indicator Ventures,pienso,https://api.crunchbase.com/v3.1/organizations/pienso,"",19397
Indicator Ventures,islands,https://api.crunchbase.com/v3.1/organizations/islands,"",10605
Indicator Ventures,vida-co,https://api.crunchbase.com/v3.1/organizations/vida-co,"",8270
Indicator Ventures,nimble-crm,https://api.crunchbase.com/v3.1/organizations/nimble-crm,"",8044
Indicator Ventures,entrypoint,https://api.crunchbase.com/v3.1/organizations/entrypoint,"",29857
Indicator Ventures,irisvr-inc,https://api.crunchbase.com/v3.1/organizations/irisvr-inc,"",6460
Indicator Ventures,cielo24,https://api.crunchbase.com/v3.1/organizations/cielo24,"",9795
Indicator Ventures,shibumi,https://api.crunchbase.com/v3.1/organizations/shibumi,"",14118
Indicator Ventures,noble-markets,https://api.crunchbase.com/v3.1/organizations/noble-markets,"",103186
Indicator Ventures,edyn,https://api.crunchbase.com/v3.1/organizations/edyn,"",20552
Indicator Ventures,unikrn-2,https://api.crunchbase.com/v3.1/organizations/unikrn-2,"",6775
Indicator Ventures,mezzobit,https://api.crunchbase.com/v3.1/organizations/mezzobit,"",62032
Indicator Ventures,caplinked,https://api.crunchbase.com/v3.1/organizations/caplinked,"",13677
Indicator Ventures,brainscape,https://api.crunchbase.com/v3.1/organizations/brainscape,"",16619
Indicator Ventures,lob,https://api.crunchbase.com/v3.1/organizations/lob,"",2392
Indicator Ventures,inkshares,https://api.crunchbase.com/v3.1/organizations/inkshares,"",50459
Indicator Ventures,bond,https://api.crunchbase.com/v3.1/organizations/bond,"",9972
Indicator Ventures,circa,https://api.crunchbase.com/v3.1/organizations/circa,"",27535
Indicator Ventures,tbh,https://api.crunchbase.com/v3.1/organizations/tbh,"",18710
