Organization Name,Invested In,Api Url,Description,Rank
IVP (Institutional Venture Partners),brex,https://api.crunchbase.com/v3.1/organizations/brex,"",1935
IVP (Institutional Venture Partners),yellowbrick-data,https://api.crunchbase.com/v3.1/organizations/yellowbrick-data,"",1556
IVP (Institutional Venture Partners),eightfold,https://api.crunchbase.com/v3.1/organizations/eightfold,"",19611
IVP (Institutional Venture Partners),keeptruckin,https://api.crunchbase.com/v3.1/organizations/keeptruckin,"",15681
IVP (Institutional Venture Partners),harness-512d,https://api.crunchbase.com/v3.1/organizations/harness-512d,"",806
IVP (Institutional Venture Partners),expanse-inc,https://api.crunchbase.com/v3.1/organizations/expanse-inc,"",990
IVP (Institutional Venture Partners),casper,https://api.crunchbase.com/v3.1/organizations/casper,"",226
IVP (Institutional Venture Partners),glossier,https://api.crunchbase.com/v3.1/organizations/glossier,"",8566
IVP (Institutional Venture Partners),limebike,https://api.crunchbase.com/v3.1/organizations/limebike,"",1706
IVP (Institutional Venture Partners),nianticlabs,https://api.crunchbase.com/v3.1/organizations/nianticlabs,"",46
IVP (Institutional Venture Partners),rubrik,https://api.crunchbase.com/v3.1/organizations/rubrik,"",270
IVP (Institutional Venture Partners),discord,https://api.crunchbase.com/v3.1/organizations/discord,"",159
IVP (Institutional Venture Partners),amplitude,https://api.crunchbase.com/v3.1/organizations/amplitude,"",15929
IVP (Institutional Venture Partners),pindrop-security,https://api.crunchbase.com/v3.1/organizations/pindrop-security,"",2182
IVP (Institutional Venture Partners),deputy,https://api.crunchbase.com/v3.1/organizations/deputy,"",1976
IVP (Institutional Venture Partners),hashicorp,https://api.crunchbase.com/v3.1/organizations/hashicorp,"",758
IVP (Institutional Venture Partners),g2-crowd,https://api.crunchbase.com/v3.1/organizations/g2-crowd,"",371
IVP (Institutional Venture Partners),ziprecruiter,https://api.crunchbase.com/v3.1/organizations/ziprecruiter,"",532
IVP (Institutional Venture Partners),compassinc,https://api.crunchbase.com/v3.1/organizations/compassinc,"",4197
IVP (Institutional Venture Partners),uipath,https://api.crunchbase.com/v3.1/organizations/uipath,"",4208
IVP (Institutional Venture Partners),masterclass,https://api.crunchbase.com/v3.1/organizations/masterclass,"",68
IVP (Institutional Venture Partners),hims,https://api.crunchbase.com/v3.1/organizations/hims,"",14278
IVP (Institutional Venture Partners),crowdstrike,https://api.crunchbase.com/v3.1/organizations/crowdstrike,"",1958
IVP (Institutional Venture Partners),podium-2,https://api.crunchbase.com/v3.1/organizations/podium-2,"",1723
IVP (Institutional Venture Partners),lulus,https://api.crunchbase.com/v3.1/organizations/lulus,"",4832
IVP (Institutional Venture Partners),tanium,https://api.crunchbase.com/v3.1/organizations/tanium,"",893
IVP (Institutional Venture Partners),humu,https://api.crunchbase.com/v3.1/organizations/humu,"",30841
IVP (Institutional Venture Partners),inventure,https://api.crunchbase.com/v3.1/organizations/inventure,"",1097
IVP (Institutional Venture Partners),skydio,https://api.crunchbase.com/v3.1/organizations/skydio,"",1527
IVP (Institutional Venture Partners),threatstream,https://api.crunchbase.com/v3.1/organizations/threatstream,"",1302
IVP (Institutional Venture Partners),thrive-global,https://api.crunchbase.com/v3.1/organizations/thrive-global,"",914
IVP (Institutional Venture Partners),qubole,https://api.crunchbase.com/v3.1/organizations/qubole,"",1525
IVP (Institutional Venture Partners),transferwise,https://api.crunchbase.com/v3.1/organizations/transferwise,"",124
IVP (Institutional Venture Partners),tunein-inc,https://api.crunchbase.com/v3.1/organizations/tunein-inc,"",1220
IVP (Institutional Venture Partners),coinbase,https://api.crunchbase.com/v3.1/organizations/coinbase,"",243
IVP (Institutional Venture Partners),liangzibao-cn,https://api.crunchbase.com/v3.1/organizations/liangzibao-cn,"",38573
IVP (Institutional Venture Partners),sumo-logic,https://api.crunchbase.com/v3.1/organizations/sumo-logic,"",211
IVP (Institutional Venture Partners),grammarly,https://api.crunchbase.com/v3.1/organizations/grammarly,"",467
IVP (Institutional Venture Partners),domo,https://api.crunchbase.com/v3.1/organizations/domo,"",12583
IVP (Institutional Venture Partners),the-players-tribune,https://api.crunchbase.com/v3.1/organizations/the-players-tribune,"",5827
IVP (Institutional Venture Partners),ksher,https://api.crunchbase.com/v3.1/organizations/ksher,"",33177
IVP (Institutional Venture Partners),sauce-labs,https://api.crunchbase.com/v3.1/organizations/sauce-labs,"",1826
IVP (Institutional Venture Partners),xad,https://api.crunchbase.com/v3.1/organizations/xad,"",1994
IVP (Institutional Venture Partners),giphy,https://api.crunchbase.com/v3.1/organizations/giphy,"",502
IVP (Institutional Venture Partners),twyla-inc,https://api.crunchbase.com/v3.1/organizations/twyla-inc,"",18141
IVP (Institutional Venture Partners),cyence,https://api.crunchbase.com/v3.1/organizations/cyence,"",39699
IVP (Institutional Venture Partners),surfair,https://api.crunchbase.com/v3.1/organizations/surfair,"",30593
IVP (Institutional Venture Partners),woven-digital,https://api.crunchbase.com/v3.1/organizations/woven-digital,"",14969
IVP (Institutional Venture Partners),soundcloud,https://api.crunchbase.com/v3.1/organizations/soundcloud,"",220
IVP (Institutional Venture Partners),snapchat,https://api.crunchbase.com/v3.1/organizations/snapchat,"",5173
IVP (Institutional Venture Partners),slack,https://api.crunchbase.com/v3.1/organizations/slack,"",259
IVP (Institutional Venture Partners),checkr,https://api.crunchbase.com/v3.1/organizations/checkr,"",770
IVP (Institutional Venture Partners),app-annie,https://api.crunchbase.com/v3.1/organizations/app-annie,"",481
IVP (Institutional Venture Partners),zerto,https://api.crunchbase.com/v3.1/organizations/zerto,"",2543
IVP (Institutional Venture Partners),steelbrick,https://api.crunchbase.com/v3.1/organizations/steelbrick,"",7544
IVP (Institutional Venture Partners),social-finance,https://api.crunchbase.com/v3.1/organizations/social-finance,"",6053
IVP (Institutional Venture Partners),walker-company-brands,https://api.crunchbase.com/v3.1/organizations/walker-company-brands,"",6857
IVP (Institutional Venture Partners),alienvault,https://api.crunchbase.com/v3.1/organizations/alienvault,"",16422
IVP (Institutional Venture Partners),the-honest-company,https://api.crunchbase.com/v3.1/organizations/the-honest-company,"",568
IVP (Institutional Venture Partners),github,https://api.crunchbase.com/v3.1/organizations/github,"",19
IVP (Institutional Venture Partners),whipclip,https://api.crunchbase.com/v3.1/organizations/whipclip,"",5617
IVP (Institutional Venture Partners),lesdo,https://api.crunchbase.com/v3.1/organizations/lesdo,"",226244
IVP (Institutional Venture Partners),nerdwallet,https://api.crunchbase.com/v3.1/organizations/nerdwallet,"",15098
IVP (Institutional Venture Partners),zenefits,https://api.crunchbase.com/v3.1/organizations/zenefits,"",633
IVP (Institutional Venture Partners),vessel-2,https://api.crunchbase.com/v3.1/organizations/vessel-2,"",7611
IVP (Institutional Venture Partners),ayasdi,https://api.crunchbase.com/v3.1/organizations/ayasdi,"",2132
IVP (Institutional Venture Partners),dataminr,https://api.crunchbase.com/v3.1/organizations/dataminr,"",1267
IVP (Institutional Venture Partners),uber,https://api.crunchbase.com/v3.1/organizations/uber,"",42
IVP (Institutional Venture Partners),progreso-financiero,https://api.crunchbase.com/v3.1/organizations/progreso-financiero,"",1594
IVP (Institutional Venture Partners),personal-capital,https://api.crunchbase.com/v3.1/organizations/personal-capital,"",7745
IVP (Institutional Venture Partners),inspirato,https://api.crunchbase.com/v3.1/organizations/inspirato,"",3380
IVP (Institutional Venture Partners),wedding-spot,https://api.crunchbase.com/v3.1/organizations/wedding-spot,"",18342
IVP (Institutional Venture Partners),wikia,https://api.crunchbase.com/v3.1/organizations/wikia,"",4172
IVP (Institutional Venture Partners),appdynamics,https://api.crunchbase.com/v3.1/organizations/appdynamics,"",529
IVP (Institutional Venture Partners),yext,https://api.crunchbase.com/v3.1/organizations/yext,"",405
IVP (Institutional Venture Partners),hipmunk,https://api.crunchbase.com/v3.1/organizations/hipmunk,"",3390
IVP (Institutional Venture Partners),datalogix,https://api.crunchbase.com/v3.1/organizations/datalogix,"",7087
IVP (Institutional Venture Partners),prosper,https://api.crunchbase.com/v3.1/organizations/prosper,"",1177
IVP (Institutional Venture Partners),adroll-semantic-sugar-inc,https://api.crunchbase.com/v3.1/organizations/adroll-semantic-sugar-inc,"",1760
