Organization Name,Invested In,Api Url,Description,Rank
iSELECT FUND,agrilyst-inc,https://api.crunchbase.com/v3.1/organizations/agrilyst-inc,"",3999
iSELECT FUND,benson-hill-biosystems,https://api.crunchbase.com/v3.1/organizations/benson-hill-biosystems,"",1315
iSELECT FUND,herddogg,https://api.crunchbase.com/v3.1/organizations/herddogg,"",18038
iSELECT FUND,entac-medical,https://api.crunchbase.com/v3.1/organizations/entac-medical,"",47481
iSELECT FUND,bonumose,https://api.crunchbase.com/v3.1/organizations/bonumose,"",31160
iSELECT FUND,cofactor-genomics,https://api.crunchbase.com/v3.1/organizations/cofactor-genomics,"",10206
iSELECT FUND,agrible,https://api.crunchbase.com/v3.1/organizations/agrible,"",13273
iSELECT FUND,popbookings,https://api.crunchbase.com/v3.1/organizations/popbookings,"",35711
iSELECT FUND,holganix,https://api.crunchbase.com/v3.1/organizations/holganix,"",26051
iSELECT FUND,whistler-technologies,https://api.crunchbase.com/v3.1/organizations/whistler-technologies,"",25337
iSELECT FUND,euclises-pharmaceuticals,https://api.crunchbase.com/v3.1/organizations/euclises-pharmaceuticals,"",35730
iSELECT FUND,bractlet,https://api.crunchbase.com/v3.1/organizations/bractlet,"",12502
iSELECT FUND,kultevat-inc-,https://api.crunchbase.com/v3.1/organizations/kultevat-inc-,"",310700
iSELECT FUND,epharmix,https://api.crunchbase.com/v3.1/organizations/epharmix,"",18376
iSELECT FUND,streamlink-software,https://api.crunchbase.com/v3.1/organizations/streamlink-software,"",18852
iSELECT FUND,neuros-medical,https://api.crunchbase.com/v3.1/organizations/neuros-medical,"",16931
iSELECT FUND,open-studio-network,https://api.crunchbase.com/v3.1/organizations/open-studio-network,"",222154
iSELECT FUND,better-weekdays,https://api.crunchbase.com/v3.1/organizations/better-weekdays,"",32360
iSELECT FUND,antegrin-therapeutics,https://api.crunchbase.com/v3.1/organizations/antegrin-therapeutics,"",69170
iSELECT FUND,hatchbuck,https://api.crunchbase.com/v3.1/organizations/hatchbuck,"",12526
iSELECT FUND,ward-alternative-energy,https://api.crunchbase.com/v3.1/organizations/ward-alternative-energy,"",492093
iSELECT FUND,immunophotonics,https://api.crunchbase.com/v3.1/organizations/immunophotonics,"",36013
iSELECT FUND,gremln,https://api.crunchbase.com/v3.1/organizations/gremln,"",23904
iSELECT FUND,time-to-cater,https://api.crunchbase.com/v3.1/organizations/time-to-cater,"",92036
iSELECT FUND,crazy-for-education-llc,https://api.crunchbase.com/v3.1/organizations/crazy-for-education-llc,"",322356
iSELECT FUND,adfreeq,https://api.crunchbase.com/v3.1/organizations/adfreeq,"",92582
iSELECT FUND,tansna-therapeutics,https://api.crunchbase.com/v3.1/organizations/tansna-therapeutics,"",94787
