Organization Name,Invested In,Api Url,Description,Rank
J. Hunt Holdings,sandstone-diagnostics,https://api.crunchbase.com/v3.1/organizations/sandstone-diagnostics,"",9857
J. Hunt Holdings,agilvax,https://api.crunchbase.com/v3.1/organizations/agilvax,"",25986
J. Hunt Holdings,brands-of,https://api.crunchbase.com/v3.1/organizations/brands-of,"",79946
J. Hunt Holdings,timokids,https://api.crunchbase.com/v3.1/organizations/timokids,"",56816
J. Hunt Holdings,microcoaching,https://api.crunchbase.com/v3.1/organizations/microcoaching,"",271808
J. Hunt Holdings,misfit-juicery,https://api.crunchbase.com/v3.1/organizations/misfit-juicery,"",126479
J. Hunt Holdings,adlumin-inc,https://api.crunchbase.com/v3.1/organizations/adlumin-inc,"",39952
J. Hunt Holdings,shottracker,https://api.crunchbase.com/v3.1/organizations/shottracker,"",9796
J. Hunt Holdings,sensthys,https://api.crunchbase.com/v3.1/organizations/sensthys,"",65074
J. Hunt Holdings,vagabond,https://api.crunchbase.com/v3.1/organizations/vagabond,"",25469
J. Hunt Holdings,jask-labs-inc,https://api.crunchbase.com/v3.1/organizations/jask-labs-inc,"",2349
J. Hunt Holdings,spotterrf,https://api.crunchbase.com/v3.1/organizations/spotterrf,"",138150
J. Hunt Holdings,apex-expert-solutions,https://api.crunchbase.com/v3.1/organizations/apex-expert-solutions,"",168645
J. Hunt Holdings,immuta,https://api.crunchbase.com/v3.1/organizations/immuta,"",2759
J. Hunt Holdings,crowning-jules,https://api.crunchbase.com/v3.1/organizations/crowning-jules,"",749459
J. Hunt Holdings,threatq,https://api.crunchbase.com/v3.1/organizations/threatq,"",5493
J. Hunt Holdings,omnitrail-technologies,https://api.crunchbase.com/v3.1/organizations/omnitrail-technologies,"",189910
J. Hunt Holdings,senseware,https://api.crunchbase.com/v3.1/organizations/senseware,"",10795
J. Hunt Holdings,nandio,https://api.crunchbase.com/v3.1/organizations/nandio,"",46422
J. Hunt Holdings,the-trip-tribe,https://api.crunchbase.com/v3.1/organizations/the-trip-tribe,"",28578
J. Hunt Holdings,lkc-3,https://api.crunchbase.com/v3.1/organizations/lkc-3,"",715133
J. Hunt Holdings,kyndi,https://api.crunchbase.com/v3.1/organizations/kyndi,"",444
J. Hunt Holdings,taia-global,https://api.crunchbase.com/v3.1/organizations/taia-global,"",295447
J. Hunt Holdings,blue-triangle-technologies,https://api.crunchbase.com/v3.1/organizations/blue-triangle-technologies,"",12520
J. Hunt Holdings,avizia,https://api.crunchbase.com/v3.1/organizations/avizia,"",6461
J. Hunt Holdings,bluecart,https://api.crunchbase.com/v3.1/organizations/bluecart,"",5823
J. Hunt Holdings,cargosense,https://api.crunchbase.com/v3.1/organizations/cargosense,"",25027
J. Hunt Holdings,frameri,https://api.crunchbase.com/v3.1/organizations/frameri,"",42541
J. Hunt Holdings,solid-carbon-products,https://api.crunchbase.com/v3.1/organizations/solid-carbon-products,"",50269
J. Hunt Holdings,innroad-inc,https://api.crunchbase.com/v3.1/organizations/innroad-inc,"",14788
J. Hunt Holdings,urgent-ly,https://api.crunchbase.com/v3.1/organizations/urgent-ly,"",4626
J. Hunt Holdings,tailwind-air-service,https://api.crunchbase.com/v3.1/organizations/tailwind-air-service,"",239185
J. Hunt Holdings,campusbolt,https://api.crunchbase.com/v3.1/organizations/campusbolt,"",284218
J. Hunt Holdings,emu-technology,https://api.crunchbase.com/v3.1/organizations/emu-technology,"",23823
J. Hunt Holdings,3clogic,https://api.crunchbase.com/v3.1/organizations/3clogic,"",17620
J. Hunt Holdings,citelighter,https://api.crunchbase.com/v3.1/organizations/citelighter,"",14219
J. Hunt Holdings,cobrain,https://api.crunchbase.com/v3.1/organizations/cobrain,"",12149
J. Hunt Holdings,tradingview,https://api.crunchbase.com/v3.1/organizations/tradingview,"",606
J. Hunt Holdings,aquicore,https://api.crunchbase.com/v3.1/organizations/aquicore,"",4085
J. Hunt Holdings,latista,https://api.crunchbase.com/v3.1/organizations/latista,"",45577
J. Hunt Holdings,deepmile-networks,https://api.crunchbase.com/v3.1/organizations/deepmile-networks,"",224539
J. Hunt Holdings,social-tables,https://api.crunchbase.com/v3.1/organizations/social-tables,"",6060
J. Hunt Holdings,npulse-technologies,https://api.crunchbase.com/v3.1/organizations/npulse-technologies,"",46830
J. Hunt Holdings,social-toaster,https://api.crunchbase.com/v3.1/organizations/social-toaster,"",20054
J. Hunt Holdings,id-me,https://api.crunchbase.com/v3.1/organizations/id-me,"",6024
J. Hunt Holdings,unveillance,https://api.crunchbase.com/v3.1/organizations/unveillance,"",198176
J. Hunt Holdings,alo-networks,https://api.crunchbase.com/v3.1/organizations/alo-networks,"",121639
J. Hunt Holdings,pathsensors,https://api.crunchbase.com/v3.1/organizations/pathsensors,"",46547
J. Hunt Holdings,paca-foods,https://api.crunchbase.com/v3.1/organizations/paca-foods,"",217000
J. Hunt Holdings,small-act,https://api.crunchbase.com/v3.1/organizations/small-act,"",550166
J. Hunt Holdings,3pillar-global,https://api.crunchbase.com/v3.1/organizations/3pillar-global,"",13321
J. Hunt Holdings,broadswords,https://api.crunchbase.com/v3.1/organizations/broadswords,"",727315
J. Hunt Holdings,fedcap-partners,https://api.crunchbase.com/v3.1/organizations/fedcap-partners,"",223566
J. Hunt Holdings,brightplanet,https://api.crunchbase.com/v3.1/organizations/brightplanet,"",146404
J. Hunt Holdings,firstplay,https://api.crunchbase.com/v3.1/organizations/firstplay,"",611709
J. Hunt Holdings,cardstar,https://api.crunchbase.com/v3.1/organizations/cardstar,"",19750
J. Hunt Holdings,interfolio,https://api.crunchbase.com/v3.1/organizations/interfolio,"",8533
J. Hunt Holdings,miserware,https://api.crunchbase.com/v3.1/organizations/miserware,"",251154
J. Hunt Holdings,videonext,https://api.crunchbase.com/v3.1/organizations/videonext,"",189577
J. Hunt Holdings,ni2,https://api.crunchbase.com/v3.1/organizations/ni2,"",42654
J. Hunt Holdings,oculis-labs,https://api.crunchbase.com/v3.1/organizations/oculis-labs,"",60925
J. Hunt Holdings,ibelong,https://api.crunchbase.com/v3.1/organizations/ibelong,"",577184
J. Hunt Holdings,sensics,https://api.crunchbase.com/v3.1/organizations/sensics,"",40216
J. Hunt Holdings,rf-code,https://api.crunchbase.com/v3.1/organizations/rf-code,"",17842
J. Hunt Holdings,carnegie-speech,https://api.crunchbase.com/v3.1/organizations/carnegie-speech,"",37518
J. Hunt Holdings,magnify,https://api.crunchbase.com/v3.1/organizations/magnify,"",70609
J. Hunt Holdings,hook-mobile,https://api.crunchbase.com/v3.1/organizations/hook-mobile,"",33916
J. Hunt Holdings,terracycle,https://api.crunchbase.com/v3.1/organizations/terracycle,"",112744
J. Hunt Holdings,ocean-s-edge,https://api.crunchbase.com/v3.1/organizations/ocean-s-edge,"",208108
J. Hunt Holdings,brio-select,https://api.crunchbase.com/v3.1/organizations/brio-select,"",748496
J. Hunt Holdings,beck-s-brasserie,https://api.crunchbase.com/v3.1/organizations/beck-s-brasserie,"",704966
J. Hunt Holdings,bay-microsystems,https://api.crunchbase.com/v3.1/organizations/bay-microsystems,"",110715
J. Hunt Holdings,licketyship,https://api.crunchbase.com/v3.1/organizations/licketyship,"",390222
J. Hunt Holdings,cpacket-networks,https://api.crunchbase.com/v3.1/organizations/cpacket-networks,"",18442
J. Hunt Holdings,astute,https://api.crunchbase.com/v3.1/organizations/astute,"",117509
J. Hunt Holdings,information-security-corporation,https://api.crunchbase.com/v3.1/organizations/information-security-corporation,"",549425
J. Hunt Holdings,square-two-financial,https://api.crunchbase.com/v3.1/organizations/square-two-financial,"",225728
J. Hunt Holdings,overwatch-geospatial-operations,https://api.crunchbase.com/v3.1/organizations/overwatch-geospatial-operations,"",259409
J. Hunt Holdings,bds-incorporated,https://api.crunchbase.com/v3.1/organizations/bds-incorporated,"",523151
