Organization Name,Invested In,Api Url,Description,Rank
Johnson & Johnson Innovation,carbon3d,https://api.crunchbase.com/v3.1/organizations/carbon3d,"",446
Johnson & Johnson Innovation,artizan-biosciences,https://api.crunchbase.com/v3.1/organizations/artizan-biosciences,"",15481
Johnson & Johnson Innovation,techsomed,https://api.crunchbase.com/v3.1/organizations/techsomed,"",31760
Johnson & Johnson Innovation,twentyeight-seven-therapeutics,https://api.crunchbase.com/v3.1/organizations/twentyeight-seven-therapeutics,"",11500
Johnson & Johnson Innovation,histosonics,https://api.crunchbase.com/v3.1/organizations/histosonics,"",9943
Johnson & Johnson Innovation,inivata,https://api.crunchbase.com/v3.1/organizations/inivata,"",6979
Johnson & Johnson Innovation,hyalex-orthopaedics,https://api.crunchbase.com/v3.1/organizations/hyalex-orthopaedics,"",13528
Johnson & Johnson Innovation,calypso-biotech,https://api.crunchbase.com/v3.1/organizations/calypso-biotech,"",22235
Johnson & Johnson Innovation,biomx-inc,https://api.crunchbase.com/v3.1/organizations/biomx-inc,"",5947
Johnson & Johnson Innovation,aro-biotherapeutics,https://api.crunchbase.com/v3.1/organizations/aro-biotherapeutics,"",26583
Johnson & Johnson Innovation,magnolia-neurosciences,https://api.crunchbase.com/v3.1/organizations/magnolia-neurosciences,"",21715
Johnson & Johnson Innovation,v-wave,https://api.crunchbase.com/v3.1/organizations/v-wave,"",15208
Johnson & Johnson Innovation,joint-purification-systems,https://api.crunchbase.com/v3.1/organizations/joint-purification-systems,"",32537
Johnson & Johnson Innovation,reflexion-medical,https://api.crunchbase.com/v3.1/organizations/reflexion-medical,"",4142
Johnson & Johnson Innovation,epigencare,https://api.crunchbase.com/v3.1/organizations/epigencare,"",49856
Johnson & Johnson Innovation,syndesi-therapeutics,https://api.crunchbase.com/v3.1/organizations/syndesi-therapeutics,"",38598
Johnson & Johnson Innovation,certa-dose,https://api.crunchbase.com/v3.1/organizations/certa-dose,"",45117
Johnson & Johnson Innovation,fusion-pharmaceuticals,https://api.crunchbase.com/v3.1/organizations/fusion-pharmaceuticals,"",7633
Johnson & Johnson Innovation,xw-laboratories,https://api.crunchbase.com/v3.1/organizations/xw-laboratories,"",38214
Johnson & Johnson Innovation,rodeo-therapeutics,https://api.crunchbase.com/v3.1/organizations/rodeo-therapeutics,"",26502
Johnson & Johnson Innovation,e-scape-bio,https://api.crunchbase.com/v3.1/organizations/e-scape-bio,"",15232
Johnson & Johnson Innovation,cartiheal,https://api.crunchbase.com/v3.1/organizations/cartiheal,"",10990
Johnson & Johnson Innovation,superxpharma-2,https://api.crunchbase.com/v3.1/organizations/superxpharma-2,"",70750
Johnson & Johnson Innovation,provention-bio,https://api.crunchbase.com/v3.1/organizations/provention-bio,"",19625
Johnson & Johnson Innovation,binx-health,https://api.crunchbase.com/v3.1/organizations/binx-health,"",13994
Johnson & Johnson Innovation,apogen-biotechnologies,https://api.crunchbase.com/v3.1/organizations/apogen-biotechnologies,"",25736
Johnson & Johnson Innovation,orthospace,https://api.crunchbase.com/v3.1/organizations/orthospace,"",13876
Johnson & Johnson Innovation,glyscend,https://api.crunchbase.com/v3.1/organizations/glyscend,"",53100
Johnson & Johnson Innovation,blackthorn-therapeutics,https://api.crunchbase.com/v3.1/organizations/blackthorn-therapeutics,"",1922
Johnson & Johnson Innovation,tracon-pharmaceuticals,https://api.crunchbase.com/v3.1/organizations/tracon-pharmaceuticals,"",25013
Johnson & Johnson Innovation,torax-medical,https://api.crunchbase.com/v3.1/organizations/torax-medical,"",18739
Johnson & Johnson Innovation,welldoc,https://api.crunchbase.com/v3.1/organizations/welldoc,"",3980
Johnson & Johnson Innovation,lodo-therapeutics,https://api.crunchbase.com/v3.1/organizations/lodo-therapeutics,"",22434
Johnson & Johnson Innovation,aelix-therapeutics,https://api.crunchbase.com/v3.1/organizations/aelix-therapeutics,"",39037
Johnson & Johnson Innovation,petra-pharma-corporation,https://api.crunchbase.com/v3.1/organizations/petra-pharma-corporation,"",18724
Johnson & Johnson Innovation,navitor-pharmaceuticals,https://api.crunchbase.com/v3.1/organizations/navitor-pharmaceuticals,"",12244
Johnson & Johnson Innovation,first-aid-shot-therapy,https://api.crunchbase.com/v3.1/organizations/first-aid-shot-therapy,"",49978
Johnson & Johnson Innovation,prep-biopharm,https://api.crunchbase.com/v3.1/organizations/prep-biopharm,"",73806
Johnson & Johnson Innovation,asceneuron,https://api.crunchbase.com/v3.1/organizations/asceneuron,"",27682
Johnson & Johnson Innovation,merus,https://api.crunchbase.com/v3.1/organizations/merus,"",16134
Johnson & Johnson Innovation,minerva-neuroscience,https://api.crunchbase.com/v3.1/organizations/minerva-neuroscience,"",19958
Johnson & Johnson Innovation,djs-antibodies,https://api.crunchbase.com/v3.1/organizations/djs-antibodies,"",142935
Johnson & Johnson Innovation,viacyte,https://api.crunchbase.com/v3.1/organizations/viacyte,"",8043
