Organization Name,Invested In,Api Url,Description,Rank
Joyance Partners,wynd-technologies,https://api.crunchbase.com/v3.1/organizations/wynd-technologies,"",16347
Joyance Partners,osmosis-2,https://api.crunchbase.com/v3.1/organizations/osmosis-2,"",4847
Joyance Partners,finless-foods,https://api.crunchbase.com/v3.1/organizations/finless-foods,"",6581
Joyance Partners,mixlab,https://api.crunchbase.com/v3.1/organizations/mixlab,"",5223
Joyance Partners,toybox,https://api.crunchbase.com/v3.1/organizations/toybox,"",82551
Joyance Partners,paradromics,https://api.crunchbase.com/v3.1/organizations/paradromics,"",8097
Joyance Partners,irisvision,https://api.crunchbase.com/v3.1/organizations/irisvision,"",100179
Joyance Partners,figur8,https://api.crunchbase.com/v3.1/organizations/figur8,"",21854
Joyance Partners,emergy-food,https://api.crunchbase.com/v3.1/organizations/emergy-food,"",16440
Joyance Partners,pnoe,https://api.crunchbase.com/v3.1/organizations/pnoe,"",97863
Joyance Partners,trexo-robotics,https://api.crunchbase.com/v3.1/organizations/trexo-robotics,"",29726
Joyance Partners,brain-key,https://api.crunchbase.com/v3.1/organizations/brain-key,"",23916
Joyance Partners,bluwhale-c1f0,https://api.crunchbase.com/v3.1/organizations/bluwhale-c1f0,"",235940
Joyance Partners,misapplied-sciences,https://api.crunchbase.com/v3.1/organizations/misapplied-sciences,"",114813
Joyance Partners,lucid-care,https://api.crunchbase.com/v3.1/organizations/lucid-care,"",370852
Joyance Partners,neosensory-inc,https://api.crunchbase.com/v3.1/organizations/neosensory-inc,"",11031
Joyance Partners,neurosity,https://api.crunchbase.com/v3.1/organizations/neurosity,"",99890
Joyance Partners,hamama-inc,https://api.crunchbase.com/v3.1/organizations/hamama-inc,"",88078
Joyance Partners,embr-labs,https://api.crunchbase.com/v3.1/organizations/embr-labs,"",10955
Joyance Partners,werecover,https://api.crunchbase.com/v3.1/organizations/werecover,"",5229
Joyance Partners,novonutrients,https://api.crunchbase.com/v3.1/organizations/novonutrients,"",18185
Joyance Partners,singularity-ai,https://api.crunchbase.com/v3.1/organizations/singularity-ai,"",114595
Joyance Partners,probiusdx,https://api.crunchbase.com/v3.1/organizations/probiusdx,"",125175
Joyance Partners,epicore-biosystems,https://api.crunchbase.com/v3.1/organizations/epicore-biosystems,"",53951
Joyance Partners,vastbiome,https://api.crunchbase.com/v3.1/organizations/vastbiome,"",118056
Joyance Partners,noctrix-health,https://api.crunchbase.com/v3.1/organizations/noctrix-health,"",124893
Joyance Partners,playdate,https://api.crunchbase.com/v3.1/organizations/playdate,"",36791
Joyance Partners,dopaminelabs,https://api.crunchbase.com/v3.1/organizations/dopaminelabs,"",15757
Joyance Partners,statespace,https://api.crunchbase.com/v3.1/organizations/statespace,"",102251
Joyance Partners,hexis-5367,https://api.crunchbase.com/v3.1/organizations/hexis-5367,"",57536
Joyance Partners,thryve-2,https://api.crunchbase.com/v3.1/organizations/thryve-2,"",8201
Joyance Partners,supermedium,https://api.crunchbase.com/v3.1/organizations/supermedium,"",25910
Joyance Partners,solarea,https://api.crunchbase.com/v3.1/organizations/solarea,"",294692
Joyance Partners,lark,https://api.crunchbase.com/v3.1/organizations/lark,"",1936
Joyance Partners,smilo,https://api.crunchbase.com/v3.1/organizations/smilo,"",17542
Joyance Partners,the-block-crypto,https://api.crunchbase.com/v3.1/organizations/the-block-crypto,"",3698
Joyance Partners,loli-beauty,https://api.crunchbase.com/v3.1/organizations/loli-beauty,"",8086
Joyance Partners,unbound-4,https://api.crunchbase.com/v3.1/organizations/unbound-4,"",7374
Joyance Partners,panda-3,https://api.crunchbase.com/v3.1/organizations/panda-3,"",13946
Joyance Partners,gyant,https://api.crunchbase.com/v3.1/organizations/gyant,"",10724
Joyance Partners,transfrvr,https://api.crunchbase.com/v3.1/organizations/transfrvr,"",141944
Joyance Partners,flux-bioscience,https://api.crunchbase.com/v3.1/organizations/flux-bioscience,"",117258
Joyance Partners,tingles,https://api.crunchbase.com/v3.1/organizations/tingles,"",38596
Joyance Partners,clinone,https://api.crunchbase.com/v3.1/organizations/clinone,"",30036
Joyance Partners,basecoin,https://api.crunchbase.com/v3.1/organizations/basecoin,"",44118
Joyance Partners,vina,https://api.crunchbase.com/v3.1/organizations/vina,"",15353
Joyance Partners,closedloop-ai,https://api.crunchbase.com/v3.1/organizations/closedloop-ai,"",105787
Joyance Partners,depthkit,https://api.crunchbase.com/v3.1/organizations/depthkit,"",22167
