Organization Name,Invested In,Api Url,Description,Rank
Jackson Square Ventures,busdotcom,https://api.crunchbase.com/v3.1/organizations/busdotcom,"",2997
Jackson Square Ventures,tala-security,https://api.crunchbase.com/v3.1/organizations/tala-security,"",5786
Jackson Square Ventures,sideqik,https://api.crunchbase.com/v3.1/organizations/sideqik,"",9201
Jackson Square Ventures,seismic-software,https://api.crunchbase.com/v3.1/organizations/seismic-software,"",20759
Jackson Square Ventures,scriptdash,https://api.crunchbase.com/v3.1/organizations/scriptdash,"",1064
Jackson Square Ventures,waterline-data-science,https://api.crunchbase.com/v3.1/organizations/waterline-data-science,"",4106
Jackson Square Ventures,kindly-care,https://api.crunchbase.com/v3.1/organizations/kindly-care,"",9150
Jackson Square Ventures,crexi,https://api.crunchbase.com/v3.1/organizations/crexi,"",4103
Jackson Square Ventures,mynd,https://api.crunchbase.com/v3.1/organizations/mynd,"",1181
Jackson Square Ventures,atrium-lts,https://api.crunchbase.com/v3.1/organizations/atrium-lts,"",1172
Jackson Square Ventures,cornershop,https://api.crunchbase.com/v3.1/organizations/cornershop,"",2464
Jackson Square Ventures,plume-design-inc,https://api.crunchbase.com/v3.1/organizations/plume-design-inc,"",4443
Jackson Square Ventures,strava,https://api.crunchbase.com/v3.1/organizations/strava,"",620
Jackson Square Ventures,sparkcentral,https://api.crunchbase.com/v3.1/organizations/sparkcentral,"",3715
Jackson Square Ventures,contently,https://api.crunchbase.com/v3.1/organizations/contently,"",4880
Jackson Square Ventures,lanetix,https://api.crunchbase.com/v3.1/organizations/lanetix,"",12465
Jackson Square Ventures,alienvault,https://api.crunchbase.com/v3.1/organizations/alienvault,"",16422
Jackson Square Ventures,demandbase,https://api.crunchbase.com/v3.1/organizations/demandbase,"",22170
Jackson Square Ventures,rented-com,https://api.crunchbase.com/v3.1/organizations/rented-com,"",29278
Jackson Square Ventures,toutapp,https://api.crunchbase.com/v3.1/organizations/toutapp,"",8226
Jackson Square Ventures,upwork,https://api.crunchbase.com/v3.1/organizations/upwork,"",380
Jackson Square Ventures,centrify,https://api.crunchbase.com/v3.1/organizations/centrify,"",21740
Jackson Square Ventures,offerup,https://api.crunchbase.com/v3.1/organizations/offerup,"",404
Jackson Square Ventures,omniata,https://api.crunchbase.com/v3.1/organizations/omniata,"",27222
Jackson Square Ventures,docusign,https://api.crunchbase.com/v3.1/organizations/docusign,"",3675
Jackson Square Ventures,empyr,https://api.crunchbase.com/v3.1/organizations/empyr,"",7022
Jackson Square Ventures,mogl,https://api.crunchbase.com/v3.1/organizations/mogl,"",14963
Jackson Square Ventures,knowmia,https://api.crunchbase.com/v3.1/organizations/knowmia,"",135424
Jackson Square Ventures,accelera,https://api.crunchbase.com/v3.1/organizations/accelera,"",52251
Jackson Square Ventures,jackbox-games,https://api.crunchbase.com/v3.1/organizations/jackbox-games,"",102258
