Organization Name,Invested In,Api Url,Description,Rank
Kairos,babysparks-llc,https://api.crunchbase.com/v3.1/organizations/babysparks-llc,"",3223
Kairos,pillar-app,https://api.crunchbase.com/v3.1/organizations/pillar-app,"",4418
Kairos,easyknock,https://api.crunchbase.com/v3.1/organizations/easyknock,"",2620
Kairos,myvyllage,https://api.crunchbase.com/v3.1/organizations/myvyllage,"",9863
Kairos,cushion-2,https://api.crunchbase.com/v3.1/organizations/cushion-2,"",8704
Kairos,quilt-3,https://api.crunchbase.com/v3.1/organizations/quilt-3,"",17729
Kairos,monetus,https://api.crunchbase.com/v3.1/organizations/monetus,"",109049
Kairos,calypso-ai,https://api.crunchbase.com/v3.1/organizations/calypso-ai,"",75291
Kairos,rentlogic,https://api.crunchbase.com/v3.1/organizations/rentlogic,"",17041
Kairos,compound,https://api.crunchbase.com/v3.1/organizations/compound,"",3316
Kairos,fintual,https://api.crunchbase.com/v3.1/organizations/fintual,"",17815
Kairos,cover-technologies-inc,https://api.crunchbase.com/v3.1/organizations/cover-technologies-inc,"",11754
Kairos,cuidas,https://api.crunchbase.com/v3.1/organizations/cuidas,"",86559
Kairos,module,https://api.crunchbase.com/v3.1/organizations/module,"",20316
Kairos,cabin-2,https://api.crunchbase.com/v3.1/organizations/cabin-2,"",9966
Kairos,ride-health,https://api.crunchbase.com/v3.1/organizations/ride-health,"",74907
Kairos,flux-bioscience,https://api.crunchbase.com/v3.1/organizations/flux-bioscience,"",117258
Kairos,channel-cross-border,https://api.crunchbase.com/v3.1/organizations/channel-cross-border,"",204236
Kairos,bumblebee-spaces,https://api.crunchbase.com/v3.1/organizations/bumblebee-spaces,"",56011
Kairos,tributi,https://api.crunchbase.com/v3.1/organizations/tributi,"",23442
Kairos,stoop,https://api.crunchbase.com/v3.1/organizations/stoop,"",83061
Kairos,ayenda,https://api.crunchbase.com/v3.1/organizations/ayenda,"",67234
Kairos,positive-foods,https://api.crunchbase.com/v3.1/organizations/positive-foods,"",142104
Kairos,cowrywise,https://api.crunchbase.com/v3.1/organizations/cowrywise,"",13929
Kairos,vivvi,https://api.crunchbase.com/v3.1/organizations/vivvi,"",22165
Kairos,marigold-health,https://api.crunchbase.com/v3.1/organizations/marigold-health,"",15100
Kairos,muvo,https://api.crunchbase.com/v3.1/organizations/muvo,"",105195
Kairos,khonvo,https://api.crunchbase.com/v3.1/organizations/khonvo,"",123042
Kairos,pathrise,https://api.crunchbase.com/v3.1/organizations/pathrise,"",5335
Kairos,bankity,https://api.crunchbase.com/v3.1/organizations/bankity,"",96067
Kairos,happyemi,https://api.crunchbase.com/v3.1/organizations/happyemi,"",20423
Kairos,narmi,https://api.crunchbase.com/v3.1/organizations/narmi,"",23599
Kairos,ziffy-homes,https://api.crunchbase.com/v3.1/organizations/ziffy-homes,"",43234
Kairos,superfüds,https://api.crunchbase.com/v3.1/organizations/superfüds,"",40524
Kairos,doorport-3,https://api.crunchbase.com/v3.1/organizations/doorport-3,"",16994
Kairos,kunduz,https://api.crunchbase.com/v3.1/organizations/kunduz,"",24977
Kairos,covered-2,https://api.crunchbase.com/v3.1/organizations/covered-2,"",23992
Kairos,dana-cita,https://api.crunchbase.com/v3.1/organizations/dana-cita,"",20641
Kairos,kymira-sport,https://api.crunchbase.com/v3.1/organizations/kymira-sport,"",32754
Kairos,goodr,https://api.crunchbase.com/v3.1/organizations/goodr,"",13081
Kairos,higia,https://api.crunchbase.com/v3.1/organizations/higia,"",8475
Kairos,onfido,https://api.crunchbase.com/v3.1/organizations/onfido,"",412
Kairos,open-app,https://api.crunchbase.com/v3.1/organizations/open-app,"",8595
Kairos,little-spoon,https://api.crunchbase.com/v3.1/organizations/little-spoon,"",6457
Kairos,savi,https://api.crunchbase.com/v3.1/organizations/savi,"",22495
Kairos,groww,https://api.crunchbase.com/v3.1/organizations/groww,"",2368
Kairos,nuid-inc,https://api.crunchbase.com/v3.1/organizations/nuid-inc,"",14071
Kairos,werecover,https://api.crunchbase.com/v3.1/organizations/werecover,"",5229
Kairos,kinside,https://api.crunchbase.com/v3.1/organizations/kinside,"",15866
Kairos,mammoth-biosciences,https://api.crunchbase.com/v3.1/organizations/mammoth-biosciences,"",43990
Kairos,frubana,https://api.crunchbase.com/v3.1/organizations/frubana,"",3602
Kairos,cera,https://api.crunchbase.com/v3.1/organizations/cera,"",5801
Kairos,ibeat,https://api.crunchbase.com/v3.1/organizations/ibeat,"",6799
Kairos,spidr-2,https://api.crunchbase.com/v3.1/organizations/spidr-2,"",20435
Kairos,blueprint-income,https://api.crunchbase.com/v3.1/organizations/blueprint-income,"",59367
Kairos,rhino,https://api.crunchbase.com/v3.1/organizations/rhino,"",6163
Kairos,digital-genius-artificial-intelligence,https://api.crunchbase.com/v3.1/organizations/digital-genius-artificial-intelligence,"",31853
Kairos,tpaga,https://api.crunchbase.com/v3.1/organizations/tpaga,"",8694
Kairos,rezidenz,https://api.crunchbase.com/v3.1/organizations/rezidenz,"",140795
Kairos,platejoy,https://api.crunchbase.com/v3.1/organizations/platejoy,"",12081
Kairos,mi-águila,https://api.crunchbase.com/v3.1/organizations/mi-águila,"",114225
Kairos,radish-media-inc,https://api.crunchbase.com/v3.1/organizations/radish-media-inc,"",10590
