Organization Name,Invested In,Api Url,Description,Rank
Keiretsu Capital,astarte-medical-partners,https://api.crunchbase.com/v3.1/organizations/astarte-medical-partners,"",18131
Keiretsu Capital,toma-biosciences,https://api.crunchbase.com/v3.1/organizations/toma-biosciences,"",24411
Keiretsu Capital,beta-hatch,https://api.crunchbase.com/v3.1/organizations/beta-hatch,"",26963
Keiretsu Capital,alpin,https://api.crunchbase.com/v3.1/organizations/alpin,"",14503
Keiretsu Capital,shm-control,https://api.crunchbase.com/v3.1/organizations/shm-control,"",63268
Keiretsu Capital,zive,https://api.crunchbase.com/v3.1/organizations/zive,"",25981
Keiretsu Capital,fairway-america,https://api.crunchbase.com/v3.1/organizations/fairway-america,"",142019
Keiretsu Capital,phytelligence,https://api.crunchbase.com/v3.1/organizations/phytelligence,"",23118
Keiretsu Capital,picmonic,https://api.crunchbase.com/v3.1/organizations/picmonic,"",22000
Keiretsu Capital,lifeassist-texas,https://api.crunchbase.com/v3.1/organizations/lifeassist-texas,"",20618
Keiretsu Capital,bouxtie,https://api.crunchbase.com/v3.1/organizations/bouxtie,"",26164
Keiretsu Capital,embera-neurotherapeutics,https://api.crunchbase.com/v3.1/organizations/embera-neurotherapeutics,"",24695
Keiretsu Capital,energy-curb,https://api.crunchbase.com/v3.1/organizations/energy-curb,"",19093
Keiretsu Capital,vispera,https://api.crunchbase.com/v3.1/organizations/vispera,"",24466
Keiretsu Capital,otonexus,https://api.crunchbase.com/v3.1/organizations/otonexus,"",21699
Keiretsu Capital,textile-based-delivery,https://api.crunchbase.com/v3.1/organizations/textile-based-delivery,"",48458
Keiretsu Capital,safe-h2o-inc,https://api.crunchbase.com/v3.1/organizations/safe-h2o-inc,"",46662
Keiretsu Capital,transform-inc,https://api.crunchbase.com/v3.1/organizations/transform-inc,"",105644
Keiretsu Capital,sisu-global-health,https://api.crunchbase.com/v3.1/organizations/sisu-global-health,"",28565
Keiretsu Capital,cone-steiner,https://api.crunchbase.com/v3.1/organizations/cone-steiner,"",313407
Keiretsu Capital,reelsonar,https://api.crunchbase.com/v3.1/organizations/reelsonar,"",63100
Keiretsu Capital,linqto,https://api.crunchbase.com/v3.1/organizations/linqto,"",29337
Keiretsu Capital,pia-medical,https://api.crunchbase.com/v3.1/organizations/pia-medical,"",42893
Keiretsu Capital,first-light-biosciences,https://api.crunchbase.com/v3.1/organizations/first-light-biosciences,"",5013
Keiretsu Capital,analyze,https://api.crunchbase.com/v3.1/organizations/analyze,"",47426
Keiretsu Capital,ihealthhome,https://api.crunchbase.com/v3.1/organizations/ihealthhome,"",50845
Keiretsu Capital,indow-windows,https://api.crunchbase.com/v3.1/organizations/indow-windows,"",39584
Keiretsu Capital,operative-experience,https://api.crunchbase.com/v3.1/organizations/operative-experience,"",64898
Keiretsu Capital,transcribeme,https://api.crunchbase.com/v3.1/organizations/transcribeme,"",13451
Keiretsu Capital,perkville,https://api.crunchbase.com/v3.1/organizations/perkville,"",19352
Keiretsu Capital,blaze-bioscience,https://api.crunchbase.com/v3.1/organizations/blaze-bioscience,"",25678
Keiretsu Capital,viakoo-inc,https://api.crunchbase.com/v3.1/organizations/viakoo-inc,"",31087
Keiretsu Capital,lumithera,https://api.crunchbase.com/v3.1/organizations/lumithera,"",29083
Keiretsu Capital,savara-pharmaceuticals,https://api.crunchbase.com/v3.1/organizations/savara-pharmaceuticals,"",15497
Keiretsu Capital,monitor-mask,https://api.crunchbase.com/v3.1/organizations/monitor-mask,"",245996
Keiretsu Capital,realkey,https://api.crunchbase.com/v3.1/organizations/realkey,"",19451
Keiretsu Capital,tether-technologies,https://api.crunchbase.com/v3.1/organizations/tether-technologies,"",157072
Keiretsu Capital,ibis-networks,https://api.crunchbase.com/v3.1/organizations/ibis-networks,"",36805
Keiretsu Capital,kpi-therapeutics,https://api.crunchbase.com/v3.1/organizations/kpi-therapeutics,"",56467
Keiretsu Capital,crowd-mics,https://api.crunchbase.com/v3.1/organizations/crowd-mics,"",12335
Keiretsu Capital,abom,https://api.crunchbase.com/v3.1/organizations/abom,"",39875
Keiretsu Capital,tilting-motor-works,https://api.crunchbase.com/v3.1/organizations/tilting-motor-works,"",201887
Keiretsu Capital,decisionnext,https://api.crunchbase.com/v3.1/organizations/decisionnext,"",9373
Keiretsu Capital,acceleration-systems,https://api.crunchbase.com/v3.1/organizations/acceleration-systems,"",48279
Keiretsu Capital,aqueduct-critical-care,https://api.crunchbase.com/v3.1/organizations/aqueduct-critical-care,"",33387
Keiretsu Capital,20-20-gene-systems-inc,https://api.crunchbase.com/v3.1/organizations/20-20-gene-systems-inc,"",13332
Keiretsu Capital,building-energy,https://api.crunchbase.com/v3.1/organizations/building-energy,"",272617
Keiretsu Capital,otosense,https://api.crunchbase.com/v3.1/organizations/otosense,"",22675
Keiretsu Capital,social-standards,https://api.crunchbase.com/v3.1/organizations/social-standards,"",13349
Keiretsu Capital,kiwi-crate,https://api.crunchbase.com/v3.1/organizations/kiwi-crate,"",7543
Keiretsu Capital,kineta,https://api.crunchbase.com/v3.1/organizations/kineta,"",13844
