Organization Name,Invested In,Api Url,Description,Rank
Khosla Ventures,veri5digital,https://api.crunchbase.com/v3.1/organizations/veri5digital,"",16064
Khosla Ventures,cognition-ip,https://api.crunchbase.com/v3.1/organizations/cognition-ip,"",2943
Khosla Ventures,truework,https://api.crunchbase.com/v3.1/organizations/truework,"",4753
Khosla Ventures,hello-doctor,https://api.crunchbase.com/v3.1/organizations/hello-doctor,"",691
Khosla Ventures,flow-neuroscience,https://api.crunchbase.com/v3.1/organizations/flow-neuroscience,"",4420
Khosla Ventures,pivot-f747,https://api.crunchbase.com/v3.1/organizations/pivot-f747,"",4061
Khosla Ventures,smartspot,https://api.crunchbase.com/v3.1/organizations/smartspot,"",1031
Khosla Ventures,avvir,https://api.crunchbase.com/v3.1/organizations/avvir,"",1336
Khosla Ventures,akash-systems,https://api.crunchbase.com/v3.1/organizations/akash-systems,"",868
Khosla Ventures,commonwealth-fusion-systems,https://api.crunchbase.com/v3.1/organizations/commonwealth-fusion-systems,"",1407
Khosla Ventures,probably-genetic,https://api.crunchbase.com/v3.1/organizations/probably-genetic,"",15820
Khosla Ventures,realityengines,https://api.crunchbase.com/v3.1/organizations/realityengines,"",6414
Khosla Ventures,helium-systems-inc,https://api.crunchbase.com/v3.1/organizations/helium-systems-inc,"",9509
Khosla Ventures,neurotrack-technologies,https://api.crunchbase.com/v3.1/organizations/neurotrack-technologies,"",2425
Khosla Ventures,vectra-networks,https://api.crunchbase.com/v3.1/organizations/vectra-networks,"",1218
Khosla Ventures,whole-biome,https://api.crunchbase.com/v3.1/organizations/whole-biome,"",3251
Khosla Ventures,attackiq,https://api.crunchbase.com/v3.1/organizations/attackiq,"",1926
Khosla Ventures,paladin-drones,https://api.crunchbase.com/v3.1/organizations/paladin-drones,"",22351
Khosla Ventures,future-fit,https://api.crunchbase.com/v3.1/organizations/future-fit,"",5436
Khosla Ventures,impossible-foods,https://api.crunchbase.com/v3.1/organizations/impossible-foods,"",11
Khosla Ventures,hermeus,https://api.crunchbase.com/v3.1/organizations/hermeus,"",87725
Khosla Ventures,daye,https://api.crunchbase.com/v3.1/organizations/daye,"",5580
Khosla Ventures,lattice-2,https://api.crunchbase.com/v3.1/organizations/lattice-2,"",20097
Khosla Ventures,ghost-locomotion,https://api.crunchbase.com/v3.1/organizations/ghost-locomotion,"",2367
Khosla Ventures,sword-health,https://api.crunchbase.com/v3.1/organizations/sword-health,"",5955
Khosla Ventures,nakedpoppy,https://api.crunchbase.com/v3.1/organizations/nakedpoppy,"",5264
Khosla Ventures,prellis-biologics,https://api.crunchbase.com/v3.1/organizations/prellis-biologics,"",8255
Khosla Ventures,catchco,https://api.crunchbase.com/v3.1/organizations/catchco,"",3381
Khosla Ventures,tarana-wireless,https://api.crunchbase.com/v3.1/organizations/tarana-wireless,"",4586
Khosla Ventures,opendoor-2,https://api.crunchbase.com/v3.1/organizations/opendoor-2,"",2931
Khosla Ventures,zendar,https://api.crunchbase.com/v3.1/organizations/zendar,"",12175
Khosla Ventures,ellevest,https://api.crunchbase.com/v3.1/organizations/ellevest,"",1555
Khosla Ventures,the-because-market,https://api.crunchbase.com/v3.1/organizations/the-because-market,"",6224
Khosla Ventures,vicarious-surgical,https://api.crunchbase.com/v3.1/organizations/vicarious-surgical,"",8241
Khosla Ventures,jetty-2,https://api.crunchbase.com/v3.1/organizations/jetty-2,"",2546
Khosla Ventures,bioage-labs,https://api.crunchbase.com/v3.1/organizations/bioage-labs,"",6926
Khosla Ventures,anchorage,https://api.crunchbase.com/v3.1/organizations/anchorage,"",536
Khosla Ventures,rubrik,https://api.crunchbase.com/v3.1/organizations/rubrik,"",270
Khosla Ventures,boosted-boards,https://api.crunchbase.com/v3.1/organizations/boosted-boards,"",1934
Khosla Ventures,indigo-fair,https://api.crunchbase.com/v3.1/organizations/indigo-fair,"",16758
Khosla Ventures,rocket-lab,https://api.crunchbase.com/v3.1/organizations/rocket-lab,"",333
Khosla Ventures,mojo-vision,https://api.crunchbase.com/v3.1/organizations/mojo-vision,"",2786
Khosla Ventures,ridecell,https://api.crunchbase.com/v3.1/organizations/ridecell,"",1329
Khosla Ventures,loop-genomics,https://api.crunchbase.com/v3.1/organizations/loop-genomics,"",12885
Khosla Ventures,clear-labs,https://api.crunchbase.com/v3.1/organizations/clear-labs,"",2093
Khosla Ventures,carrot,https://api.crunchbase.com/v3.1/organizations/carrot,"",2726
Khosla Ventures,synthetic-minds,https://api.crunchbase.com/v3.1/organizations/synthetic-minds,"",17742
Khosla Ventures,higia,https://api.crunchbase.com/v3.1/organizations/higia,"",8475
Khosla Ventures,nebula-genomics,https://api.crunchbase.com/v3.1/organizations/nebula-genomics,"",4891
Khosla Ventures,datera-2,https://api.crunchbase.com/v3.1/organizations/datera-2,"",4549
Khosla Ventures,pymetrics,https://api.crunchbase.com/v3.1/organizations/pymetrics,"",24519
Khosla Ventures,gitlab-com,https://api.crunchbase.com/v3.1/organizations/gitlab-com,"",8359
Khosla Ventures,scipher-medicine,https://api.crunchbase.com/v3.1/organizations/scipher-medicine,"",12657
Khosla Ventures,spyce,https://api.crunchbase.com/v3.1/organizations/spyce,"",4452
