Organization Name,Invested In,Api Url,Description,Rank
LAUNCH,neyborly,https://api.crunchbase.com/v3.1/organizations/neyborly,"",6832
LAUNCH,contiq-inc,https://api.crunchbase.com/v3.1/organizations/contiq-inc,"",25160
LAUNCH,dexter-224a,https://api.crunchbase.com/v3.1/organizations/dexter-224a,"",123501
LAUNCH,eatsee-a2ee,https://api.crunchbase.com/v3.1/organizations/eatsee-a2ee,"",109897
LAUNCH,wisp-74b1,https://api.crunchbase.com/v3.1/organizations/wisp-74b1,"",152764
LAUNCH,koloni,https://api.crunchbase.com/v3.1/organizations/koloni,"",127636
LAUNCH,sendsmart,https://api.crunchbase.com/v3.1/organizations/sendsmart,"",178857
LAUNCH,scout-f420,https://api.crunchbase.com/v3.1/organizations/scout-f420,"",119428
LAUNCH,ampjar,https://api.crunchbase.com/v3.1/organizations/ampjar,"",24026
LAUNCH,meowtel,https://api.crunchbase.com/v3.1/organizations/meowtel,"",38072
LAUNCH,hank,https://api.crunchbase.com/v3.1/organizations/hank,"",169089
LAUNCH,createar,https://api.crunchbase.com/v3.1/organizations/createar,"",91049
LAUNCH,lük,https://api.crunchbase.com/v3.1/organizations/lük,"",137018
LAUNCH,capsul-jewelry,https://api.crunchbase.com/v3.1/organizations/capsul-jewelry,"",31949
LAUNCH,thalamus-2,https://api.crunchbase.com/v3.1/organizations/thalamus-2,"",33918
LAUNCH,scentbox-inc,https://api.crunchbase.com/v3.1/organizations/scentbox-inc,"",40062
LAUNCH,closedwon-ae70,https://api.crunchbase.com/v3.1/organizations/closedwon-ae70,"",36700
LAUNCH,axle-video,https://api.crunchbase.com/v3.1/organizations/axle-video,"",31542
LAUNCH,scener,https://api.crunchbase.com/v3.1/organizations/scener,"",121117
LAUNCH,freeplay,https://api.crunchbase.com/v3.1/organizations/freeplay,"",43973
LAUNCH,steezy,https://api.crunchbase.com/v3.1/organizations/steezy,"",70265
LAUNCH,amhc-fine-jewelry,https://api.crunchbase.com/v3.1/organizations/amhc-fine-jewelry,"",150736
LAUNCH,torii,https://api.crunchbase.com/v3.1/organizations/torii,"",99635
LAUNCH,shoot-my-travel,https://api.crunchbase.com/v3.1/organizations/shoot-my-travel,"",14670
LAUNCH,takeoffs-io,https://api.crunchbase.com/v3.1/organizations/takeoffs-io,"",113876
LAUNCH,zupp-60a3,https://api.crunchbase.com/v3.1/organizations/zupp-60a3,"",233605
LAUNCH,tonebase,https://api.crunchbase.com/v3.1/organizations/tonebase,"",98589
LAUNCH,tutormecom,https://api.crunchbase.com/v3.1/organizations/tutormecom,"",9756
LAUNCH,tafi-inc,https://api.crunchbase.com/v3.1/organizations/tafi-inc,"",111594
LAUNCH,stretch-metrics,https://api.crunchbase.com/v3.1/organizations/stretch-metrics,"",235082
LAUNCH,loop-8,https://api.crunchbase.com/v3.1/organizations/loop-8,"",69888
LAUNCH,kush-marketplace,https://api.crunchbase.com/v3.1/organizations/kush-marketplace,"",13012
LAUNCH,grin-inc-,https://api.crunchbase.com/v3.1/organizations/grin-inc-,"",39310
LAUNCH,pantyprop,https://api.crunchbase.com/v3.1/organizations/pantyprop,"",3000
LAUNCH,balloonr,https://api.crunchbase.com/v3.1/organizations/balloonr,"",17290
LAUNCH,conference360,https://api.crunchbase.com/v3.1/organizations/conference360,"",113901
LAUNCH,blokable-inc,https://api.crunchbase.com/v3.1/organizations/blokable-inc,"",4705
