Organization Name,Invested In,Api Url,Description,Rank
Launch NY,grabanzos,https://api.crunchbase.com/v3.1/organizations/grabanzos,"",169623
Launch NY,k-nessio,https://api.crunchbase.com/v3.1/organizations/k-nessio,"",67365
Launch NY,empeq,https://api.crunchbase.com/v3.1/organizations/empeq,"",13958
Launch NY,3am-innovations,https://api.crunchbase.com/v3.1/organizations/3am-innovations,"",33110
Launch NY,nivitus,https://api.crunchbase.com/v3.1/organizations/nivitus,"",508669
Launch NY,willow-4e0e,https://api.crunchbase.com/v3.1/organizations/willow-4e0e,"",62484
Launch NY,shrubbucket,https://api.crunchbase.com/v3.1/organizations/shrubbucket,"",55314
Launch NY,ecolectro,https://api.crunchbase.com/v3.1/organizations/ecolectro,"",40519
Launch NY,eaglehawk-one,https://api.crunchbase.com/v3.1/organizations/eaglehawk-one,"",55701
Launch NY,memoryfox,https://api.crunchbase.com/v3.1/organizations/memoryfox,"",64066
Launch NY,bottle-bullseye,https://api.crunchbase.com/v3.1/organizations/bottle-bullseye,"",252559
Launch NY,openbottle,https://api.crunchbase.com/v3.1/organizations/openbottle,"",75703
Launch NY,graspie-inc,https://api.crunchbase.com/v3.1/organizations/graspie-inc,"",52070
Launch NY,iterate-labs,https://api.crunchbase.com/v3.1/organizations/iterate-labs,"",36522
Launch NY,patient-pattern-inc,https://api.crunchbase.com/v3.1/organizations/patient-pattern-inc,"",53817
Launch NY,eat-me,https://api.crunchbase.com/v3.1/organizations/eat-me,"",73783
Launch NY,continual-care-solutions,https://api.crunchbase.com/v3.1/organizations/continual-care-solutions,"",77696
Launch NY,ionica-sciences,https://api.crunchbase.com/v3.1/organizations/ionica-sciences,"",86343
Launch NY,ru-s-pierogi,https://api.crunchbase.com/v3.1/organizations/ru-s-pierogi,"",59140
Launch NY,hunting-tactical,https://api.crunchbase.com/v3.1/organizations/hunting-tactical,"",473428
Launch NY,off-duty-blue,https://api.crunchbase.com/v3.1/organizations/off-duty-blue,"",350422
Launch NY,simplefund,https://api.crunchbase.com/v3.1/organizations/simplefund,"",193350
Launch NY,the-perfect-granola,https://api.crunchbase.com/v3.1/organizations/the-perfect-granola,"",297013
Launch NY,pelitex,https://api.crunchbase.com/v3.1/organizations/pelitex,"",257254
Launch NY,gclip-row,https://api.crunchbase.com/v3.1/organizations/gclip-row,"",677127
Launch NY,farther-farms,https://api.crunchbase.com/v3.1/organizations/farther-farms,"",178258
Launch NY,rephike,https://api.crunchbase.com/v3.1/organizations/rephike,"",124655
Launch NY,olive-ridley-paints,https://api.crunchbase.com/v3.1/organizations/olive-ridley-paints,"",761745
Launch NY,heliohex,https://api.crunchbase.com/v3.1/organizations/heliohex,"",338148
Launch NY,my-special-days,https://api.crunchbase.com/v3.1/organizations/my-special-days,"",517845
Launch NY,tuzag,https://api.crunchbase.com/v3.1/organizations/tuzag,"",207214
Launch NY,rachel-s-remedy,https://api.crunchbase.com/v3.1/organizations/rachel-s-remedy,"",91120
Launch NY,house-at-work,https://api.crunchbase.com/v3.1/organizations/house-at-work,"",291800
Launch NY,accutheranostics,https://api.crunchbase.com/v3.1/organizations/accutheranostics,"",435103
Launch NY,abcombi-biosciences,https://api.crunchbase.com/v3.1/organizations/abcombi-biosciences,"",279685
Launch NY,motionsavvy-llc,https://api.crunchbase.com/v3.1/organizations/motionsavvy-llc,"",46721
Launch NY,buffalo-automation-group,https://api.crunchbase.com/v3.1/organizations/buffalo-automation-group,"",36112
Launch NY,evoke-healthy-foods,https://api.crunchbase.com/v3.1/organizations/evoke-healthy-foods,"",205617
Launch NY,careline,https://api.crunchbase.com/v3.1/organizations/careline,"",422339
Launch NY,tencar,https://api.crunchbase.com/v3.1/organizations/tencar,"",534073
