Organization Name,Invested In,Api Url,Description,Rank
Google Launchpad Accelerator,wheel-the-world,https://api.crunchbase.com/v3.1/organizations/wheel-the-world,"",20888
Google Launchpad Accelerator,rebel-e614,https://api.crunchbase.com/v3.1/organizations/rebel-e614,"",1800
Google Launchpad Accelerator,connected-analytics,https://api.crunchbase.com/v3.1/organizations/connected-analytics,"",39933
Google Launchpad Accelerator,vivid-technologies,https://api.crunchbase.com/v3.1/organizations/vivid-technologies,"",50278
Google Launchpad Accelerator,aerobotics,https://api.crunchbase.com/v3.1/organizations/aerobotics,"",4149
Google Launchpad Accelerator,m-paani,https://api.crunchbase.com/v3.1/organizations/m-paani,"",10514
Google Launchpad Accelerator,monkey-junior,https://api.crunchbase.com/v3.1/organizations/monkey-junior,"",69766
Google Launchpad Accelerator,maya-apa,https://api.crunchbase.com/v3.1/organizations/maya-apa,"",59936
Google Launchpad Accelerator,kulina,https://api.crunchbase.com/v3.1/organizations/kulina,"",74428
Google Launchpad Accelerator,ayannah,https://api.crunchbase.com/v3.1/organizations/ayannah,"",17656
Google Launchpad Accelerator,priceza,https://api.crunchbase.com/v3.1/organizations/priceza,"",45537
Google Launchpad Accelerator,etermax,https://api.crunchbase.com/v3.1/organizations/etermax,"",29330
Google Launchpad Accelerator,voximplant,https://api.crunchbase.com/v3.1/organizations/voximplant,"",41326
Google Launchpad Accelerator,payclip,https://api.crunchbase.com/v3.1/organizations/payclip,"",1933
Google Launchpad Accelerator,szopi-pl,https://api.crunchbase.com/v3.1/organizations/szopi-pl,"",69136
Google Launchpad Accelerator,niramai-health-analytix,https://api.crunchbase.com/v3.1/organizations/niramai-health-analytix,"",4602
Google Launchpad Accelerator,socialcops,https://api.crunchbase.com/v3.1/organizations/socialcops,"",11455
Google Launchpad Accelerator,grupo-zap-viva-real,https://api.crunchbase.com/v3.1/organizations/grupo-zap-viva-real,"",43043
Google Launchpad Accelerator,kubo-financiero,https://api.crunchbase.com/v3.1/organizations/kubo-financiero,"",9134
Google Launchpad Accelerator,one-finance-and-investments-limited,https://api.crunchbase.com/v3.1/organizations/one-finance-and-investments-limited,"",5245
Google Launchpad Accelerator,app-in-the-air,https://api.crunchbase.com/v3.1/organizations/app-in-the-air,"",25619
Google Launchpad Accelerator,synetiq,https://api.crunchbase.com/v3.1/organizations/synetiq,"",30092
Google Launchpad Accelerator,helium-healthcare,https://api.crunchbase.com/v3.1/organizations/helium-healthcare,"",26395
Google Launchpad Accelerator,babychakra,https://api.crunchbase.com/v3.1/organizations/babychakra,"",12202
Google Launchpad Accelerator,arquivei,https://api.crunchbase.com/v3.1/organizations/arquivei,"",21008
Google Launchpad Accelerator,sirclo,https://api.crunchbase.com/v3.1/organizations/sirclo,"",11835
Google Launchpad Accelerator,fastfilmz,https://api.crunchbase.com/v3.1/organizations/fastfilmz,"",45708
Google Launchpad Accelerator,guiche-virtual,https://api.crunchbase.com/v3.1/organizations/guiche-virtual,"",46486
Google Launchpad Accelerator,switch,https://api.crunchbase.com/v3.1/organizations/switch,"",66867
Google Launchpad Accelerator,bloom-36d9,https://api.crunchbase.com/v3.1/organizations/bloom-36d9,"",65206
Google Launchpad Accelerator,paystack,https://api.crunchbase.com/v3.1/organizations/paystack,"",3055
Google Launchpad Accelerator,railyatri,https://api.crunchbase.com/v3.1/organizations/railyatri,"",5376
Google Launchpad Accelerator,spendee,https://api.crunchbase.com/v3.1/organizations/spendee,"",23423
Google Launchpad Accelerator,revelo,https://api.crunchbase.com/v3.1/organizations/revelo,"",11982
Google Launchpad Accelerator,gidi-mobile,https://api.crunchbase.com/v3.1/organizations/gidi-mobile,"",42786
Google Launchpad Accelerator,delivery-science,https://api.crunchbase.com/v3.1/organizations/delivery-science,"",47879
Google Launchpad Accelerator,dr-omnibus,https://api.crunchbase.com/v3.1/organizations/dr-omnibus,"",196460
Google Launchpad Accelerator,gamee,https://api.crunchbase.com/v3.1/organizations/gamee,"",17099
Google Launchpad Accelerator,comparaonline,https://api.crunchbase.com/v3.1/organizations/comparaonline,"",10244
Google Launchpad Accelerator,increasecard,https://api.crunchbase.com/v3.1/organizations/increasecard,"",6554
Google Launchpad Accelerator,piggipo,https://api.crunchbase.com/v3.1/organizations/piggipo,"",42278
Google Launchpad Accelerator,publishdrive,https://api.crunchbase.com/v3.1/organizations/publishdrive,"",54081
Google Launchpad Accelerator,recipe-book,https://api.crunchbase.com/v3.1/organizations/recipe-book,"",83325
Google Launchpad Accelerator,honesty-apps,https://api.crunchbase.com/v3.1/organizations/honesty-apps,"",41394
Google Launchpad Accelerator,contabilizei-contabilidade-online,https://api.crunchbase.com/v3.1/organizations/contabilizei-contabilidade-online,"",6600
Google Launchpad Accelerator,healthmetrics,https://api.crunchbase.com/v3.1/organizations/healthmetrics,"",75697
Google Launchpad Accelerator,cicil,https://api.crunchbase.com/v3.1/organizations/cicil,"",30503
Google Launchpad Accelerator,jumo-2,https://api.crunchbase.com/v3.1/organizations/jumo-2,"",2991
Google Launchpad Accelerator,edoctor,https://api.crunchbase.com/v3.1/organizations/edoctor,"",47830
Google Launchpad Accelerator,edge-networks-pvt--ltd-,https://api.crunchbase.com/v3.1/organizations/edge-networks-pvt--ltd-,"",14048
Google Launchpad Accelerator,instafit,https://api.crunchbase.com/v3.1/organizations/instafit,"",19334
Google Launchpad Accelerator,queq,https://api.crunchbase.com/v3.1/organizations/queq,"",2335
Google Launchpad Accelerator,flutterwave,https://api.crunchbase.com/v3.1/organizations/flutterwave,"",942
Google Launchpad Accelerator,nadipos,https://api.crunchbase.com/v3.1/organizations/nadipos,"",65553
Google Launchpad Accelerator,indialends,https://api.crunchbase.com/v3.1/organizations/indialends,"",5518
Google Launchpad Accelerator,twiga-foods,https://api.crunchbase.com/v3.1/organizations/twiga-foods,"",4125
Google Launchpad Accelerator,playment,https://api.crunchbase.com/v3.1/organizations/playment,"",5706
Google Launchpad Accelerator,skootar,https://api.crunchbase.com/v3.1/organizations/skootar,"",40686
Google Launchpad Accelerator,mapan,https://api.crunchbase.com/v3.1/organizations/mapan,"",43079
Google Launchpad Accelerator,picmix,https://api.crunchbase.com/v3.1/organizations/picmix,"",44201
Google Launchpad Accelerator,delivery-direto,https://api.crunchbase.com/v3.1/organizations/delivery-direto,"",49411
Google Launchpad Accelerator,snapcart,https://api.crunchbase.com/v3.1/organizations/snapcart,"",5816
Google Launchpad Accelerator,mobills,https://api.crunchbase.com/v3.1/organizations/mobills,"",45398
Google Launchpad Accelerator,haravan,https://api.crunchbase.com/v3.1/organizations/haravan,"",40240
Google Launchpad Accelerator,adjetter-media-network,https://api.crunchbase.com/v3.1/organizations/adjetter-media-network,"",48402
Google Launchpad Accelerator,workana,https://api.crunchbase.com/v3.1/organizations/workana,"",11965
Google Launchpad Accelerator,platzi,https://api.crunchbase.com/v3.1/organizations/platzi,"",1955
Google Launchpad Accelerator,tienda-nube,https://api.crunchbase.com/v3.1/organizations/tienda-nube,"",13875
Google Launchpad Accelerator,econduce,https://api.crunchbase.com/v3.1/organizations/econduce,"",30315
Google Launchpad Accelerator,unima,https://api.crunchbase.com/v3.1/organizations/unima,"",27288
Google Launchpad Accelerator,zipmatch,https://api.crunchbase.com/v3.1/organizations/zipmatch,"",24413
Google Launchpad Accelerator,meus-pedidos,https://api.crunchbase.com/v3.1/organizations/meus-pedidos,"",25551
Google Launchpad Accelerator,jurnal,https://api.crunchbase.com/v3.1/organizations/jurnal,"",31054
Google Launchpad Accelerator,qlue-2,https://api.crunchbase.com/v3.1/organizations/qlue-2,"",21808
Google Launchpad Accelerator,igrow,https://api.crunchbase.com/v3.1/organizations/igrow,"",29070
Google Launchpad Accelerator,rentomojo,https://api.crunchbase.com/v3.1/organizations/rentomojo,"",312
Google Launchpad Accelerator,quintoandar,https://api.crunchbase.com/v3.1/organizations/quintoandar,"",1836
Google Launchpad Accelerator,doghero,https://api.crunchbase.com/v3.1/organizations/doghero,"",6771
Google Launchpad Accelerator,portal-telemedicina,https://api.crunchbase.com/v3.1/organizations/portal-telemedicina,"",58426
Google Launchpad Accelerator,happy-adda-studios,https://api.crunchbase.com/v3.1/organizations/happy-adda-studios,"",69988
Google Launchpad Accelerator,wongnai,https://api.crunchbase.com/v3.1/organizations/wongnai,"",20643
Google Launchpad Accelerator,elsa,https://api.crunchbase.com/v3.1/organizations/elsa,"",42330
Google Launchpad Accelerator,yop,https://api.crunchbase.com/v3.1/organizations/yop,"",20921
Google Launchpad Accelerator,tizkka,https://api.crunchbase.com/v3.1/organizations/tizkka,"",37096
Google Launchpad Accelerator,flyrobe,https://api.crunchbase.com/v3.1/organizations/flyrobe,"",4556
Google Launchpad Accelerator,curofy,https://api.crunchbase.com/v3.1/organizations/curofy,"",45534
Google Launchpad Accelerator,hashlearn,https://api.crunchbase.com/v3.1/organizations/hashlearn,"",48982
Google Launchpad Accelerator,creditas,https://api.crunchbase.com/v3.1/organizations/creditas,"",118
Google Launchpad Accelerator,levee,https://api.crunchbase.com/v3.1/organizations/levee,"",31837
Google Launchpad Accelerator,konfio,https://api.crunchbase.com/v3.1/organizations/konfio,"",2185
Google Launchpad Accelerator,jarvis-store,https://api.crunchbase.com/v3.1/organizations/jarvis-store,"",76221
Google Launchpad Accelerator,redcarpetup,https://api.crunchbase.com/v3.1/organizations/redcarpetup,"",8992
