Organization Name,Invested In,Api Url,Description,Rank
L Catterton,kopari-beauty,https://api.crunchbase.com/v3.1/organizations/kopari-beauty,"",348
L Catterton,blend-systems,https://api.crunchbase.com/v3.1/organizations/blend-systems,"",2354
L Catterton,getaway-2,https://api.crunchbase.com/v3.1/organizations/getaway-2,"",1185
L Catterton,tonal,https://api.crunchbase.com/v3.1/organizations/tonal,"",1825
L Catterton,nutrafol,https://api.crunchbase.com/v3.1/organizations/nutrafol,"",4710
L Catterton,thirdlove,https://api.crunchbase.com/v3.1/organizations/thirdlove,"",479
L Catterton,true-rowing,https://api.crunchbase.com/v3.1/organizations/true-rowing,"",2202
L Catterton,grupo-myt,https://api.crunchbase.com/v3.1/organizations/grupo-myt,"",217703
L Catterton,femme,https://api.crunchbase.com/v3.1/organizations/femme,"",166560
L Catterton,vroom-com,https://api.crunchbase.com/v3.1/organizations/vroom-com,"",1609
L Catterton,vitamin-packs,https://api.crunchbase.com/v3.1/organizations/vitamin-packs,"",7573
L Catterton,classpass,https://api.crunchbase.com/v3.1/organizations/classpass,"",256
L Catterton,pibiplast,https://api.crunchbase.com/v3.1/organizations/pibiplast,"",244868
L Catterton,the-honest-company,https://api.crunchbase.com/v3.1/organizations/the-honest-company,"",568
L Catterton,goiko-grill,https://api.crunchbase.com/v3.1/organizations/goiko-grill,"",122276
L Catterton,dental-corp,https://api.crunchbase.com/v3.1/organizations/dental-corp,"",11221
L Catterton,impresario-entertainment-hospitality,https://api.crunchbase.com/v3.1/organizations/impresario-entertainment-hospitality,"",218185
L Catterton,ganni,https://api.crunchbase.com/v3.1/organizations/ganni,"",137598
L Catterton,innis-gunn,https://api.crunchbase.com/v3.1/organizations/innis-gunn,"",37670
L Catterton,art-sy,https://api.crunchbase.com/v3.1/organizations/art-sy,"",1106
L Catterton,equinox-fitness,https://api.crunchbase.com/v3.1/organizations/equinox-fitness,"",35845
L Catterton,punch-bowl-social,https://api.crunchbase.com/v3.1/organizations/punch-bowl-social,"",5911
L Catterton,il-makiage,https://api.crunchbase.com/v3.1/organizations/il-makiage,"",451
L Catterton,justfoodfordogs,https://api.crunchbase.com/v3.1/organizations/justfoodfordogs,"",14195
L Catterton,mizzen-main,https://api.crunchbase.com/v3.1/organizations/mizzen-main,"",6076
L Catterton,i-and-love-and-you,https://api.crunchbase.com/v3.1/organizations/i-and-love-and-you,"",27321
L Catterton,tula,https://api.crunchbase.com/v3.1/organizations/tula,"",4774
L Catterton,rapsodia,https://api.crunchbase.com/v3.1/organizations/rapsodia,"",176022
L Catterton,grupo-espacolaser,https://api.crunchbase.com/v3.1/organizations/grupo-espacolaser,"",217487
L Catterton,st-marche,https://api.crunchbase.com/v3.1/organizations/st-marche,"",151233
L Catterton,relished,https://api.crunchbase.com/v3.1/organizations/relished,"",32163
L Catterton,360fly-inc,https://api.crunchbase.com/v3.1/organizations/360fly-inc,"",11663
L Catterton,bodytech,https://api.crunchbase.com/v3.1/organizations/bodytech,"",110910
L Catterton,piada-italian-street-food,https://api.crunchbase.com/v3.1/organizations/piada-italian-street-food,"",171800
L Catterton,peloton-interactive,https://api.crunchbase.com/v3.1/organizations/peloton-interactive,"",5553
L Catterton,snap-kitchen,https://api.crunchbase.com/v3.1/organizations/snap-kitchen,"",4277
L Catterton,pure-barre,https://api.crunchbase.com/v3.1/organizations/pure-barre,"",95325
L Catterton,sweaty-betty,https://api.crunchbase.com/v3.1/organizations/sweaty-betty,"",76815
L Catterton,pain-doctor,https://api.crunchbase.com/v3.1/organizations/pain-doctor,"",214738
L Catterton,flywheel-sports,https://api.crunchbase.com/v3.1/organizations/flywheel-sports,"",2768
L Catterton,bruxie,https://api.crunchbase.com/v3.1/organizations/bruxie,"",150177
L Catterton,protein-bar,https://api.crunchbase.com/v3.1/organizations/protein-bar,"",23673
L Catterton,corepower-yoga,https://api.crunchbase.com/v3.1/organizations/corepower-yoga,"",71837
L Catterton,steelseries,https://api.crunchbase.com/v3.1/organizations/steelseries,"",32392
L Catterton,baccarat,https://api.crunchbase.com/v3.1/organizations/baccarat,"",144902
L Catterton,njoy,https://api.crunchbase.com/v3.1/organizations/njoy,"",1265
L Catterton,the-nest-collective,https://api.crunchbase.com/v3.1/organizations/the-nest-collective,"",168667
L Catterton,clearchoice-holdings,https://api.crunchbase.com/v3.1/organizations/clearchoice-holdings,"",16242
L Catterton,zeno-corporation,https://api.crunchbase.com/v3.1/organizations/zeno-corporation,"",65393
L Catterton,sweet-leaf,https://api.crunchbase.com/v3.1/organizations/sweet-leaf,"",167434
L Catterton,techturn,https://api.crunchbase.com/v3.1/organizations/techturn,"",130168
L Catterton,petroleum-place,https://api.crunchbase.com/v3.1/organizations/petroleum-place,"",233256
L Catterton,cognitive-arts,https://api.crunchbase.com/v3.1/organizations/cognitive-arts,"",194139
L Catterton,homepoint,https://api.crunchbase.com/v3.1/organizations/homepoint,"",386656
