Organization Name,Invested In,Api Url,Description,Rank
LeFrak,nestio,https://api.crunchbase.com/v3.1/organizations/nestio,"",5537
LeFrak,defense-labs,https://api.crunchbase.com/v3.1/organizations/defense-labs,"",7878
LeFrak,color-genomics,https://api.crunchbase.com/v3.1/organizations/color-genomics,"",1410
LeFrak,minibar-delivery,https://api.crunchbase.com/v3.1/organizations/minibar-delivery,"",9553
LeFrak,jetty-2,https://api.crunchbase.com/v3.1/organizations/jetty-2,"",2546
LeFrak,ubiome,https://api.crunchbase.com/v3.1/organizations/ubiome,"",235
LeFrak,bowery-2,https://api.crunchbase.com/v3.1/organizations/bowery-2,"",46103
LeFrak,bizly,https://api.crunchbase.com/v3.1/organizations/bizly,"",7772
LeFrak,makespace,https://api.crunchbase.com/v3.1/organizations/makespace,"",2315
LeFrak,jacobi,https://api.crunchbase.com/v3.1/organizations/jacobi,"",1138
LeFrak,appliedea,https://api.crunchbase.com/v3.1/organizations/appliedea,"",163258
LeFrak,super-a0d5,https://api.crunchbase.com/v3.1/organizations/super-a0d5,"",4730
LeFrak,dealpath,https://api.crunchbase.com/v3.1/organizations/dealpath,"",6350
LeFrak,showroom-4,https://api.crunchbase.com/v3.1/organizations/showroom-4,"",25479
LeFrak,kalo-hq,https://api.crunchbase.com/v3.1/organizations/kalo-hq,"",34697
LeFrak,common-2,https://api.crunchbase.com/v3.1/organizations/common-2,"",2287
LeFrak,bolt-threads,https://api.crunchbase.com/v3.1/organizations/bolt-threads,"",2961
LeFrak,perpetua-labs,https://api.crunchbase.com/v3.1/organizations/perpetua-labs,"",78476
LeFrak,blink-health,https://api.crunchbase.com/v3.1/organizations/blink-health,"",1331
LeFrak,ascus-biosciences,https://api.crunchbase.com/v3.1/organizations/ascus-biosciences,"",24442
LeFrak,withvector,https://api.crunchbase.com/v3.1/organizations/withvector,"",5564
LeFrak,latch,https://api.crunchbase.com/v3.1/organizations/latch,"",369
LeFrak,blend-labs,https://api.crunchbase.com/v3.1/organizations/blend-labs,"",285
LeFrak,juniper-square,https://api.crunchbase.com/v3.1/organizations/juniper-square,"",24807
LeFrak,affinity-inc,https://api.crunchbase.com/v3.1/organizations/affinity-inc,"",1993
LeFrak,hyperloop-technolgies,https://api.crunchbase.com/v3.1/organizations/hyperloop-technolgies,"",2527
LeFrak,qualia-labs-inc,https://api.crunchbase.com/v3.1/organizations/qualia-labs-inc,"",2147
LeFrak,realscout,https://api.crunchbase.com/v3.1/organizations/realscout,"",5746
LeFrak,zanbato,https://api.crunchbase.com/v3.1/organizations/zanbato,"",8103
LeFrak,ostendo-technologies,https://api.crunchbase.com/v3.1/organizations/ostendo-technologies,"",6892
LeFrak,peerstreet,https://api.crunchbase.com/v3.1/organizations/peerstreet,"",2325
LeFrak,brandyourself,https://api.crunchbase.com/v3.1/organizations/brandyourself,"",12378
LeFrak,lucid-design-group,https://api.crunchbase.com/v3.1/organizations/lucid-design-group,"",29887
LeFrak,opengov,https://api.crunchbase.com/v3.1/organizations/opengov,"",2010
LeFrak,addepar,https://api.crunchbase.com/v3.1/organizations/addepar,"",612
LeFrak,tachyus,https://api.crunchbase.com/v3.1/organizations/tachyus,"",5680
LeFrak,vicarious-systems-inc,https://api.crunchbase.com/v3.1/organizations/vicarious-systems-inc,"",2712
LeFrak,wish,https://api.crunchbase.com/v3.1/organizations/wish,"",127
LeFrak,compassinc,https://api.crunchbase.com/v3.1/organizations/compassinc,"",4197
LeFrak,locomobi,https://api.crunchbase.com/v3.1/organizations/locomobi,"",23364
LeFrak,robotex,https://api.crunchbase.com/v3.1/organizations/robotex,"",18443
