Organization Name,Invested In,Api Url,Description,Rank
Lightspeed Venture Partners,holloway,https://api.crunchbase.com/v3.1/organizations/holloway,"",2619
Lightspeed Venture Partners,confluera,https://api.crunchbase.com/v3.1/organizations/confluera,"",1605
Lightspeed Venture Partners,arrcus,https://api.crunchbase.com/v3.1/organizations/arrcus,"",368
Lightspeed Venture Partners,whitehat,https://api.crunchbase.com/v3.1/organizations/whitehat,"",538
Lightspeed Venture Partners,brandablela,https://api.crunchbase.com/v3.1/organizations/brandablela,"",29171
Lightspeed Venture Partners,freight-tiger,https://api.crunchbase.com/v3.1/organizations/freight-tiger,"",1366
Lightspeed Venture Partners,calm-com,https://api.crunchbase.com/v3.1/organizations/calm-com,"",4817
Lightspeed Venture Partners,tripactions,https://api.crunchbase.com/v3.1/organizations/tripactions,"",2987
Lightspeed Venture Partners,cameo-3,https://api.crunchbase.com/v3.1/organizations/cameo-3,"",3364
Lightspeed Venture Partners,blend-labs,https://api.crunchbase.com/v3.1/organizations/blend-labs,"",285
Lightspeed Venture Partners,spate,https://api.crunchbase.com/v3.1/organizations/spate,"",5665
Lightspeed Venture Partners,testim,https://api.crunchbase.com/v3.1/organizations/testim,"",2719
Lightspeed Venture Partners,betterup,https://api.crunchbase.com/v3.1/organizations/betterup,"",7235
Lightspeed Venture Partners,yellow-messenger,https://api.crunchbase.com/v3.1/organizations/yellow-messenger,"",2800
Lightspeed Venture Partners,leapyear-technologies,https://api.crunchbase.com/v3.1/organizations/leapyear-technologies,"",39256
Lightspeed Venture Partners,people-ai,https://api.crunchbase.com/v3.1/organizations/people-ai,"",16295
Lightspeed Venture Partners,part-parcel,https://api.crunchbase.com/v3.1/organizations/part-parcel,"",11879
Lightspeed Venture Partners,volans-i,https://api.crunchbase.com/v3.1/organizations/volans-i,"",2299
Lightspeed Venture Partners,exabeam,https://api.crunchbase.com/v3.1/organizations/exabeam,"",337
Lightspeed Venture Partners,eshares,https://api.crunchbase.com/v3.1/organizations/eshares,"",12713
Lightspeed Venture Partners,eightfold,https://api.crunchbase.com/v3.1/organizations/eightfold,"",19611
Lightspeed Venture Partners,moveworks,https://api.crunchbase.com/v3.1/organizations/moveworks,"",2609
Lightspeed Venture Partners,dote-shopping,https://api.crunchbase.com/v3.1/organizations/dote-shopping,"",3185
Lightspeed Venture Partners,memverge,https://api.crunchbase.com/v3.1/organizations/memverge,"",4459
Lightspeed Venture Partners,affirm,https://api.crunchbase.com/v3.1/organizations/affirm,"",264
Lightspeed Venture Partners,aquasecurity,https://api.crunchbase.com/v3.1/organizations/aquasecurity,"",556
Lightspeed Venture Partners,ezcater,https://api.crunchbase.com/v3.1/organizations/ezcater,"",714
Lightspeed Venture Partners,kespry,https://api.crunchbase.com/v3.1/organizations/kespry,"",2167
Lightspeed Venture Partners,property-share-online-platform,https://api.crunchbase.com/v3.1/organizations/property-share-online-platform,"",15627
Lightspeed Venture Partners,echeng,https://api.crunchbase.com/v3.1/organizations/echeng,"",14940
Lightspeed Venture Partners,blameless,https://api.crunchbase.com/v3.1/organizations/blameless,"",3557
Lightspeed Venture Partners,abstract,https://api.crunchbase.com/v3.1/organizations/abstract,"",2110
Lightspeed Venture Partners,theranica,https://api.crunchbase.com/v3.1/organizations/theranica,"",5286
Lightspeed Venture Partners,cato-networks,https://api.crunchbase.com/v3.1/organizations/cato-networks,"",803
Lightspeed Venture Partners,fiddler-labs,https://api.crunchbase.com/v3.1/organizations/fiddler-labs,"",10184
Lightspeed Venture Partners,expandb,https://api.crunchbase.com/v3.1/organizations/expandb,"",14489
Lightspeed Venture Partners,freshmenu,https://api.crunchbase.com/v3.1/organizations/freshmenu,"",20213
Lightspeed Venture Partners,rubrik,https://api.crunchbase.com/v3.1/organizations/rubrik,"",270
Lightspeed Venture Partners,anyvision,https://api.crunchbase.com/v3.1/organizations/anyvision,"",15798
Lightspeed Venture Partners,seismic-software,https://api.crunchbase.com/v3.1/organizations/seismic-software,"",20759
Lightspeed Venture Partners,indigo-fair,https://api.crunchbase.com/v3.1/organizations/indigo-fair,"",16758
Lightspeed Venture Partners,fortressiq,https://api.crunchbase.com/v3.1/organizations/fortressiq,"",4786
Lightspeed Venture Partners,proem-group,https://api.crunchbase.com/v3.1/organizations/proem-group,"",1189
Lightspeed Venture Partners,aquant,https://api.crunchbase.com/v3.1/organizations/aquant,"",8246
Lightspeed Venture Partners,magicpin,https://api.crunchbase.com/v3.1/organizations/magicpin,"",914
Lightspeed Venture Partners,apex-ai,https://api.crunchbase.com/v3.1/organizations/apex-ai,"",5419
Lightspeed Venture Partners,netskope,https://api.crunchbase.com/v3.1/organizations/netskope,"",230
Lightspeed Venture Partners,predicthq,https://api.crunchbase.com/v3.1/organizations/predicthq,"",7753
Lightspeed Venture Partners,handshake-2,https://api.crunchbase.com/v3.1/organizations/handshake-2,"",1147
Lightspeed Venture Partners,appzen,https://api.crunchbase.com/v3.1/organizations/appzen,"",1307
Lightspeed Venture Partners,epic-games-2,https://api.crunchbase.com/v3.1/organizations/epic-games-2,"",309
Lightspeed Venture Partners,vector-space,https://api.crunchbase.com/v3.1/organizations/vector-space,"",4055
Lightspeed Venture Partners,court-buddy,https://api.crunchbase.com/v3.1/organizations/court-buddy,"",3793
Lightspeed Venture Partners,basis-27c7,https://api.crunchbase.com/v3.1/organizations/basis-27c7,"",14546
Lightspeed Venture Partners,candis,https://api.crunchbase.com/v3.1/organizations/candis,"",10202
Lightspeed Venture Partners,oyo-rooms,https://api.crunchbase.com/v3.1/organizations/oyo-rooms,"",5798
Lightspeed Venture Partners,sharechat,https://api.crunchbase.com/v3.1/organizations/sharechat,"",4862
Lightspeed Venture Partners,illumix-redwood-city-california,https://api.crunchbase.com/v3.1/organizations/illumix-redwood-city-california,"",14194
Lightspeed Venture Partners,datrium,https://api.crunchbase.com/v3.1/organizations/datrium,"",2095
Lightspeed Venture Partners,udaan,https://api.crunchbase.com/v3.1/organizations/udaan,"",2063
Lightspeed Venture Partners,haven-money,https://api.crunchbase.com/v3.1/organizations/haven-money,"",77894
Lightspeed Venture Partners,strala,https://api.crunchbase.com/v3.1/organizations/strala,"",13026
Lightspeed Venture Partners,audius,https://api.crunchbase.com/v3.1/organizations/audius,"",9750
Lightspeed Venture Partners,kodiak-robotics-inc,https://api.crunchbase.com/v3.1/organizations/kodiak-robotics-inc,"",30019
Lightspeed Venture Partners,grabtaxi,https://api.crunchbase.com/v3.1/organizations/grabtaxi,"",298
Lightspeed Venture Partners,shuttl,https://api.crunchbase.com/v3.1/organizations/shuttl,"",1124
Lightspeed Venture Partners,serverless,https://api.crunchbase.com/v3.1/organizations/serverless,"",584
Lightspeed Venture Partners,haus-beauty,https://api.crunchbase.com/v3.1/organizations/haus-beauty,"",70761
Lightspeed Venture Partners,dirt-protocol,https://api.crunchbase.com/v3.1/organizations/dirt-protocol,"",20525
Lightspeed Venture Partners,unlockable,https://api.crunchbase.com/v3.1/organizations/unlockable,"",19406
Lightspeed Venture Partners,cloudbees,https://api.crunchbase.com/v3.1/organizations/cloudbees,"",787
Lightspeed Venture Partners,yugabyte,https://api.crunchbase.com/v3.1/organizations/yugabyte,"",32341
Lightspeed Venture Partners,strangeworks,https://api.crunchbase.com/v3.1/organizations/strangeworks,"",10771
Lightspeed Venture Partners,xingbianli,https://api.crunchbase.com/v3.1/organizations/xingbianli,"",17880
Lightspeed Venture Partners,avi-networks-inc,https://api.crunchbase.com/v3.1/organizations/avi-networks-inc,"",752
Lightspeed Venture Partners,thunkable,https://api.crunchbase.com/v3.1/organizations/thunkable,"",11057
Lightspeed Venture Partners,bluevine,https://api.crunchbase.com/v3.1/organizations/bluevine,"",985
Lightspeed Venture Partners,terminal-io,https://api.crunchbase.com/v3.1/organizations/terminal-io,"",24933
Lightspeed Venture Partners,parsable,https://api.crunchbase.com/v3.1/organizations/parsable,"",1428
Lightspeed Venture Partners,mynd,https://api.crunchbase.com/v3.1/organizations/mynd,"",1181
Lightspeed Venture Partners,innovaccer,https://api.crunchbase.com/v3.1/organizations/innovaccer,"",569
Lightspeed Venture Partners,falconx,https://api.crunchbase.com/v3.1/organizations/falconx,"",58338
Lightspeed Venture Partners,thoughtspot,https://api.crunchbase.com/v3.1/organizations/thoughtspot,"",16158
Lightspeed Venture Partners,zola,https://api.crunchbase.com/v3.1/organizations/zola,"",20188
Lightspeed Venture Partners,jumprope,https://api.crunchbase.com/v3.1/organizations/jumprope,"",11101
Lightspeed Venture Partners,basecoin,https://api.crunchbase.com/v3.1/organizations/basecoin,"",44118
Lightspeed Venture Partners,goop,https://api.crunchbase.com/v3.1/organizations/goop,"",149
Lightspeed Venture Partners,necto-lab,https://api.crunchbase.com/v3.1/organizations/necto-lab,"",81514
Lightspeed Venture Partners,saga-foundation,https://api.crunchbase.com/v3.1/organizations/saga-foundation,"",16394
Lightspeed Venture Partners,reimagined,https://api.crunchbase.com/v3.1/organizations/reimagined,"",4544
Lightspeed Venture Partners,cheddar-tv,https://api.crunchbase.com/v3.1/organizations/cheddar-tv,"",1193
Lightspeed Venture Partners,intermedia-labs,https://api.crunchbase.com/v3.1/organizations/intermedia-labs,"",17523
Lightspeed Venture Partners,kixeye,https://api.crunchbase.com/v3.1/organizations/kixeye,"",37676
Lightspeed Venture Partners,epsagon,https://api.crunchbase.com/v3.1/organizations/epsagon,"",48910
Lightspeed Venture Partners,split-software,https://api.crunchbase.com/v3.1/organizations/split-software,"",4072
Lightspeed Venture Partners,fastfox,https://api.crunchbase.com/v3.1/organizations/fastfox,"",45228
Lightspeed Venture Partners,templarbit,https://api.crunchbase.com/v3.1/organizations/templarbit,"",59189
Lightspeed Venture Partners,alice-technologies,https://api.crunchbase.com/v3.1/organizations/alice-technologies,"",35428
Lightspeed Venture Partners,reflektive,https://api.crunchbase.com/v3.1/organizations/reflektive,"",1649
Lightspeed Venture Partners,highfive,https://api.crunchbase.com/v3.1/organizations/highfive,"",23123
Lightspeed Venture Partners,mdclone,https://api.crunchbase.com/v3.1/organizations/mdclone,"",10810
Lightspeed Venture Partners,mist-systems,https://api.crunchbase.com/v3.1/organizations/mist-systems,"",3277
Lightspeed Venture Partners,homeshare,https://api.crunchbase.com/v3.1/organizations/homeshare,"",8518
Lightspeed Venture Partners,dremio-corporation,https://api.crunchbase.com/v3.1/organizations/dremio-corporation,"",18748
Lightspeed Venture Partners,roofstock,https://api.crunchbase.com/v3.1/organizations/roofstock,"",1010
Lightspeed Venture Partners,ladder-2,https://api.crunchbase.com/v3.1/organizations/ladder-2,"",2025
Lightspeed Venture Partners,arctic-wolf-networks,https://api.crunchbase.com/v3.1/organizations/arctic-wolf-networks,"",1887
Lightspeed Venture Partners,pagedraw,https://api.crunchbase.com/v3.1/organizations/pagedraw,"",25818
Lightspeed Venture Partners,tolemi,https://api.crunchbase.com/v3.1/organizations/tolemi,"",17970
Lightspeed Venture Partners,laiye,https://api.crunchbase.com/v3.1/organizations/laiye,"",3529
Lightspeed Venture Partners,daily-harvest,https://api.crunchbase.com/v3.1/organizations/daily-harvest,"",703
Lightspeed Venture Partners,xiaopeng-motors,https://api.crunchbase.com/v3.1/organizations/xiaopeng-motors,"",3175
Lightspeed Venture Partners,girlboss,https://api.crunchbase.com/v3.1/organizations/girlboss,"",1908
Lightspeed Venture Partners,at-bay,https://api.crunchbase.com/v3.1/organizations/at-bay,"",40433
Lightspeed Venture Partners,qubole,https://api.crunchbase.com/v3.1/organizations/qubole,"",1525
Lightspeed Venture Partners,sourceress,https://api.crunchbase.com/v3.1/organizations/sourceress,"",7113
Lightspeed Venture Partners,crowdamp-inc,https://api.crunchbase.com/v3.1/organizations/crowdamp-inc,"",32468
Lightspeed Venture Partners,forty-seven,https://api.crunchbase.com/v3.1/organizations/forty-seven,"",4422
Lightspeed Venture Partners,totemic-labs,https://api.crunchbase.com/v3.1/organizations/totemic-labs,"",10331
Lightspeed Venture Partners,binaris,https://api.crunchbase.com/v3.1/organizations/binaris,"",15718
Lightspeed Venture Partners,buildingconnected,https://api.crunchbase.com/v3.1/organizations/buildingconnected,"",2336
Lightspeed Venture Partners,vexata,https://api.crunchbase.com/v3.1/organizations/vexata,"",4092
Lightspeed Venture Partners,heptio,https://api.crunchbase.com/v3.1/organizations/heptio,"",4682
Lightspeed Venture Partners,elastifile,https://api.crunchbase.com/v3.1/organizations/elastifile,"",196
Lightspeed Venture Partners,mapr-technologies,https://api.crunchbase.com/v3.1/organizations/mapr-technologies,"",2077
Lightspeed Venture Partners,filld,https://api.crunchbase.com/v3.1/organizations/filld,"",5196
Lightspeed Venture Partners,streamlio,https://api.crunchbase.com/v3.1/organizations/streamlio,"",10321
Lightspeed Venture Partners,poncho,https://api.crunchbase.com/v3.1/organizations/poncho,"",23148
Lightspeed Venture Partners,rothy-s,https://api.crunchbase.com/v3.1/organizations/rothy-s,"",1465
Lightspeed Venture Partners,citadel-defense,https://api.crunchbase.com/v3.1/organizations/citadel-defense,"",13638
Lightspeed Venture Partners,flip-2,https://api.crunchbase.com/v3.1/organizations/flip-2,"",26135
Lightspeed Venture Partners,karius,https://api.crunchbase.com/v3.1/organizations/karius,"",3278
Lightspeed Venture Partners,teleportal-inc,https://api.crunchbase.com/v3.1/organizations/teleportal-inc,"",56701
Lightspeed Venture Partners,clark-3,https://api.crunchbase.com/v3.1/organizations/clark-3,"",9812
Lightspeed Venture Partners,memory-labs-inc,https://api.crunchbase.com/v3.1/organizations/memory-labs-inc,"",205608
Lightspeed Venture Partners,oneassist-consumer-solutions,https://api.crunchbase.com/v3.1/organizations/oneassist-consumer-solutions,"",5562
Lightspeed Venture Partners,blockchain-info,https://api.crunchbase.com/v3.1/organizations/blockchain-info,"",809
Lightspeed Venture Partners,companion-inc,https://api.crunchbase.com/v3.1/organizations/companion-inc,"",32275
Lightspeed Venture Partners,selfie-networks,https://api.crunchbase.com/v3.1/organizations/selfie-networks,"",28920
Lightspeed Venture Partners,brava-home,https://api.crunchbase.com/v3.1/organizations/brava-home,"",44645
Lightspeed Venture Partners,guardant-health,https://api.crunchbase.com/v3.1/organizations/guardant-health,"",1366
Lightspeed Venture Partners,gainsight,https://api.crunchbase.com/v3.1/organizations/gainsight,"",1213
Lightspeed Venture Partners,ascend-io,https://api.crunchbase.com/v3.1/organizations/ascend-io,"",28521
Lightspeed Venture Partners,ensilo,https://api.crunchbase.com/v3.1/organizations/ensilo,"",598
Lightspeed Venture Partners,kimkim,https://api.crunchbase.com/v3.1/organizations/kimkim,"",19799
Lightspeed Venture Partners,overops,https://api.crunchbase.com/v3.1/organizations/overops,"",4171
Lightspeed Venture Partners,jovo,https://api.crunchbase.com/v3.1/organizations/jovo,"",117931
Lightspeed Venture Partners,mic-network,https://api.crunchbase.com/v3.1/organizations/mic-network,"",6469
Lightspeed Venture Partners,mama-2,https://api.crunchbase.com/v3.1/organizations/mama-2,"",208454
Lightspeed Venture Partners,anyroad,https://api.crunchbase.com/v3.1/organizations/anyroad,"",2968
Lightspeed Venture Partners,collectly-inc,https://api.crunchbase.com/v3.1/organizations/collectly-inc,"",13164
Lightspeed Venture Partners,avere-systems,https://api.crunchbase.com/v3.1/organizations/avere-systems,"",16796
Lightspeed Venture Partners,redcarpetup,https://api.crunchbase.com/v3.1/organizations/redcarpetup,"",8991
Lightspeed Venture Partners,duta-in,https://api.crunchbase.com/v3.1/organizations/duta-in,"",21162
Lightspeed Venture Partners,snaproute,https://api.crunchbase.com/v3.1/organizations/snaproute,"",8111
Lightspeed Venture Partners,comprehend-systems,https://api.crunchbase.com/v3.1/organizations/comprehend-systems,"",3959
Lightspeed Venture Partners,bright-funds,https://api.crunchbase.com/v3.1/organizations/bright-funds,"",21028
Lightspeed Venture Partners,fangcloud-technology,https://api.crunchbase.com/v3.1/organizations/fangcloud-technology,"",31401
Lightspeed Venture Partners,plusai,https://api.crunchbase.com/v3.1/organizations/plusai,"",59064
Lightspeed Venture Partners,hollar-2,https://api.crunchbase.com/v3.1/organizations/hollar-2,"",4790
Lightspeed Venture Partners,plushcare,https://api.crunchbase.com/v3.1/organizations/plushcare,"",6887
Lightspeed Venture Partners,datorama,https://api.crunchbase.com/v3.1/organizations/datorama,"",21355
Lightspeed Venture Partners,byju-s,https://api.crunchbase.com/v3.1/organizations/byju-s,"",6394
Lightspeed Venture Partners,zaihui,https://api.crunchbase.com/v3.1/organizations/zaihui,"",26103
Lightspeed Venture Partners,eyeview,https://api.crunchbase.com/v3.1/organizations/eyeview,"",5044
Lightspeed Venture Partners,barefoot-networks,https://api.crunchbase.com/v3.1/organizations/barefoot-networks,"",17944
Lightspeed Venture Partners,fashionara,https://api.crunchbase.com/v3.1/organizations/fashionara,"",183472
Lightspeed Venture Partners,agenovir-corporation,https://api.crunchbase.com/v3.1/organizations/agenovir-corporation,"",34268
Lightspeed Venture Partners,evariant,https://api.crunchbase.com/v3.1/organizations/evariant,"",4535
Lightspeed Venture Partners,eonite-perception-inc,https://api.crunchbase.com/v3.1/organizations/eonite-perception-inc,"",14207
Lightspeed Venture Partners,bromium,https://api.crunchbase.com/v3.1/organizations/bromium,"",4286
Lightspeed Venture Partners,kenandy,https://api.crunchbase.com/v3.1/organizations/kenandy,"",10437
Lightspeed Venture Partners,alooma,https://api.crunchbase.com/v3.1/organizations/alooma,"",36175
Lightspeed Venture Partners,influitive,https://api.crunchbase.com/v3.1/organizations/influitive,"",3988
Lightspeed Venture Partners,fireglass,https://api.crunchbase.com/v3.1/organizations/fireglass,"",10338
Lightspeed Venture Partners,giphy,https://api.crunchbase.com/v3.1/organizations/giphy,"",502
Lightspeed Venture Partners,bloomreach,https://api.crunchbase.com/v3.1/organizations/bloomreach,"",22958
Lightspeed Venture Partners,fivestars-loyalty,https://api.crunchbase.com/v3.1/organizations/fivestars-loyalty,"",2091
Lightspeed Venture Partners,athos,https://api.crunchbase.com/v3.1/organizations/athos,"",3882
Lightspeed Venture Partners,craftsvilla,https://api.crunchbase.com/v3.1/organizations/craftsvilla,"",36030
Lightspeed Venture Partners,123feng-com,https://api.crunchbase.com/v3.1/organizations/123feng-com,"",61853
Lightspeed Venture Partners,numerify,https://api.crunchbase.com/v3.1/organizations/numerify,"",3499
Lightspeed Venture Partners,everstring,https://api.crunchbase.com/v3.1/organizations/everstring,"",2451
Lightspeed Venture Partners,datos-io,https://api.crunchbase.com/v3.1/organizations/datos-io,"",52987
Lightspeed Venture Partners,plexxi,https://api.crunchbase.com/v3.1/organizations/plexxi,"",11963
Lightspeed Venture Partners,numedii,https://api.crunchbase.com/v3.1/organizations/numedii,"",17415
Lightspeed Venture Partners,cloudpassage,https://api.crunchbase.com/v3.1/organizations/cloudpassage,"",4630
Lightspeed Venture Partners,tintri,https://api.crunchbase.com/v3.1/organizations/tintri,"",7026
Lightspeed Venture Partners,zscaler,https://api.crunchbase.com/v3.1/organizations/zscaler,"",671
Lightspeed Venture Partners,beme-2,https://api.crunchbase.com/v3.1/organizations/beme-2,"",22737
Lightspeed Venture Partners,townrush,https://api.crunchbase.com/v3.1/organizations/townrush,"",99483
Lightspeed Venture Partners,broex-io,https://api.crunchbase.com/v3.1/organizations/broex-io,"",40141
Lightspeed Venture Partners,styleseat,https://api.crunchbase.com/v3.1/organizations/styleseat,"",2633
Lightspeed Venture Partners,delphix,https://api.crunchbase.com/v3.1/organizations/delphix,"",2489
Lightspeed Venture Partners,drafted,https://api.crunchbase.com/v3.1/organizations/drafted,"",16303
Lightspeed Venture Partners,stacksware,https://api.crunchbase.com/v3.1/organizations/stacksware,"",31373
Lightspeed Venture Partners,mulesoft,https://api.crunchbase.com/v3.1/organizations/mulesoft,"",8864
Lightspeed Venture Partners,little-labs,https://api.crunchbase.com/v3.1/organizations/little-labs,"",34351
Lightspeed Venture Partners,percolate,https://api.crunchbase.com/v3.1/organizations/percolate,"",2002
Lightspeed Venture Partners,docker,https://api.crunchbase.com/v3.1/organizations/docker,"",151
