Organization Name,Invested In,Api Url,Description,Rank
Liquid 2 Ventures,freedom-robotics,https://api.crunchbase.com/v3.1/organizations/freedom-robotics,"",2072
Liquid 2 Ventures,momentus-space,https://api.crunchbase.com/v3.1/organizations/momentus-space,"",510
Liquid 2 Ventures,berbix,https://api.crunchbase.com/v3.1/organizations/berbix,"",1869
Liquid 2 Ventures,zubale,https://api.crunchbase.com/v3.1/organizations/zubale,"",4629
Liquid 2 Ventures,brave-care,https://api.crunchbase.com/v3.1/organizations/brave-care,"",12511
Liquid 2 Ventures,chipper-cash,https://api.crunchbase.com/v3.1/organizations/chipper-cash,"",12464
Liquid 2 Ventures,golden-2cb6,https://api.crunchbase.com/v3.1/organizations/golden-2cb6,"",5105
Liquid 2 Ventures,nabis,https://api.crunchbase.com/v3.1/organizations/nabis,"",5925
Liquid 2 Ventures,fuzzbuzz,https://api.crunchbase.com/v3.1/organizations/fuzzbuzz,"",8027
Liquid 2 Ventures,kids-on-45th,https://api.crunchbase.com/v3.1/organizations/kids-on-45th,"",11951
Liquid 2 Ventures,staytuned-digital,https://api.crunchbase.com/v3.1/organizations/staytuned-digital,"",12797
Liquid 2 Ventures,2ndkitchen,https://api.crunchbase.com/v3.1/organizations/2ndkitchen,"",12610
Liquid 2 Ventures,loansnap,https://api.crunchbase.com/v3.1/organizations/loansnap,"",4225
Liquid 2 Ventures,untitled-labs,https://api.crunchbase.com/v3.1/organizations/untitled-labs,"",18881
Liquid 2 Ventures,inscribe,https://api.crunchbase.com/v3.1/organizations/inscribe,"",10375
Liquid 2 Ventures,seattle-food-tech-sft,https://api.crunchbase.com/v3.1/organizations/seattle-food-tech-sft,"",15171
Liquid 2 Ventures,toonstar,https://api.crunchbase.com/v3.1/organizations/toonstar,"",15136
Liquid 2 Ventures,titan,https://api.crunchbase.com/v3.1/organizations/titan,"",6973
Liquid 2 Ventures,rank-science-2,https://api.crunchbase.com/v3.1/organizations/rank-science-2,"",17381
Liquid 2 Ventures,shelf-engine,https://api.crunchbase.com/v3.1/organizations/shelf-engine,"",6967
Liquid 2 Ventures,legalpad-778c,https://api.crunchbase.com/v3.1/organizations/legalpad-778c,"",11893
Liquid 2 Ventures,system1-biosciences,https://api.crunchbase.com/v3.1/organizations/system1-biosciences,"",10926
Liquid 2 Ventures,qurasense,https://api.crunchbase.com/v3.1/organizations/qurasense,"",75166
