Organization Name,Invested In,Api Url,Description,Rank
Lumia Capital,naked-labs,https://api.crunchbase.com/v3.1/organizations/naked-labs,"",5732
Lumia Capital,carsome,https://api.crunchbase.com/v3.1/organizations/carsome,"",2868
Lumia Capital,threatstream,https://api.crunchbase.com/v3.1/organizations/threatstream,"",1302
Lumia Capital,digital-genius-artificial-intelligence,https://api.crunchbase.com/v3.1/organizations/digital-genius-artificial-intelligence,"",31851
Lumia Capital,instacarrro-com,https://api.crunchbase.com/v3.1/organizations/instacarrro-com,"",43843
Lumia Capital,trocafone,https://api.crunchbase.com/v3.1/organizations/trocafone,"",8033
Lumia Capital,hiya,https://api.crunchbase.com/v3.1/organizations/hiya,"",4999
Lumia Capital,grid-raster,https://api.crunchbase.com/v3.1/organizations/grid-raster,"",21708
Lumia Capital,plexchat,https://api.crunchbase.com/v3.1/organizations/plexchat,"",24988
Lumia Capital,meliuz,https://api.crunchbase.com/v3.1/organizations/meliuz,"",78159
Lumia Capital,the-mednet,https://api.crunchbase.com/v3.1/organizations/the-mednet,"",15499
Lumia Capital,careem,https://api.crunchbase.com/v3.1/organizations/careem,"",163
Lumia Capital,shedul,https://api.crunchbase.com/v3.1/organizations/shedul,"",3447
Lumia Capital,pagerduty,https://api.crunchbase.com/v3.1/organizations/pagerduty,"",181
Lumia Capital,dice,https://api.crunchbase.com/v3.1/organizations/dice,"",3203
Lumia Capital,mobileworks,https://api.crunchbase.com/v3.1/organizations/mobileworks,"",4020
Lumia Capital,cargox-com-br,https://api.crunchbase.com/v3.1/organizations/cargox-com-br,"",2898
Lumia Capital,june,https://api.crunchbase.com/v3.1/organizations/june,"",2298
Lumia Capital,hired,https://api.crunchbase.com/v3.1/organizations/hired,"",1305
Lumia Capital,eatstreet,https://api.crunchbase.com/v3.1/organizations/eatstreet,"",3389
Lumia Capital,greenhouse-software,https://api.crunchbase.com/v3.1/organizations/greenhouse-software,"",1287
Lumia Capital,kahuna,https://api.crunchbase.com/v3.1/organizations/kahuna,"",3932
Lumia Capital,automatic-com,https://api.crunchbase.com/v3.1/organizations/automatic-com,"",4975
Lumia Capital,cymmetria,https://api.crunchbase.com/v3.1/organizations/cymmetria,"",9609
Lumia Capital,anyroad,https://api.crunchbase.com/v3.1/organizations/anyroad,"",2968
Lumia Capital,sprig-2,https://api.crunchbase.com/v3.1/organizations/sprig-2,"",6037
Lumia Capital,hinge,https://api.crunchbase.com/v3.1/organizations/hinge,"",3059
Lumia Capital,procore-technologies,https://api.crunchbase.com/v3.1/organizations/procore-technologies,"",158
Lumia Capital,opendns,https://api.crunchbase.com/v3.1/organizations/opendns,"",6557
Lumia Capital,kabbage,https://api.crunchbase.com/v3.1/organizations/kabbage,"",126
Lumia Capital,twitvid,https://api.crunchbase.com/v3.1/organizations/twitvid,"",22618
Lumia Capital,betable,https://api.crunchbase.com/v3.1/organizations/betable,"",18290
Lumia Capital,lenddo,https://api.crunchbase.com/v3.1/organizations/lenddo,"",7982
Lumia Capital,xtime,https://api.crunchbase.com/v3.1/organizations/xtime,"",9261
Lumia Capital,couchsurfing-international,https://api.crunchbase.com/v3.1/organizations/couchsurfing-international,"",6219
