Organization Name,Invested In,Api Url,Description,Rank
M13,tarform-motorcycles,https://api.crunchbase.com/v3.1/organizations/tarform-motorcycles,"",106998
M13,shef,https://api.crunchbase.com/v3.1/organizations/shef,"",62847
M13,fabfitfun,https://api.crunchbase.com/v3.1/organizations/fabfitfun,"",1485
M13,seed-health,https://api.crunchbase.com/v3.1/organizations/seed-health,"",51895
M13,mud-wtr,https://api.crunchbase.com/v3.1/organizations/mud-wtr,"",96058
M13,next-health-com,https://api.crunchbase.com/v3.1/organizations/next-health-com,"",155131
M13,good-money,https://api.crunchbase.com/v3.1/organizations/good-money,"",3481
M13,carenote,https://api.crunchbase.com/v3.1/organizations/carenote,"",28202
M13,good-catch,https://api.crunchbase.com/v3.1/organizations/good-catch,"",2515
M13,daily-harvest,https://api.crunchbase.com/v3.1/organizations/daily-harvest,"",703
M13,bird,https://api.crunchbase.com/v3.1/organizations/bird,"",878
M13,rothy-s,https://api.crunchbase.com/v3.1/organizations/rothy-s,"",1465
M13,classpass,https://api.crunchbase.com/v3.1/organizations/classpass,"",256
M13,lyft,https://api.crunchbase.com/v3.1/organizations/lyft,"",406
M13,loot-crate,https://api.crunchbase.com/v3.1/organizations/loot-crate,"",3490
M13,snapchat,https://api.crunchbase.com/v3.1/organizations/snapchat,"",5173
M13,earnest,https://api.crunchbase.com/v3.1/organizations/earnest,"",1317
M13,meundies,https://api.crunchbase.com/v3.1/organizations/meundies,"",3022
M13,juul,https://api.crunchbase.com/v3.1/organizations/juul,"",815
M13,jackpocket,https://api.crunchbase.com/v3.1/organizations/jackpocket,"",4502
M13,suja-juice,https://api.crunchbase.com/v3.1/organizations/suja-juice,"",9542
M13,scopely,https://api.crunchbase.com/v3.1/organizations/scopely,"",830
M13,the-bouqs-company,https://api.crunchbase.com/v3.1/organizations/the-bouqs-company,"",3982
M13,kite-ly,https://api.crunchbase.com/v3.1/organizations/kite-ly,"",28042
M13,cabify,https://api.crunchbase.com/v3.1/organizations/cabify,"",1686
M13,blue-bottle-coffee,https://api.crunchbase.com/v3.1/organizations/blue-bottle-coffee,"",25715
M13,ring,https://api.crunchbase.com/v3.1/organizations/ring,"",2458
M13,the-honest-company,https://api.crunchbase.com/v3.1/organizations/the-honest-company,"",568
M13,shake-shack,https://api.crunchbase.com/v3.1/organizations/shake-shack,"",30079
M13,matterport,https://api.crunchbase.com/v3.1/organizations/matterport,"",247
M13,kevita,https://api.crunchbase.com/v3.1/organizations/kevita,"",20334
M13,bonobos,https://api.crunchbase.com/v3.1/organizations/bonobos,"",1018
