Organization Name,Invested In,Api Url,Description,Rank
M Ventures,nuggs,https://api.crunchbase.com/v3.1/organizations/nuggs,"",3273
M Ventures,riffyn,https://api.crunchbase.com/v3.1/organizations/riffyn,"",4424
M Ventures,iceni-therapeutics,https://api.crunchbase.com/v3.1/organizations/iceni-therapeutics,"",13847
M Ventures,dna-script,https://api.crunchbase.com/v3.1/organizations/dna-script,"",7685
M Ventures,sonde-health,https://api.crunchbase.com/v3.1/organizations/sonde-health,"",10202
M Ventures,the-one-health-company,https://api.crunchbase.com/v3.1/organizations/the-one-health-company,"",10962
M Ventures,immersive-systems-inc,https://api.crunchbase.com/v3.1/organizations/immersive-systems-inc,"",34091
M Ventures,vantage-point-99a0,https://api.crunchbase.com/v3.1/organizations/vantage-point-99a0,"",15010
M Ventures,grin-scooters,https://api.crunchbase.com/v3.1/organizations/grin-scooters,"",2121
M Ventures,supermedium,https://api.crunchbase.com/v3.1/organizations/supermedium,"",25910
M Ventures,brat,https://api.crunchbase.com/v3.1/organizations/brat,"",3276
M Ventures,harper-wilde,https://api.crunchbase.com/v3.1/organizations/harper-wilde,"",9492
M Ventures,carta-healthcare,https://api.crunchbase.com/v3.1/organizations/carta-healthcare,"",81443
M Ventures,long-game,https://api.crunchbase.com/v3.1/organizations/long-game,"",9649
M Ventures,electric-capital,https://api.crunchbase.com/v3.1/organizations/electric-capital,"",18395
M Ventures,brud,https://api.crunchbase.com/v3.1/organizations/brud,"",3978
M Ventures,alliance-of-american-football,https://api.crunchbase.com/v3.1/organizations/alliance-of-american-football,"",3880
M Ventures,ayez,https://api.crunchbase.com/v3.1/organizations/ayez,"",139510
M Ventures,token-daily,https://api.crunchbase.com/v3.1/organizations/token-daily,"",24279
M Ventures,tipe,https://api.crunchbase.com/v3.1/organizations/tipe,"",95363
M Ventures,players-lounge,https://api.crunchbase.com/v3.1/organizations/players-lounge,"",5733
M Ventures,wild-earth-104d,https://api.crunchbase.com/v3.1/organizations/wild-earth-104d,"",2293
M Ventures,runa-hr,https://api.crunchbase.com/v3.1/organizations/runa-hr,"",66903
M Ventures,bese,https://api.crunchbase.com/v3.1/organizations/bese,"",184375
M Ventures,fanai-inc,https://api.crunchbase.com/v3.1/organizations/fanai-inc,"",9990
M Ventures,manticore-games,https://api.crunchbase.com/v3.1/organizations/manticore-games,"",9518
M Ventures,bitsmash,https://api.crunchbase.com/v3.1/organizations/bitsmash,"",181311
M Ventures,tulip,https://api.crunchbase.com/v3.1/organizations/tulip,"",136907
M Ventures,stemdisintermedia,https://api.crunchbase.com/v3.1/organizations/stemdisintermedia,"",6753
M Ventures,omnislash,https://api.crunchbase.com/v3.1/organizations/omnislash,"",121363
M Ventures,vaunt,https://api.crunchbase.com/v3.1/organizations/vaunt,"",114417
M Ventures,driftt-2,https://api.crunchbase.com/v3.1/organizations/driftt-2,"",76498
M Ventures,threads,https://api.crunchbase.com/v3.1/organizations/threads,"",97103
M Ventures,ai-foundation,https://api.crunchbase.com/v3.1/organizations/ai-foundation,"",11685
M Ventures,whisper-3,https://api.crunchbase.com/v3.1/organizations/whisper-3,"",61888
M Ventures,mira-labs,https://api.crunchbase.com/v3.1/organizations/mira-labs,"",5343
M Ventures,octane-ai,https://api.crunchbase.com/v3.1/organizations/octane-ai,"",9349
M Ventures,g2-esports,https://api.crunchbase.com/v3.1/organizations/g2-esports,"",3348
M Ventures,70-million-jobs,https://api.crunchbase.com/v3.1/organizations/70-million-jobs,"",18050
M Ventures,slik,https://api.crunchbase.com/v3.1/organizations/slik,"",33230
M Ventures,greo,https://api.crunchbase.com/v3.1/organizations/greo,"",110610
M Ventures,gamelynx,https://api.crunchbase.com/v3.1/organizations/gamelynx,"",75645
M Ventures,friendspot,https://api.crunchbase.com/v3.1/organizations/friendspot,"",98375
M Ventures,remezcla,https://api.crunchbase.com/v3.1/organizations/remezcla,"",24779
M Ventures,vrse,https://api.crunchbase.com/v3.1/organizations/vrse,"",4649
M Ventures,the-levo-league,https://api.crunchbase.com/v3.1/organizations/the-levo-league,"",9383
M Ventures,plexchat,https://api.crunchbase.com/v3.1/organizations/plexchat,"",24988
M Ventures,aconite,https://api.crunchbase.com/v3.1/organizations/aconite,"",194440
M Ventures,fleet-3,https://api.crunchbase.com/v3.1/organizations/fleet-3,"",236637
M Ventures,freethink-media,https://api.crunchbase.com/v3.1/organizations/freethink-media,"",99630
M Ventures,just-appraised,https://api.crunchbase.com/v3.1/organizations/just-appraised,"",31301
M Ventures,monkey,https://api.crunchbase.com/v3.1/organizations/monkey,"",326307
M Ventures,citizen-d7ce,https://api.crunchbase.com/v3.1/organizations/citizen-d7ce,"",447
M Ventures,cue-2,https://api.crunchbase.com/v3.1/organizations/cue-2,"",6729
M Ventures,blend-systems,https://api.crunchbase.com/v3.1/organizations/blend-systems,"",2354
M Ventures,mirror-ai,https://api.crunchbase.com/v3.1/organizations/mirror-ai,"",13754
M Ventures,hookedapp,https://api.crunchbase.com/v3.1/organizations/hookedapp,"",7667
M Ventures,shogun-2,https://api.crunchbase.com/v3.1/organizations/shogun-2,"",65936
M Ventures,subdream-studios,https://api.crunchbase.com/v3.1/organizations/subdream-studios,"",34255
M Ventures,beautycon,https://api.crunchbase.com/v3.1/organizations/beautycon,"",4900
M Ventures,mass-appeal,https://api.crunchbase.com/v3.1/organizations/mass-appeal,"",16008
M Ventures,caffeine,https://api.crunchbase.com/v3.1/organizations/caffeine,"",1895
M Ventures,drop-4,https://api.crunchbase.com/v3.1/organizations/drop-4,"",140095
