Organization Name,Invested In,Api Url,Description,Rank
Marc Bell Ventures,crownthrown,https://api.crunchbase.com/v3.1/organizations/crownthrown,"",14995
Marc Bell Ventures,vector-space,https://api.crunchbase.com/v3.1/organizations/vector-space,"",4055
Marc Bell Ventures,codehs,https://api.crunchbase.com/v3.1/organizations/codehs,"",19199
Marc Bell Ventures,kyboe,https://api.crunchbase.com/v3.1/organizations/kyboe,"",184374
Marc Bell Ventures,holidog,https://api.crunchbase.com/v3.1/organizations/holidog,"",33633
Marc Bell Ventures,grove-labs,https://api.crunchbase.com/v3.1/organizations/grove-labs,"",15806
Marc Bell Ventures,nextlesson,https://api.crunchbase.com/v3.1/organizations/nextlesson,"",31435
Marc Bell Ventures,kindara,https://api.crunchbase.com/v3.1/organizations/kindara,"",13753
Marc Bell Ventures,bentonow,https://api.crunchbase.com/v3.1/organizations/bentonow,"",22062
Marc Bell Ventures,rinse,https://api.crunchbase.com/v3.1/organizations/rinse,"",2886
Marc Bell Ventures,codespark,https://api.crunchbase.com/v3.1/organizations/codespark,"",13849
Marc Bell Ventures,bitpagos,https://api.crunchbase.com/v3.1/organizations/bitpagos,"",5820
Marc Bell Ventures,clutter,https://api.crunchbase.com/v3.1/organizations/clutter,"",487
Marc Bell Ventures,wonolo,https://api.crunchbase.com/v3.1/organizations/wonolo,"",773
Marc Bell Ventures,immediately,https://api.crunchbase.com/v3.1/organizations/immediately,"",42119
Marc Bell Ventures,walksource,https://api.crunchbase.com/v3.1/organizations/walksource,"",30366
Marc Bell Ventures,windshield,https://api.crunchbase.com/v3.1/organizations/windshield,"",115897
Marc Bell Ventures,chai,https://api.crunchbase.com/v3.1/organizations/chai,"",21354
Marc Bell Ventures,crayon-2,https://api.crunchbase.com/v3.1/organizations/crayon-2,"",4039
Marc Bell Ventures,poshmark,https://api.crunchbase.com/v3.1/organizations/poshmark,"",434
Marc Bell Ventures,cointent,https://api.crunchbase.com/v3.1/organizations/cointent,"",43287
Marc Bell Ventures,barricade-io,https://api.crunchbase.com/v3.1/organizations/barricade-io,"",42740
Marc Bell Ventures,nuve,https://api.crunchbase.com/v3.1/organizations/nuve,"",22458
Marc Bell Ventures,haystagg,https://api.crunchbase.com/v3.1/organizations/haystagg,"",62621
Marc Bell Ventures,ticketbis,https://api.crunchbase.com/v3.1/organizations/ticketbis,"",14093
Marc Bell Ventures,vulcun-2,https://api.crunchbase.com/v3.1/organizations/vulcun-2,"",13049
Marc Bell Ventures,caribou-biosciences,https://api.crunchbase.com/v3.1/organizations/caribou-biosciences,"",4826
Marc Bell Ventures,parkifi,https://api.crunchbase.com/v3.1/organizations/parkifi,"",16718
Marc Bell Ventures,dattch,https://api.crunchbase.com/v3.1/organizations/dattch,"",14677
Marc Bell Ventures,epantry-llc,https://api.crunchbase.com/v3.1/organizations/epantry-llc,"",13121
Marc Bell Ventures,drive-motors,https://api.crunchbase.com/v3.1/organizations/drive-motors,"",2467
