Organization Name,Invested In,Api Url,Description,Rank
Maven Ventures,hello-doctor,https://api.crunchbase.com/v3.1/organizations/hello-doctor,"",691
Maven Ventures,nuggs,https://api.crunchbase.com/v3.1/organizations/nuggs,"",3273
Maven Ventures,may-mobility,https://api.crunchbase.com/v3.1/organizations/may-mobility,"",1515
Maven Ventures,embark-3,https://api.crunchbase.com/v3.1/organizations/embark-3,"",2264
Maven Ventures,skip-scooters,https://api.crunchbase.com/v3.1/organizations/skip-scooters,"",22903
Maven Ventures,marble,https://api.crunchbase.com/v3.1/organizations/marble,"",5360
Maven Ventures,eden,https://api.crunchbase.com/v3.1/organizations/eden,"",3689
Maven Ventures,carrot-fertility,https://api.crunchbase.com/v3.1/organizations/carrot-fertility,"",2414
Maven Ventures,play-i,https://api.crunchbase.com/v3.1/organizations/play-i,"",2155
Maven Ventures,varden-labs,https://api.crunchbase.com/v3.1/organizations/varden-labs,"",50533
Maven Ventures,cruise,https://api.crunchbase.com/v3.1/organizations/cruise,"",152
Maven Ventures,neighborly,https://api.crunchbase.com/v3.1/organizations/neighborly,"",33558
Maven Ventures,qualia3d,https://api.crunchbase.com/v3.1/organizations/qualia3d,"",11040
Maven Ventures,gametime,https://api.crunchbase.com/v3.1/organizations/gametime,"",3053
Maven Ventures,chariot-4,https://api.crunchbase.com/v3.1/organizations/chariot-4,"",9407
Maven Ventures,shots,https://api.crunchbase.com/v3.1/organizations/shots,"",11373
Maven Ventures,worklife,https://api.crunchbase.com/v3.1/organizations/worklife,"",22688
Maven Ventures,chobolabs,https://api.crunchbase.com/v3.1/organizations/chobolabs,"",22914
Maven Ventures,sunshine-3,https://api.crunchbase.com/v3.1/organizations/sunshine-3,"",29940
Maven Ventures,zoom-video-communications,https://api.crunchbase.com/v3.1/organizations/zoom-video-communications,"",5770
Maven Ventures,pley,https://api.crunchbase.com/v3.1/organizations/pley,"",4169
Maven Ventures,chronos-mobile-technologies,https://api.crunchbase.com/v3.1/organizations/chronos-mobile-technologies,"",212203
Maven Ventures,wealthfront,https://api.crunchbase.com/v3.1/organizations/wealthfront,"",328
Maven Ventures,storehouse,https://api.crunchbase.com/v3.1/organizations/storehouse,"",29588
Maven Ventures,banjo,https://api.crunchbase.com/v3.1/organizations/banjo,"",2796
Maven Ventures,epic,https://api.crunchbase.com/v3.1/organizations/epic,"",3065
Maven Ventures,angellist,https://api.crunchbase.com/v3.1/organizations/angellist,"",239
Maven Ventures,tapstack,https://api.crunchbase.com/v3.1/organizations/tapstack,"",172296
Maven Ventures,katango,https://api.crunchbase.com/v3.1/organizations/katango,"",50696
