Organization Name,Invested In,Api Url,Description,Rank
Mellon Ventures,progyny,https://api.crunchbase.com/v3.1/organizations/progyny,"",4979
Mellon Ventures,ivivity,https://api.crunchbase.com/v3.1/organizations/ivivity,"",250497
Mellon Ventures,marketrange,https://api.crunchbase.com/v3.1/organizations/marketrange,"",538965
Mellon Ventures,digital-evolution,https://api.crunchbase.com/v3.1/organizations/digital-evolution,"",227052
Mellon Ventures,wave7-optics,https://api.crunchbase.com/v3.1/organizations/wave7-optics,"",188441
Mellon Ventures,physicians-endoscopy,https://api.crunchbase.com/v3.1/organizations/physicians-endoscopy,"",55132
Mellon Ventures,storactive-inc,https://api.crunchbase.com/v3.1/organizations/storactive-inc,"",336495
Mellon Ventures,princeton-ecom,https://api.crunchbase.com/v3.1/organizations/princeton-ecom,"",282386
Mellon Ventures,ondax,https://api.crunchbase.com/v3.1/organizations/ondax,"",83781
Mellon Ventures,logilent-learning-systems,https://api.crunchbase.com/v3.1/organizations/logilent-learning-systems,"",645087
Mellon Ventures,snap-appliance,https://api.crunchbase.com/v3.1/organizations/snap-appliance,"",242133
Mellon Ventures,nomadix,https://api.crunchbase.com/v3.1/organizations/nomadix,"",131585
Mellon Ventures,spinnaker-networks,https://api.crunchbase.com/v3.1/organizations/spinnaker-networks,"",252482
Mellon Ventures,carrizo-oil-gas,https://api.crunchbase.com/v3.1/organizations/carrizo-oil-gas,"",67811
Mellon Ventures,printcafe-software,https://api.crunchbase.com/v3.1/organizations/printcafe-software,"",377922
Mellon Ventures,giftcertificates-com,https://api.crunchbase.com/v3.1/organizations/giftcertificates-com,"",126422
Mellon Ventures,financeware,https://api.crunchbase.com/v3.1/organizations/financeware,"",147524
Mellon Ventures,corelogic,https://api.crunchbase.com/v3.1/organizations/corelogic,"",12347
Mellon Ventures,eureka-ggn,https://api.crunchbase.com/v3.1/organizations/eureka-ggn,"",529403
Mellon Ventures,prolatus,https://api.crunchbase.com/v3.1/organizations/prolatus,"",552887
Mellon Ventures,broadband-storage,https://api.crunchbase.com/v3.1/organizations/broadband-storage,"",676711
Mellon Ventures,infolibria,https://api.crunchbase.com/v3.1/organizations/infolibria,"",659918
Mellon Ventures,omnicluster-technologies,https://api.crunchbase.com/v3.1/organizations/omnicluster-technologies,"",329062
Mellon Ventures,trendium,https://api.crunchbase.com/v3.1/organizations/trendium,"",256862
Mellon Ventures,novient,https://api.crunchbase.com/v3.1/organizations/novient,"",294252
Mellon Ventures,secureworks,https://api.crunchbase.com/v3.1/organizations/secureworks,"",3351
Mellon Ventures,richfx,https://api.crunchbase.com/v3.1/organizations/richfx,"",139252
Mellon Ventures,summit-global-partner,https://api.crunchbase.com/v3.1/organizations/summit-global-partner,"",514443
Mellon Ventures,wineaccess,https://api.crunchbase.com/v3.1/organizations/wineaccess,"",96134
Mellon Ventures,investorforce,https://api.crunchbase.com/v3.1/organizations/investorforce,"",140301
Mellon Ventures,nex-i,https://api.crunchbase.com/v3.1/organizations/nex-i,"",276042
Mellon Ventures,etoll,https://api.crunchbase.com/v3.1/organizations/etoll,"",359594
Mellon Ventures,invesmart,https://api.crunchbase.com/v3.1/organizations/invesmart,"",253833
Mellon Ventures,stonebridge-technologies,https://api.crunchbase.com/v3.1/organizations/stonebridge-technologies,"",172026
Mellon Ventures,ipnet-solutions,https://api.crunchbase.com/v3.1/organizations/ipnet-solutions,"",291938
Mellon Ventures,simtrex-corp,https://api.crunchbase.com/v3.1/organizations/simtrex-corp,"",516101
Mellon Ventures,fulltilt-solutions,https://api.crunchbase.com/v3.1/organizations/fulltilt-solutions,"",226740
Mellon Ventures,yafo-networks,https://api.crunchbase.com/v3.1/organizations/yafo-networks,"",531625
Mellon Ventures,eventures-group,https://api.crunchbase.com/v3.1/organizations/eventures-group,"",349695
Mellon Ventures,exult,https://api.crunchbase.com/v3.1/organizations/exult,"",522863
Mellon Ventures,velocom,https://api.crunchbase.com/v3.1/organizations/velocom,"",564803
Mellon Ventures,cortera,https://api.crunchbase.com/v3.1/organizations/cortera,"",8684
Mellon Ventures,computerjobs-com,https://api.crunchbase.com/v3.1/organizations/computerjobs-com,"",340117
Mellon Ventures,netscaler,https://api.crunchbase.com/v3.1/organizations/netscaler,"",254851
