Organization Name,Invested In,Api Url,Description,Rank
Mesa Ventures,replyyes,https://api.crunchbase.com/v3.1/organizations/replyyes,"",17934
Mesa Ventures,zipdrug,https://api.crunchbase.com/v3.1/organizations/zipdrug,"",6043
Mesa Ventures,panjo,https://api.crunchbase.com/v3.1/organizations/panjo,"",10453
Mesa Ventures,wade-wendy,https://api.crunchbase.com/v3.1/organizations/wade-wendy,"",6466
Mesa Ventures,inventure,https://api.crunchbase.com/v3.1/organizations/inventure,"",1097
Mesa Ventures,hyper-2,https://api.crunchbase.com/v3.1/organizations/hyper-2,"",42954
Mesa Ventures,clique-media-3,https://api.crunchbase.com/v3.1/organizations/clique-media-3,"",11681
Mesa Ventures,fem,https://api.crunchbase.com/v3.1/organizations/fem,"",36765
Mesa Ventures,rinse,https://api.crunchbase.com/v3.1/organizations/rinse,"",2886
Mesa Ventures,parachute,https://api.crunchbase.com/v3.1/organizations/parachute,"",3087
Mesa Ventures,reimagined,https://api.crunchbase.com/v3.1/organizations/reimagined,"",4544
Mesa Ventures,kisi,https://api.crunchbase.com/v3.1/organizations/kisi,"",11270
Mesa Ventures,snowshoe,https://api.crunchbase.com/v3.1/organizations/snowshoe,"",31274
Mesa Ventures,codesignal,https://api.crunchbase.com/v3.1/organizations/codesignal,"",6721
Mesa Ventures,wedgies,https://api.crunchbase.com/v3.1/organizations/wedgies,"",45767
Mesa Ventures,vrideo,https://api.crunchbase.com/v3.1/organizations/vrideo,"",62252
Mesa Ventures,ringly,https://api.crunchbase.com/v3.1/organizations/ringly,"",17548
Mesa Ventures,culinary-agents,https://api.crunchbase.com/v3.1/organizations/culinary-agents,"",20445
Mesa Ventures,bezar,https://api.crunchbase.com/v3.1/organizations/bezar,"",28085
Mesa Ventures,seedling,https://api.crunchbase.com/v3.1/organizations/seedling,"",15415
Mesa Ventures,navdy,https://api.crunchbase.com/v3.1/organizations/navdy,"",15392
Mesa Ventures,button,https://api.crunchbase.com/v3.1/organizations/button,"",769
Mesa Ventures,fuisz-media,https://api.crunchbase.com/v3.1/organizations/fuisz-media,"",30444
Mesa Ventures,makerskit,https://api.crunchbase.com/v3.1/organizations/makerskit,"",49496
Mesa Ventures,triage-2,https://api.crunchbase.com/v3.1/organizations/triage-2,"",66438
Mesa Ventures,the-noun-project,https://api.crunchbase.com/v3.1/organizations/the-noun-project,"",26153
Mesa Ventures,hopscotch-2,https://api.crunchbase.com/v3.1/organizations/hopscotch-2,"",29138
Mesa Ventures,iodine,https://api.crunchbase.com/v3.1/organizations/iodine,"",18072
Mesa Ventures,gem,https://api.crunchbase.com/v3.1/organizations/gem,"",7554
Mesa Ventures,emissary,https://api.crunchbase.com/v3.1/organizations/emissary,"",6907
Mesa Ventures,shake,https://api.crunchbase.com/v3.1/organizations/shake,"",29822
Mesa Ventures,betterdoctor-inc,https://api.crunchbase.com/v3.1/organizations/betterdoctor-inc,"",8618
Mesa Ventures,basno,https://api.crunchbase.com/v3.1/organizations/basno,"",45618
Mesa Ventures,easypost,https://api.crunchbase.com/v3.1/organizations/easypost,"",3377
Mesa Ventures,zillabyte,https://api.crunchbase.com/v3.1/organizations/zillabyte,"",53699
Mesa Ventures,skift,https://api.crunchbase.com/v3.1/organizations/skift,"",16939
Mesa Ventures,plain-vanilla,https://api.crunchbase.com/v3.1/organizations/plain-vanilla,"",15839
Mesa Ventures,postrelease,https://api.crunchbase.com/v3.1/organizations/postrelease,"",5447
Mesa Ventures,grand-st,https://api.crunchbase.com/v3.1/organizations/grand-st,"",36100
Mesa Ventures,tuition-io,https://api.crunchbase.com/v3.1/organizations/tuition-io,"",11004
Mesa Ventures,keychain-logistics,https://api.crunchbase.com/v3.1/organizations/keychain-logistics,"",25010
Mesa Ventures,fitstar,https://api.crunchbase.com/v3.1/organizations/fitstar,"",23173
Mesa Ventures,consmr,https://api.crunchbase.com/v3.1/organizations/consmr,"",50471
Mesa Ventures,pickie,https://api.crunchbase.com/v3.1/organizations/pickie,"",58802
Mesa Ventures,republic-project,https://api.crunchbase.com/v3.1/organizations/republic-project,"",64597
Mesa Ventures,crossfader,https://api.crunchbase.com/v3.1/organizations/crossfader,"",26315
Mesa Ventures,triple-lift,https://api.crunchbase.com/v3.1/organizations/triple-lift,"",3877
Mesa Ventures,bread-labs,https://api.crunchbase.com/v3.1/organizations/bread-labs,"",47590
Mesa Ventures,desert-power,https://api.crunchbase.com/v3.1/organizations/desert-power,"",758861
