Organization Name,Invested In,Api Url,Description,Rank
MetaProp NYC,avvir,https://api.crunchbase.com/v3.1/organizations/avvir,"",1336
MetaProp NYC,sheltr,https://api.crunchbase.com/v3.1/organizations/sheltr,"",5530
MetaProp NYC,connect-homes,https://api.crunchbase.com/v3.1/organizations/connect-homes,"",7144
MetaProp NYC,brickschain,https://api.crunchbase.com/v3.1/organizations/brickschain,"",8234
MetaProp NYC,airworks,https://api.crunchbase.com/v3.1/organizations/airworks,"",15378
MetaProp NYC,till-inc,https://api.crunchbase.com/v3.1/organizations/till-inc,"",21472
MetaProp NYC,whyhotel,https://api.crunchbase.com/v3.1/organizations/whyhotel,"",3780
MetaProp NYC,onsiteiq,https://api.crunchbase.com/v3.1/organizations/onsiteiq,"",13251
MetaProp NYC,jabbrrbox,https://api.crunchbase.com/v3.1/organizations/jabbrrbox,"",113018
MetaProp NYC,blueprint-power,https://api.crunchbase.com/v3.1/organizations/blueprint-power,"",14036
MetaProp NYC,get-jones,https://api.crunchbase.com/v3.1/organizations/get-jones,"",56490
MetaProp NYC,workframe,https://api.crunchbase.com/v3.1/organizations/workframe,"",6742
MetaProp NYC,spacious-2,https://api.crunchbase.com/v3.1/organizations/spacious-2,"",3734
MetaProp NYC,irene-retirement,https://api.crunchbase.com/v3.1/organizations/irene-retirement,"",22770
MetaProp NYC,locateai,https://api.crunchbase.com/v3.1/organizations/locateai,"",14620
MetaProp NYC,doorport-3,https://api.crunchbase.com/v3.1/organizations/doorport-3,"",16994
MetaProp NYC,attentive,https://api.crunchbase.com/v3.1/organizations/attentive,"",3355
MetaProp NYC,flo-technologies,https://api.crunchbase.com/v3.1/organizations/flo-technologies,"",4070
MetaProp NYC,betterview,https://api.crunchbase.com/v3.1/organizations/betterview,"",3615
MetaProp NYC,hoozip,https://api.crunchbase.com/v3.1/organizations/hoozip,"",38017
MetaProp NYC,wesmartpark,https://api.crunchbase.com/v3.1/organizations/wesmartpark,"",35290
MetaProp NYC,travtus-2,https://api.crunchbase.com/v3.1/organizations/travtus-2,"",28111
MetaProp NYC,urbint-transforming-urban-data-into-intelligence,https://api.crunchbase.com/v3.1/organizations/urbint-transforming-urban-data-into-intelligence,"",59319
MetaProp NYC,bowery-2,https://api.crunchbase.com/v3.1/organizations/bowery-2,"",46103
MetaProp NYC,envelope-city-inc,https://api.crunchbase.com/v3.1/organizations/envelope-city-inc,"",16595
MetaProp NYC,morty,https://api.crunchbase.com/v3.1/organizations/morty,"",2995
MetaProp NYC,enertiv,https://api.crunchbase.com/v3.1/organizations/enertiv,"",7023
MetaProp NYC,ravti,https://api.crunchbase.com/v3.1/organizations/ravti,"",81044
MetaProp NYC,suiteness,https://api.crunchbase.com/v3.1/organizations/suiteness,"",50306
MetaProp NYC,ontarget-technologies,https://api.crunchbase.com/v3.1/organizations/ontarget-technologies,"",67512
MetaProp NYC,loftsmart,https://api.crunchbase.com/v3.1/organizations/loftsmart,"",6528
MetaProp NYC,spruce-holdings,https://api.crunchbase.com/v3.1/organizations/spruce-holdings,"",6244
MetaProp NYC,bizly,https://api.crunchbase.com/v3.1/organizations/bizly,"",7772
MetaProp NYC,showroom-4,https://api.crunchbase.com/v3.1/organizations/showroom-4,"",25479
MetaProp NYC,flip-5,https://api.crunchbase.com/v3.1/organizations/flip-5,"",958
MetaProp NYC,zeus-living,https://api.crunchbase.com/v3.1/organizations/zeus-living,"",2093
MetaProp NYC,parkifi,https://api.crunchbase.com/v3.1/organizations/parkifi,"",16710
MetaProp NYC,jetty-2,https://api.crunchbase.com/v3.1/organizations/jetty-2,"",2546
MetaProp NYC,helloavail,https://api.crunchbase.com/v3.1/organizations/helloavail,"",959
MetaProp NYC,notion-2,https://api.crunchbase.com/v3.1/organizations/notion-2,"",1890
MetaProp NYC,socialsignin,https://api.crunchbase.com/v3.1/organizations/socialsignin,"",30107
MetaProp NYC,radiator-labs-inc,https://api.crunchbase.com/v3.1/organizations/radiator-labs-inc,"",22616
MetaProp NYC,optii-solution,https://api.crunchbase.com/v3.1/organizations/optii-solution,"",17245
