Organization Name,Invested In,Api Url,Description,Rank
Microsoft Accelerator Seattle,metric-insights,https://api.crunchbase.com/v3.1/organizations/metric-insights,"",16789
Microsoft Accelerator Seattle,pymetrics,https://api.crunchbase.com/v3.1/organizations/pymetrics,"",24519
Microsoft Accelerator Seattle,shareablee,https://api.crunchbase.com/v3.1/organizations/shareablee,"",8701
Microsoft Accelerator Seattle,datarpm,https://api.crunchbase.com/v3.1/organizations/datarpm,"",11502
Microsoft Accelerator Seattle,datometry,https://api.crunchbase.com/v3.1/organizations/datometry,"",9539
Microsoft Accelerator Seattle,cycle-computing,https://api.crunchbase.com/v3.1/organizations/cycle-computing,"",32267
Microsoft Accelerator Seattle,loginradius,https://api.crunchbase.com/v3.1/organizations/loginradius,"",6301
Microsoft Accelerator Seattle,versium-analytics-inc,https://api.crunchbase.com/v3.1/organizations/versium-analytics-inc,"",13916
Microsoft Accelerator Seattle,agolo,https://api.crunchbase.com/v3.1/organizations/agolo,"",1330
Microsoft Accelerator Seattle,clarify-inc,https://api.crunchbase.com/v3.1/organizations/clarify-inc,"",15954
Microsoft Accelerator Seattle,framed-data,https://api.crunchbase.com/v3.1/organizations/framed-data,"",21979
Microsoft Accelerator Seattle,plexuss-com,https://api.crunchbase.com/v3.1/organizations/plexuss-com,"",21547
Microsoft Accelerator Seattle,affinio,https://api.crunchbase.com/v3.1/organizations/affinio,"",8596
Microsoft Accelerator Seattle,percolata,https://api.crunchbase.com/v3.1/organizations/percolata,"",10960
Microsoft Accelerator Seattle,medwhat,https://api.crunchbase.com/v3.1/organizations/medwhat,"",23553
Microsoft Accelerator Seattle,definedcrowd,https://api.crunchbase.com/v3.1/organizations/definedcrowd,"",2632
Microsoft Accelerator Seattle,onebridge,https://api.crunchbase.com/v3.1/organizations/onebridge,"",152382
Microsoft Accelerator Seattle,simmachines,https://api.crunchbase.com/v3.1/organizations/simmachines,"",25814
Microsoft Accelerator Seattle,knomos-knowledge-management-inc,https://api.crunchbase.com/v3.1/organizations/knomos-knowledge-management-inc,"",54436
Microsoft Accelerator Seattle,beagle-inc,https://api.crunchbase.com/v3.1/organizations/beagle-inc,"",22995
Microsoft Accelerator Seattle,parknav,https://api.crunchbase.com/v3.1/organizations/parknav,"",90301
Microsoft Accelerator Seattle,lionheart-innovations,https://api.crunchbase.com/v3.1/organizations/lionheart-innovations,"",283202
Microsoft Accelerator Seattle,adhusky,https://api.crunchbase.com/v3.1/organizations/adhusky,"",82614
Microsoft Accelerator Seattle,geosafe,https://api.crunchbase.com/v3.1/organizations/geosafe,"",206932
Microsoft Accelerator Seattle,accelerated-pictures,https://api.crunchbase.com/v3.1/organizations/accelerated-pictures,"",358684
Microsoft Accelerator Seattle,rexter,https://api.crunchbase.com/v3.1/organizations/rexter,"",62273
Microsoft Accelerator Seattle,creativecloud,https://api.crunchbase.com/v3.1/organizations/creativecloud,"",42131
Microsoft Accelerator Seattle,cloudcoreo,https://api.crunchbase.com/v3.1/organizations/cloudcoreo,"",74744
Microsoft Accelerator Seattle,skip,https://api.crunchbase.com/v3.1/organizations/skip,"",85011
Microsoft Accelerator Seattle,clearcontract,https://api.crunchbase.com/v3.1/organizations/clearcontract,"",178222
Microsoft Accelerator Seattle,slope,https://api.crunchbase.com/v3.1/organizations/slope,"",20957
Microsoft Accelerator Seattle,rallyteam,https://api.crunchbase.com/v3.1/organizations/rallyteam,"",12837
Microsoft Accelerator Seattle,outleads,https://api.crunchbase.com/v3.1/organizations/outleads,"",78221
Microsoft Accelerator Seattle,playtabase,https://api.crunchbase.com/v3.1/organizations/playtabase,"",30980
Microsoft Accelerator Seattle,plum-3,https://api.crunchbase.com/v3.1/organizations/plum-3,"",23950
Microsoft Accelerator Seattle,novi-security-inc,https://api.crunchbase.com/v3.1/organizations/novi-security-inc,"",53144
Microsoft Accelerator Seattle,wallflower,https://api.crunchbase.com/v3.1/organizations/wallflower,"",52103
Microsoft Accelerator Seattle,neura-2,https://api.crunchbase.com/v3.1/organizations/neura-2,"",40753
Microsoft Accelerator Seattle,myheatworks,https://api.crunchbase.com/v3.1/organizations/myheatworks,"",17360
Microsoft Accelerator Seattle,chai-energy,https://api.crunchbase.com/v3.1/organizations/chai-energy,"",31364
Microsoft Accelerator Seattle,sentri,https://api.crunchbase.com/v3.1/organizations/sentri,"",37729
Microsoft Accelerator Seattle,scanalytics,https://api.crunchbase.com/v3.1/organizations/scanalytics,"",18119
Microsoft Accelerator Seattle,lexvisors,https://api.crunchbase.com/v3.1/organizations/lexvisors,"",315886
