Organization Name,Invested In,Api Url,Description,Rank
M12,flurosat,https://api.crunchbase.com/v3.1/organizations/flurosat,"",882
M12,pod-foods-co,https://api.crunchbase.com/v3.1/organizations/pod-foods-co,"",4634
M12,anyvision,https://api.crunchbase.com/v3.1/organizations/anyvision,"",15798
M12,rapidapi,https://api.crunchbase.com/v3.1/organizations/rapidapi,"",1419
M12,workspan,https://api.crunchbase.com/v3.1/organizations/workspan,"",3550
M12,unravel-data-systems,https://api.crunchbase.com/v3.1/organizations/unravel-data-systems,"",2357
M12,outreach,https://api.crunchbase.com/v3.1/organizations/outreach,"",425
M12,nautilus-labs-2,https://api.crunchbase.com/v3.1/organizations/nautilus-labs-2,"",5193
M12,onfido,https://api.crunchbase.com/v3.1/organizations/onfido,"",412
M12,aquasecurity,https://api.crunchbase.com/v3.1/organizations/aquasecurity,"",558
M12,workfit,https://api.crunchbase.com/v3.1/organizations/workfit,"",30476
M12,workboard,https://api.crunchbase.com/v3.1/organizations/workboard,"",3414
M12,mark-forged,https://api.crunchbase.com/v3.1/organizations/mark-forged,"",864
M12,skedulo,https://api.crunchbase.com/v3.1/organizations/skedulo,"",3670
M12,go1,https://api.crunchbase.com/v3.1/organizations/go1,"",4607
M12,contrast-security,https://api.crunchbase.com/v3.1/organizations/contrast-security,"",1099
M12,spycloud-inc,https://api.crunchbase.com/v3.1/organizations/spycloud-inc,"",5063
M12,nsknox,https://api.crunchbase.com/v3.1/organizations/nsknox,"",8134
M12,zipwhip,https://api.crunchbase.com/v3.1/organizations/zipwhip,"",2703
M12,innovaccer,https://api.crunchbase.com/v3.1/organizations/innovaccer,"",569
M12,bakkt,https://api.crunchbase.com/v3.1/organizations/bakkt,"",560
M12,mental-canvas,https://api.crunchbase.com/v3.1/organizations/mental-canvas,"",23390
M12,acerta,https://api.crunchbase.com/v3.1/organizations/acerta,"",10628
M12,rapidsos,https://api.crunchbase.com/v3.1/organizations/rapidsos,"",1570
M12,syntiant,https://api.crunchbase.com/v3.1/organizations/syntiant,"",38899
M12,incorta,https://api.crunchbase.com/v3.1/organizations/incorta,"",2498
M12,white-source,https://api.crunchbase.com/v3.1/organizations/white-source,"",1217
