Organization Name,Invested In,Api Url,Description,Rank
Moderne Ventures,easyknock,https://api.crunchbase.com/v3.1/organizations/easyknock,"",2620
Moderne Ventures,super-a0d5,https://api.crunchbase.com/v3.1/organizations/super-a0d5,"",4730
Moderne Ventures,streetwire,https://api.crunchbase.com/v3.1/organizations/streetwire,"",122071
Moderne Ventures,bytegain-inc,https://api.crunchbase.com/v3.1/organizations/bytegain-inc,"",20718
Moderne Ventures,porch,https://api.crunchbase.com/v3.1/organizations/porch,"",344
Moderne Ventures,snappt,https://api.crunchbase.com/v3.1/organizations/snappt,"",149718
Moderne Ventures,sagegreenlife,https://api.crunchbase.com/v3.1/organizations/sagegreenlife,"",160298
Moderne Ventures,eusoh,https://api.crunchbase.com/v3.1/organizations/eusoh,"",18339
Moderne Ventures,payfully,https://api.crunchbase.com/v3.1/organizations/payfully,"",18571
Moderne Ventures,dwelo,https://api.crunchbase.com/v3.1/organizations/dwelo,"",8440
Moderne Ventures,icon3d,https://api.crunchbase.com/v3.1/organizations/icon3d,"",13400
Moderne Ventures,sisu-9f34,https://api.crunchbase.com/v3.1/organizations/sisu-9f34,"",105960
Moderne Ventures,havenly,https://api.crunchbase.com/v3.1/organizations/havenly,"",2964
Moderne Ventures,geocv,https://api.crunchbase.com/v3.1/organizations/geocv,"",14882
Moderne Ventures,shyftmoving,https://api.crunchbase.com/v3.1/organizations/shyftmoving,"",10008
Moderne Ventures,alfred,https://api.crunchbase.com/v3.1/organizations/alfred,"",231
Moderne Ventures,nova-credit,https://api.crunchbase.com/v3.1/organizations/nova-credit,"",28625
Moderne Ventures,leaselock,https://api.crunchbase.com/v3.1/organizations/leaselock,"",5742
Moderne Ventures,agentology,https://api.crunchbase.com/v3.1/organizations/agentology,"",41028
Moderne Ventures,homesnap,https://api.crunchbase.com/v3.1/organizations/homesnap,"",34532
Moderne Ventures,envoy-there,https://api.crunchbase.com/v3.1/organizations/envoy-there,"",16407
Moderne Ventures,track-3,https://api.crunchbase.com/v3.1/organizations/track-3,"",31931
Moderne Ventures,transit-screen,https://api.crunchbase.com/v3.1/organizations/transit-screen,"",8967
Moderne Ventures,auctio,https://api.crunchbase.com/v3.1/organizations/auctio,"",43710
Moderne Ventures,bodega-ai,https://api.crunchbase.com/v3.1/organizations/bodega-ai,"",7477
Moderne Ventures,covered-2,https://api.crunchbase.com/v3.1/organizations/covered-2,"",23992
Moderne Ventures,orro,https://api.crunchbase.com/v3.1/organizations/orro,"",74312
Moderne Ventures,taskeasy,https://api.crunchbase.com/v3.1/organizations/taskeasy,"",7819
Moderne Ventures,homebot,https://api.crunchbase.com/v3.1/organizations/homebot,"",9057
Moderne Ventures,cubicasa-oy,https://api.crunchbase.com/v3.1/organizations/cubicasa-oy,"",113906
Moderne Ventures,baroo,https://api.crunchbase.com/v3.1/organizations/baroo,"",35625
Moderne Ventures,hellotech,https://api.crunchbase.com/v3.1/organizations/hellotech,"",3942
Moderne Ventures,preclose,https://api.crunchbase.com/v3.1/organizations/preclose,"",124165
Moderne Ventures,new-story-charity,https://api.crunchbase.com/v3.1/organizations/new-story-charity,"",35343
Moderne Ventures,hippo-insurance,https://api.crunchbase.com/v3.1/organizations/hippo-insurance,"",2505
Moderne Ventures,zaarly,https://api.crunchbase.com/v3.1/organizations/zaarly,"",8456
Moderne Ventures,arcbazar-com,https://api.crunchbase.com/v3.1/organizations/arcbazar-com,"",32319
Moderne Ventures,contactually,https://api.crunchbase.com/v3.1/organizations/contactually,"",5931
Moderne Ventures,fieldlens,https://api.crunchbase.com/v3.1/organizations/fieldlens,"",10549
Moderne Ventures,everlance,https://api.crunchbase.com/v3.1/organizations/everlance,"",75879
Moderne Ventures,bettermortgage,https://api.crunchbase.com/v3.1/organizations/bettermortgage,"",519
Moderne Ventures,bento,https://api.crunchbase.com/v3.1/organizations/bento,"",3158
Moderne Ventures,urbanbound,https://api.crunchbase.com/v3.1/organizations/urbanbound,"",12555
Moderne Ventures,purchasing-platform,https://api.crunchbase.com/v3.1/organizations/purchasing-platform,"",31705
Moderne Ventures,growth-geeks,https://api.crunchbase.com/v3.1/organizations/growth-geeks,"",44903
Moderne Ventures,imagesurge,https://api.crunchbase.com/v3.1/organizations/imagesurge,"",173906
Moderne Ventures,tendril,https://api.crunchbase.com/v3.1/organizations/tendril,"",1088
Moderne Ventures,abode,https://api.crunchbase.com/v3.1/organizations/abode,"",5850
