Organization Name,Invested In,Api Url,Description,Rank
Moonshots Capital,planetiq,https://api.crunchbase.com/v3.1/organizations/planetiq,"",5144
Moonshots Capital,backtracks,https://api.crunchbase.com/v3.1/organizations/backtracks,"",10079
Moonshots Capital,gometa,https://api.crunchbase.com/v3.1/organizations/gometa,"",9145
Moonshots Capital,catalog,https://api.crunchbase.com/v3.1/organizations/catalog,"",15587
Moonshots Capital,popily,https://api.crunchbase.com/v3.1/organizations/popily,"",657
Moonshots Capital,pray,https://api.crunchbase.com/v3.1/organizations/pray,"",38356
Moonshots Capital,fair,https://api.crunchbase.com/v3.1/organizations/fair,"",721
Moonshots Capital,compl-ai,https://api.crunchbase.com/v3.1/organizations/compl-ai,"",19415
Moonshots Capital,threatcare,https://api.crunchbase.com/v3.1/organizations/threatcare,"",20642
Moonshots Capital,wonder-4,https://api.crunchbase.com/v3.1/organizations/wonder-4,"",8743
Moonshots Capital,produce-pay,https://api.crunchbase.com/v3.1/organizations/produce-pay,"",29936
Moonshots Capital,id-me,https://api.crunchbase.com/v3.1/organizations/id-me,"",6024
Moonshots Capital,fandealio,https://api.crunchbase.com/v3.1/organizations/fandealio,"",25666
Moonshots Capital,prefix,https://api.crunchbase.com/v3.1/organizations/prefix,"",31439
Moonshots Capital,art-craft-entertainment,https://api.crunchbase.com/v3.1/organizations/art-craft-entertainment,"",18699
Moonshots Capital,plushcare,https://api.crunchbase.com/v3.1/organizations/plushcare,"",6887
Moonshots Capital,yoi,https://api.crunchbase.com/v3.1/organizations/yoi,"",36355
Moonshots Capital,bitium,https://api.crunchbase.com/v3.1/organizations/bitium,"",13006
Moonshots Capital,hiq-labs,https://api.crunchbase.com/v3.1/organizations/hiq-labs,"",14690
Moonshots Capital,crosschx,https://api.crunchbase.com/v3.1/organizations/crosschx,"",2982
Moonshots Capital,synergy-fuels,https://api.crunchbase.com/v3.1/organizations/synergy-fuels,"",61179
Moonshots Capital,unoceros,https://api.crunchbase.com/v3.1/organizations/unoceros,"",56172
Moonshots Capital,domuso-inc,https://api.crunchbase.com/v3.1/organizations/domuso-inc,"",11562
Moonshots Capital,arx-pax,https://api.crunchbase.com/v3.1/organizations/arx-pax,"",33876
Moonshots Capital,roost-6,https://api.crunchbase.com/v3.1/organizations/roost-6,"",36478
Moonshots Capital,local-store-identity,https://api.crunchbase.com/v3.1/organizations/local-store-identity,"",40838
Moonshots Capital,cobrain,https://api.crunchbase.com/v3.1/organizations/cobrain,"",12149
Moonshots Capital,moblabs,https://api.crunchbase.com/v3.1/organizations/moblabs,"",32559
Moonshots Capital,reachify,https://api.crunchbase.com/v3.1/organizations/reachify,"",31909
Moonshots Capital,harvest-ai,https://api.crunchbase.com/v3.1/organizations/harvest-ai,"",26548
Moonshots Capital,edbacker,https://api.crunchbase.com/v3.1/organizations/edbacker,"",66904
