Organization Name,Invested In,Api Url,Description,Rank
Morgan Stanley Expansion Capital,ecointense,https://api.crunchbase.com/v3.1/organizations/ecointense,"",7775
Morgan Stanley Expansion Capital,medsphere-systems,https://api.crunchbase.com/v3.1/organizations/medsphere-systems,"",8415
Morgan Stanley Expansion Capital,kogta-financial-india-limited,https://api.crunchbase.com/v3.1/organizations/kogta-financial-india-limited,"",21419
Morgan Stanley Expansion Capital,integral-development-corp,https://api.crunchbase.com/v3.1/organizations/integral-development-corp,"",12740
Morgan Stanley Expansion Capital,samanage,https://api.crunchbase.com/v3.1/organizations/samanage,"",5380
Morgan Stanley Expansion Capital,neo-technology,https://api.crunchbase.com/v3.1/organizations/neo-technology,"",1553
Morgan Stanley Expansion Capital,ez-texting,https://api.crunchbase.com/v3.1/organizations/ez-texting,"",6118
Morgan Stanley Expansion Capital,vbrick-systems,https://api.crunchbase.com/v3.1/organizations/vbrick-systems,"",9575
Morgan Stanley Expansion Capital,cohesity,https://api.crunchbase.com/v3.1/organizations/cohesity,"",214
Morgan Stanley Expansion Capital,elevate-services-inc,https://api.crunchbase.com/v3.1/organizations/elevate-services-inc,"",4022
Morgan Stanley Expansion Capital,vizexplorer-3,https://api.crunchbase.com/v3.1/organizations/vizexplorer-3,"",100220
Morgan Stanley Expansion Capital,instapage-com,https://api.crunchbase.com/v3.1/organizations/instapage-com,"",3840
Morgan Stanley Expansion Capital,clinipace-worldwide,https://api.crunchbase.com/v3.1/organizations/clinipace-worldwide,"",9173
Morgan Stanley Expansion Capital,tiffs-treats-holdings,https://api.crunchbase.com/v3.1/organizations/tiffs-treats-holdings,"",13131
Morgan Stanley Expansion Capital,voices,https://api.crunchbase.com/v3.1/organizations/voices,"",11768
Morgan Stanley Expansion Capital,highq,https://api.crunchbase.com/v3.1/organizations/highq,"",517
Morgan Stanley Expansion Capital,gumgum,https://api.crunchbase.com/v3.1/organizations/gumgum,"",15450
Morgan Stanley Expansion Capital,motionpoint,https://api.crunchbase.com/v3.1/organizations/motionpoint,"",16852
Morgan Stanley Expansion Capital,nutanix,https://api.crunchbase.com/v3.1/organizations/nutanix,"",255
Morgan Stanley Expansion Capital,nanostring-technologies,https://api.crunchbase.com/v3.1/organizations/nanostring-technologies,"",8731
Morgan Stanley Expansion Capital,docuware,https://api.crunchbase.com/v3.1/organizations/docuware,"",56963
Morgan Stanley Expansion Capital,socialware,https://api.crunchbase.com/v3.1/organizations/socialware,"",25262
Morgan Stanley Expansion Capital,hyperformix,https://api.crunchbase.com/v3.1/organizations/hyperformix,"",154528
Morgan Stanley Expansion Capital,courion-corporation,https://api.crunchbase.com/v3.1/organizations/courion-corporation,"",23175
Morgan Stanley Expansion Capital,irise,https://api.crunchbase.com/v3.1/organizations/irise,"",107389
Morgan Stanley Expansion Capital,discoverx,https://api.crunchbase.com/v3.1/organizations/discoverx,"",30495
Morgan Stanley Expansion Capital,ekos-corporation,https://api.crunchbase.com/v3.1/organizations/ekos-corporation,"",120863
Morgan Stanley Expansion Capital,visiprise,https://api.crunchbase.com/v3.1/organizations/visiprise,"",124153
Morgan Stanley Expansion Capital,arcadian-management-services,https://api.crunchbase.com/v3.1/organizations/arcadian-management-services,"",505957
Morgan Stanley Expansion Capital,endius,https://api.crunchbase.com/v3.1/organizations/endius,"",181747
Morgan Stanley Expansion Capital,yantra-2,https://api.crunchbase.com/v3.1/organizations/yantra-2,"",208226
Morgan Stanley Expansion Capital,avamar-technologies,https://api.crunchbase.com/v3.1/organizations/avamar-technologies,"",296956
Morgan Stanley Expansion Capital,suros-surgical-systems,https://api.crunchbase.com/v3.1/organizations/suros-surgical-systems,"",218710
Morgan Stanley Expansion Capital,counterpane-internet-security-inc-a-division-of-british-telecom-bt-global-services,https://api.crunchbase.com/v3.1/organizations/counterpane-internet-security-inc-a-division-of-british-telecom-bt-global-services,"",139164
Morgan Stanley Expansion Capital,constant-contact,https://api.crunchbase.com/v3.1/organizations/constant-contact,"",5074
Morgan Stanley Expansion Capital,r2-technology,https://api.crunchbase.com/v3.1/organizations/r2-technology,"",125029
Morgan Stanley Expansion Capital,nitromed,https://api.crunchbase.com/v3.1/organizations/nitromed,"",218617
Morgan Stanley Expansion Capital,thrupoint,https://api.crunchbase.com/v3.1/organizations/thrupoint,"",67533
Morgan Stanley Expansion Capital,cardiac-pathways-corp,https://api.crunchbase.com/v3.1/organizations/cardiac-pathways-corp,"",348699
Morgan Stanley Expansion Capital,control-delivery-systems,https://api.crunchbase.com/v3.1/organizations/control-delivery-systems,"",392280
Morgan Stanley Expansion Capital,sendmail,https://api.crunchbase.com/v3.1/organizations/sendmail,"",72009
Morgan Stanley Expansion Capital,peoplefirst-com,https://api.crunchbase.com/v3.1/organizations/peoplefirst-com,"",220387
Morgan Stanley Expansion Capital,comergent-technologies,https://api.crunchbase.com/v3.1/organizations/comergent-technologies,"",154617
Morgan Stanley Expansion Capital,benefitmall,https://api.crunchbase.com/v3.1/organizations/benefitmall,"",69777
Morgan Stanley Expansion Capital,cross-country-staffing,https://api.crunchbase.com/v3.1/organizations/cross-country-staffing,"",328292
Morgan Stanley Expansion Capital,freightquote,https://api.crunchbase.com/v3.1/organizations/freightquote,"",106505
Morgan Stanley Expansion Capital,medsite,https://api.crunchbase.com/v3.1/organizations/medsite,"",130879
Morgan Stanley Expansion Capital,xsinc,https://api.crunchbase.com/v3.1/organizations/xsinc,"",184315
Morgan Stanley Expansion Capital,commtech,https://api.crunchbase.com/v3.1/organizations/commtech,"",600273
