Organization Name,Invested In,Api Url,Description,Rank
New York Venture Partners,peel-away-labs,https://api.crunchbase.com/v3.1/organizations/peel-away-labs,"",45584
New York Venture Partners,journey-meditation,https://api.crunchbase.com/v3.1/organizations/journey-meditation,"",3924
New York Venture Partners,uizard-technologies,https://api.crunchbase.com/v3.1/organizations/uizard-technologies,"",15753
New York Venture Partners,salido,https://api.crunchbase.com/v3.1/organizations/salido,"",6697
New York Venture Partners,barking-labs,https://api.crunchbase.com/v3.1/organizations/barking-labs,"",6355
New York Venture Partners,dopaminelabs,https://api.crunchbase.com/v3.1/organizations/dopaminelabs,"",15757
New York Venture Partners,visual-vocal,https://api.crunchbase.com/v3.1/organizations/visual-vocal,"",22655
New York Venture Partners,vinepair,https://api.crunchbase.com/v3.1/organizations/vinepair,"",26064
New York Venture Partners,laugh-radio,https://api.crunchbase.com/v3.1/organizations/laugh-radio,"",18128
New York Venture Partners,strongdm,https://api.crunchbase.com/v3.1/organizations/strongdm,"",12439
New York Venture Partners,gameco-llc,https://api.crunchbase.com/v3.1/organizations/gameco-llc,"",12729
New York Venture Partners,futurestay,https://api.crunchbase.com/v3.1/organizations/futurestay,"",19173
New York Venture Partners,imagineair,https://api.crunchbase.com/v3.1/organizations/imagineair,"",190505
New York Venture Partners,purewow,https://api.crunchbase.com/v3.1/organizations/purewow,"",17700
New York Venture Partners,nmrkt,https://api.crunchbase.com/v3.1/organizations/nmrkt,"",59055
New York Venture Partners,hetexted,https://api.crunchbase.com/v3.1/organizations/hetexted,"",72134
New York Venture Partners,authorea,https://api.crunchbase.com/v3.1/organizations/authorea,"",26401
New York Venture Partners,furious-corp,https://api.crunchbase.com/v3.1/organizations/furious-corp,"",36414
New York Venture Partners,collectively-3,https://api.crunchbase.com/v3.1/organizations/collectively-3,"",236164
New York Venture Partners,alltherooms,https://api.crunchbase.com/v3.1/organizations/alltherooms,"",20018
New York Venture Partners,beauty-booked,https://api.crunchbase.com/v3.1/organizations/beauty-booked,"",37546
New York Venture Partners,bandwagon,https://api.crunchbase.com/v3.1/organizations/bandwagon,"",36928
New York Venture Partners,gotenna,https://api.crunchbase.com/v3.1/organizations/gotenna,"",719
New York Venture Partners,canvs-co,https://api.crunchbase.com/v3.1/organizations/canvs-co,"",74322
New York Venture Partners,suredone,https://api.crunchbase.com/v3.1/organizations/suredone,"",21066
New York Venture Partners,1000museums-com,https://api.crunchbase.com/v3.1/organizations/1000museums-com,"",39314
New York Venture Partners,tommy-john,https://api.crunchbase.com/v3.1/organizations/tommy-john,"",56066
New York Venture Partners,coursehorse,https://api.crunchbase.com/v3.1/organizations/coursehorse,"",12967
New York Venture Partners,tripshare,https://api.crunchbase.com/v3.1/organizations/tripshare,"",169056
New York Venture Partners,publicstuff,https://api.crunchbase.com/v3.1/organizations/publicstuff,"",29834
New York Venture Partners,social-genius,https://api.crunchbase.com/v3.1/organizations/social-genius,"",65465
New York Venture Partners,media-armor,https://api.crunchbase.com/v3.1/organizations/media-armor,"",64343
New York Venture Partners,comixology,https://api.crunchbase.com/v3.1/organizations/comixology,"",14075
New York Venture Partners,setjam,https://api.crunchbase.com/v3.1/organizations/setjam,"",79573
New York Venture Partners,pinterest,https://api.crunchbase.com/v3.1/organizations/pinterest,"",1160
New York Venture Partners,brandyourself,https://api.crunchbase.com/v3.1/organizations/brandyourself,"",12378
New York Venture Partners,school-loop,https://api.crunchbase.com/v3.1/organizations/school-loop,"",120967
New York Venture Partners,magnify,https://api.crunchbase.com/v3.1/organizations/magnify,"",70609
New York Venture Partners,ambient-devices,https://api.crunchbase.com/v3.1/organizations/ambient-devices,"",154445
