Organization Name,Invested In,Api Url,Description,Rank
Newark Venture Partners,vectorly,https://api.crunchbase.com/v3.1/organizations/vectorly,"",9410
Newark Venture Partners,team-mobot,https://api.crunchbase.com/v3.1/organizations/team-mobot,"",12900
Newark Venture Partners,sirl,https://api.crunchbase.com/v3.1/organizations/sirl,"",102397
Newark Venture Partners,big-cloud-analytics,https://api.crunchbase.com/v3.1/organizations/big-cloud-analytics,"",10127
Newark Venture Partners,time-study,https://api.crunchbase.com/v3.1/organizations/time-study,"",33699
Newark Venture Partners,sensortransport,https://api.crunchbase.com/v3.1/organizations/sensortransport,"",99000
Newark Venture Partners,riskcast-solutions,https://api.crunchbase.com/v3.1/organizations/riskcast-solutions,"",130013
Newark Venture Partners,pedul,https://api.crunchbase.com/v3.1/organizations/pedul,"",123383
Newark Venture Partners,talentwall,https://api.crunchbase.com/v3.1/organizations/talentwall,"",120457
Newark Venture Partners,augmented-review,https://api.crunchbase.com/v3.1/organizations/augmented-review,"",129928
Newark Venture Partners,orai,https://api.crunchbase.com/v3.1/organizations/orai,"",8902
Newark Venture Partners,classtag,https://api.crunchbase.com/v3.1/organizations/classtag,"",7600
Newark Venture Partners,lendingfront,https://api.crunchbase.com/v3.1/organizations/lendingfront,"",8243
Newark Venture Partners,pandium,https://api.crunchbase.com/v3.1/organizations/pandium,"",92032
Newark Venture Partners,talentegy,https://api.crunchbase.com/v3.1/organizations/talentegy,"",143529
Newark Venture Partners,stacksource,https://api.crunchbase.com/v3.1/organizations/stacksource,"",22772
Newark Venture Partners,upsider,https://api.crunchbase.com/v3.1/organizations/upsider,"",86435
Newark Venture Partners,ejenta,https://api.crunchbase.com/v3.1/organizations/ejenta,"",110490
Newark Venture Partners,envested,https://api.crunchbase.com/v3.1/organizations/envested,"",9594
Newark Venture Partners,floss-bar,https://api.crunchbase.com/v3.1/organizations/floss-bar,"",7006
Newark Venture Partners,exemptmenow,https://api.crunchbase.com/v3.1/organizations/exemptmenow,"",22705
Newark Venture Partners,veritonic-inc,https://api.crunchbase.com/v3.1/organizations/veritonic-inc,"",22211
Newark Venture Partners,orbita,https://api.crunchbase.com/v3.1/organizations/orbita,"",8543
Newark Venture Partners,sales-huddle-group,https://api.crunchbase.com/v3.1/organizations/sales-huddle-group,"",13906
Newark Venture Partners,mobility-capital-finance,https://api.crunchbase.com/v3.1/organizations/mobility-capital-finance,"",29710
Newark Venture Partners,peoplejoy,https://api.crunchbase.com/v3.1/organizations/peoplejoy,"",119742
