Organization Name,Invested In,Api Url,Description,Rank
Next47,sennder,https://api.crunchbase.com/v3.1/organizations/sennder,"",200
Next47,15five,https://api.crunchbase.com/v3.1/organizations/15five,"",334
Next47,yellowbrick-data,https://api.crunchbase.com/v3.1/organizations/yellowbrick-data,"",1556
Next47,logz-io,https://api.crunchbase.com/v3.1/organizations/logz-io,"",1914
Next47,verkada,https://api.crunchbase.com/v3.1/organizations/verkada,"",14133
Next47,softwaredotcom,https://api.crunchbase.com/v3.1/organizations/softwaredotcom,"",16194
Next47,bizzabo,https://api.crunchbase.com/v3.1/organizations/bizzabo,"",1692
Next47,sila-nanotechnologies,https://api.crunchbase.com/v3.1/organizations/sila-nanotechnologies,"",998
Next47,avidbots,https://api.crunchbase.com/v3.1/organizations/avidbots,"",5404
Next47,mark-forged,https://api.crunchbase.com/v3.1/organizations/mark-forged,"",864
Next47,ubitricity,https://api.crunchbase.com/v3.1/organizations/ubitricity,"",8467
Next47,bringg,https://api.crunchbase.com/v3.1/organizations/bringg,"",1363
Next47,turvo,https://api.crunchbase.com/v3.1/organizations/turvo,"",363
Next47,albert-health,https://api.crunchbase.com/v3.1/organizations/albert-health,"",123172
Next47,braincube-7f2a,https://api.crunchbase.com/v3.1/organizations/braincube-7f2a,"",17472
Next47,varjo,https://api.crunchbase.com/v3.1/organizations/varjo,"",3440
Next47,rideos,https://api.crunchbase.com/v3.1/organizations/rideos,"",4130
Next47,seeq,https://api.crunchbase.com/v3.1/organizations/seeq,"",6555
Next47,falkonry,https://api.crunchbase.com/v3.1/organizations/falkonry,"",3115
Next47,deepscale,https://api.crunchbase.com/v3.1/organizations/deepscale,"",34528
Next47,fair,https://api.crunchbase.com/v3.1/organizations/fair,"",721
Next47,faircom,https://api.crunchbase.com/v3.1/organizations/faircom,"",101144
Next47,atom-power-inc,https://api.crunchbase.com/v3.1/organizations/atom-power-inc,"",17228
Next47,veo-robotics,https://api.crunchbase.com/v3.1/organizations/veo-robotics,"",5092
Next47,riffyn,https://api.crunchbase.com/v3.1/organizations/riffyn,"",4424
Next47,vigilent,https://api.crunchbase.com/v3.1/organizations/vigilent,"",13968
Next47,ecog,https://api.crunchbase.com/v3.1/organizations/ecog,"",38350
Next47,identify3d,https://api.crunchbase.com/v3.1/organizations/identify3d,"",18599
Next47,seurat,https://api.crunchbase.com/v3.1/organizations/seurat,"",23786
