Organization Name,Invested In,Api Url,Description,Rank
NextGen Venture Partners,syncari,https://api.crunchbase.com/v3.1/organizations/syncari,"",30010
NextGen Venture Partners,everlywell,https://api.crunchbase.com/v3.1/organizations/everlywell,"",2277
NextGen Venture Partners,ns8-inc,https://api.crunchbase.com/v3.1/organizations/ns8-inc,"",4504
NextGen Venture Partners,bungee,https://api.crunchbase.com/v3.1/organizations/bungee,"",12125
NextGen Venture Partners,neighborhood-goods,https://api.crunchbase.com/v3.1/organizations/neighborhood-goods,"",24110
NextGen Venture Partners,sea-machines-robotics,https://api.crunchbase.com/v3.1/organizations/sea-machines-robotics,"",9204
NextGen Venture Partners,stoplight,https://api.crunchbase.com/v3.1/organizations/stoplight,"",12219
NextGen Venture Partners,kaskada,https://api.crunchbase.com/v3.1/organizations/kaskada,"",49966
NextGen Venture Partners,visor-by-mayhem-interactive,https://api.crunchbase.com/v3.1/organizations/visor-by-mayhem-interactive,"",11594
NextGen Venture Partners,smithrx,https://api.crunchbase.com/v3.1/organizations/smithrx,"",8677
NextGen Venture Partners,optii-solution,https://api.crunchbase.com/v3.1/organizations/optii-solution,"",17245
NextGen Venture Partners,convey,https://api.crunchbase.com/v3.1/organizations/convey,"",4968
NextGen Venture Partners,qwil,https://api.crunchbase.com/v3.1/organizations/qwil,"",3194
NextGen Venture Partners,limbix,https://api.crunchbase.com/v3.1/organizations/limbix,"",8332
NextGen Venture Partners,outboundworks,https://api.crunchbase.com/v3.1/organizations/outboundworks,"",15419
NextGen Venture Partners,vemo-education,https://api.crunchbase.com/v3.1/organizations/vemo-education,"",5800
NextGen Venture Partners,cardash,https://api.crunchbase.com/v3.1/organizations/cardash,"",10639
NextGen Venture Partners,circulation,https://api.crunchbase.com/v3.1/organizations/circulation,"",12169
NextGen Venture Partners,urbanstems,https://api.crunchbase.com/v3.1/organizations/urbanstems,"",6626
NextGen Venture Partners,apx-labs,https://api.crunchbase.com/v3.1/organizations/apx-labs,"",4091
NextGen Venture Partners,virgil-security,https://api.crunchbase.com/v3.1/organizations/virgil-security,"",17012
NextGen Venture Partners,aceable,https://api.crunchbase.com/v3.1/organizations/aceable,"",4865
NextGen Venture Partners,renoviso,https://api.crunchbase.com/v3.1/organizations/renoviso,"",11535
NextGen Venture Partners,avizia,https://api.crunchbase.com/v3.1/organizations/avizia,"",6461
NextGen Venture Partners,opternative,https://api.crunchbase.com/v3.1/organizations/opternative,"",6748
NextGen Venture Partners,hyperloop-technolgies,https://api.crunchbase.com/v3.1/organizations/hyperloop-technolgies,"",2527
