Organization Name,Invested In,Api Url,Description,Rank
NFX,zubale,https://api.crunchbase.com/v3.1/organizations/zubale,"",4621
NFX,stride-travel,https://api.crunchbase.com/v3.1/organizations/stride-travel,"",7120
NFX,orcas-solutions,https://api.crunchbase.com/v3.1/organizations/orcas-solutions,"",25937
NFX,firefly-3919,https://api.crunchbase.com/v3.1/organizations/firefly-3919,"",639
NFX,tracktopia,https://api.crunchbase.com/v3.1/organizations/tracktopia,"",5642
NFX,hometalk,https://api.crunchbase.com/v3.1/organizations/hometalk,"",2418
NFX,hop-2,https://api.crunchbase.com/v3.1/organizations/hop-2,"",7716
NFX,zebranow,https://api.crunchbase.com/v3.1/organizations/zebranow,"",60219
NFX,la-haus,https://api.crunchbase.com/v3.1/organizations/la-haus,"",7109
NFX,setter,https://api.crunchbase.com/v3.1/organizations/setter,"",3890
NFX,ribbon-f326,https://api.crunchbase.com/v3.1/organizations/ribbon-f326,"",2144
NFX,medinas,https://api.crunchbase.com/v3.1/organizations/medinas,"",8170
NFX,court-buddy,https://api.crunchbase.com/v3.1/organizations/court-buddy,"",3793
NFX,ground-drone-ltd,https://api.crunchbase.com/v3.1/organizations/ground-drone-ltd,"",19013
NFX,mammoth-biosciences,https://api.crunchbase.com/v3.1/organizations/mammoth-biosciences,"",43988
NFX,dx-exchange,https://api.crunchbase.com/v3.1/organizations/dx-exchange,"",113037
NFX,livemed,https://api.crunchbase.com/v3.1/organizations/livemed,"",58141
NFX,basecoin,https://api.crunchbase.com/v3.1/organizations/basecoin,"",44118
NFX,the-hotels-network,https://api.crunchbase.com/v3.1/organizations/the-hotels-network,"",59172
NFX,candex-technologies,https://api.crunchbase.com/v3.1/organizations/candex-technologies,"",11646
NFX,edgybees,https://api.crunchbase.com/v3.1/organizations/edgybees,"",40860
NFX,lyric,https://api.crunchbase.com/v3.1/organizations/lyric,"",14322
NFX,grabr,https://api.crunchbase.com/v3.1/organizations/grabr,"",36662
NFX,incredible-health,https://api.crunchbase.com/v3.1/organizations/incredible-health,"",68534
NFX,tigerex-smart-etfs-for-cryptocurrencies,https://api.crunchbase.com/v3.1/organizations/tigerex-smart-etfs-for-cryptocurrencies,"",56258
NFX,duco-experts,https://api.crunchbase.com/v3.1/organizations/duco-experts,"",18633
NFX,filmhub,https://api.crunchbase.com/v3.1/organizations/filmhub,"",34162
NFX,matrixds,https://api.crunchbase.com/v3.1/organizations/matrixds,"",27728
NFX,wemark-digital,https://api.crunchbase.com/v3.1/organizations/wemark-digital,"",29074
NFX,finvoice,https://api.crunchbase.com/v3.1/organizations/finvoice,"",109698
NFX,headnote,https://api.crunchbase.com/v3.1/organizations/headnote,"",81050
NFX,storyhunter,https://api.crunchbase.com/v3.1/organizations/storyhunter,"",15083
NFX,lynks,https://api.crunchbase.com/v3.1/organizations/lynks,"",42914
NFX,rideon,https://api.crunchbase.com/v3.1/organizations/rideon,"",34200
NFX,parting,https://api.crunchbase.com/v3.1/organizations/parting,"",45516
