Organization Name,Invested In,Api Url,Description,Rank
Norwest Mezzanine Partners,bettera-brands,https://api.crunchbase.com/v3.1/organizations/bettera-brands,"",240754
Norwest Mezzanine Partners,cabi-holdings,https://api.crunchbase.com/v3.1/organizations/cabi-holdings,"",135814
Norwest Mezzanine Partners,hi-rel-group,https://api.crunchbase.com/v3.1/organizations/hi-rel-group,"",424853
Norwest Mezzanine Partners,dbi-services,https://api.crunchbase.com/v3.1/organizations/dbi-services,"",17961
Norwest Mezzanine Partners,encore-rehabilitation,https://api.crunchbase.com/v3.1/organizations/encore-rehabilitation,"",158073
Norwest Mezzanine Partners,monroe-truck-equipment,https://api.crunchbase.com/v3.1/organizations/monroe-truck-equipment,"",178083
Norwest Mezzanine Partners,career-step,https://api.crunchbase.com/v3.1/organizations/career-step,"",90651
Norwest Mezzanine Partners,mori-lee,https://api.crunchbase.com/v3.1/organizations/mori-lee,"",181015
Norwest Mezzanine Partners,power-products-llc,https://api.crunchbase.com/v3.1/organizations/power-products-llc,"",120620
Norwest Mezzanine Partners,ohio-transmission,https://api.crunchbase.com/v3.1/organizations/ohio-transmission,"",103198
Norwest Mezzanine Partners,hospice-advantage,https://api.crunchbase.com/v3.1/organizations/hospice-advantage,"",279252
Norwest Mezzanine Partners,kuss-filtration,https://api.crunchbase.com/v3.1/organizations/kuss-filtration,"",63138
Norwest Mezzanine Partners,plz-aerospace,https://api.crunchbase.com/v3.1/organizations/plz-aerospace,"",34994
Norwest Mezzanine Partners,woodcraft-industries,https://api.crunchbase.com/v3.1/organizations/woodcraft-industries,"",69353
Norwest Mezzanine Partners,liberty-dialysis,https://api.crunchbase.com/v3.1/organizations/liberty-dialysis,"",29526
Norwest Mezzanine Partners,one-call-care-management,https://api.crunchbase.com/v3.1/organizations/one-call-care-management,"",24923
Norwest Mezzanine Partners,diversified-maintenance,https://api.crunchbase.com/v3.1/organizations/diversified-maintenance,"",50094
Norwest Mezzanine Partners,sws-environmental-services,https://api.crunchbase.com/v3.1/organizations/sws-environmental-services,"",240891
Norwest Mezzanine Partners,norwesco,https://api.crunchbase.com/v3.1/organizations/norwesco,"",352404
Norwest Mezzanine Partners,ryt-way-industries,https://api.crunchbase.com/v3.1/organizations/ryt-way-industries,"",217964
Norwest Mezzanine Partners,uma-enterprises,https://api.crunchbase.com/v3.1/organizations/uma-enterprises,"",165534
Norwest Mezzanine Partners,spinrite,https://api.crunchbase.com/v3.1/organizations/spinrite,"",153056
Norwest Mezzanine Partners,avtron-aerospace,https://api.crunchbase.com/v3.1/organizations/avtron-aerospace,"",197740
Norwest Mezzanine Partners,international-imaging-materials-iimak,https://api.crunchbase.com/v3.1/organizations/international-imaging-materials-iimak,"",178726
Norwest Mezzanine Partners,taco-bell,https://api.crunchbase.com/v3.1/organizations/taco-bell,"",26719
Norwest Mezzanine Partners,ati-physical-therapy,https://api.crunchbase.com/v3.1/organizations/ati-physical-therapy,"",10949
Norwest Mezzanine Partners,general-products-corporation,https://api.crunchbase.com/v3.1/organizations/general-products-corporation,"",200688
Norwest Mezzanine Partners,continental-structural-plastics,https://api.crunchbase.com/v3.1/organizations/continental-structural-plastics,"",86371
Norwest Mezzanine Partners,teraco,https://api.crunchbase.com/v3.1/organizations/teraco,"",206862
Norwest Mezzanine Partners,square-two-financial,https://api.crunchbase.com/v3.1/organizations/square-two-financial,"",225728
Norwest Mezzanine Partners,quickie-manufacturing-corporation,https://api.crunchbase.com/v3.1/organizations/quickie-manufacturing-corporation,"",135611
Norwest Mezzanine Partners,spyder-active-sports,https://api.crunchbase.com/v3.1/organizations/spyder-active-sports,"",141582
Norwest Mezzanine Partners,jacobson-companies,https://api.crunchbase.com/v3.1/organizations/jacobson-companies,"",370698
Norwest Mezzanine Partners,crosman-corporation,https://api.crunchbase.com/v3.1/organizations/crosman-corporation,"",167456
Norwest Mezzanine Partners,dynojet-research,https://api.crunchbase.com/v3.1/organizations/dynojet-research,"",175002
Norwest Mezzanine Partners,avail-medical-products,https://api.crunchbase.com/v3.1/organizations/avail-medical-products,"",180895
Norwest Mezzanine Partners,cosmetic-essence-innovations,https://api.crunchbase.com/v3.1/organizations/cosmetic-essence-innovations,"",117280
Norwest Mezzanine Partners,michaels-of-oregon,https://api.crunchbase.com/v3.1/organizations/michaels-of-oregon,"",622986
