Organization Name,Invested In,Api Url,Description,Rank
Nyca Partners,ethic-2,https://api.crunchbase.com/v3.1/organizations/ethic-2,"",2039
Nyca Partners,sheltr,https://api.crunchbase.com/v3.1/organizations/sheltr,"",5530
Nyca Partners,leapyear-technologies,https://api.crunchbase.com/v3.1/organizations/leapyear-technologies,"",39256
Nyca Partners,boomtown-inc,https://api.crunchbase.com/v3.1/organizations/boomtown-inc,"",8420
Nyca Partners,built-technologies-inc,https://api.crunchbase.com/v3.1/organizations/built-technologies-inc,"",2895
Nyca Partners,tribunat,https://api.crunchbase.com/v3.1/organizations/tribunat,"",9025
Nyca Partners,embroker,https://api.crunchbase.com/v3.1/organizations/embroker,"",2681
Nyca Partners,sentilink,https://api.crunchbase.com/v3.1/organizations/sentilink,"",5446
Nyca Partners,catchco,https://api.crunchbase.com/v3.1/organizations/catchco,"",3381
Nyca Partners,propel-4,https://api.crunchbase.com/v3.1/organizations/propel-4,"",2953
Nyca Partners,zero-financial,https://api.crunchbase.com/v3.1/organizations/zero-financial,"",1877
Nyca Partners,fluidly,https://api.crunchbase.com/v3.1/organizations/fluidly,"",3029
Nyca Partners,ribbon-f326,https://api.crunchbase.com/v3.1/organizations/ribbon-f326,"",2144
Nyca Partners,covr-financial-technologies,https://api.crunchbase.com/v3.1/organizations/covr-financial-technologies,"",7795
Nyca Partners,scratch-fi,https://api.crunchbase.com/v3.1/organizations/scratch-fi,"",39601
Nyca Partners,very-good-security,https://api.crunchbase.com/v3.1/organizations/very-good-security,"",5217
Nyca Partners,axoni,https://api.crunchbase.com/v3.1/organizations/axoni,"",2971
Nyca Partners,mines-io,https://api.crunchbase.com/v3.1/organizations/mines-io,"",6179
Nyca Partners,sigfig,https://api.crunchbase.com/v3.1/organizations/sigfig,"",2231
Nyca Partners,beanstalk-tax,https://api.crunchbase.com/v3.1/organizations/beanstalk-tax,"",1923
Nyca Partners,commonbond,https://api.crunchbase.com/v3.1/organizations/commonbond,"",1102
Nyca Partners,evercompliant,https://api.crunchbase.com/v3.1/organizations/evercompliant,"",6013
Nyca Partners,amino-2,https://api.crunchbase.com/v3.1/organizations/amino-2,"",58103
Nyca Partners,roofstock,https://api.crunchbase.com/v3.1/organizations/roofstock,"",1010
Nyca Partners,ladder-2,https://api.crunchbase.com/v3.1/organizations/ladder-2,"",2025
Nyca Partners,trueaccord,https://api.crunchbase.com/v3.1/organizations/trueaccord,"",3074
Nyca Partners,omnypay,https://api.crunchbase.com/v3.1/organizations/omnypay,"",13623
Nyca Partners,revolutioncredit,https://api.crunchbase.com/v3.1/organizations/revolutioncredit,"",14659
Nyca Partners,blend-labs,https://api.crunchbase.com/v3.1/organizations/blend-labs,"",285
Nyca Partners,acorns-grow,https://api.crunchbase.com/v3.1/organizations/acorns-grow,"",219
Nyca Partners,merlon-intelligence,https://api.crunchbase.com/v3.1/organizations/merlon-intelligence,"",10101
Nyca Partners,openfin,https://api.crunchbase.com/v3.1/organizations/openfin,"",2209
Nyca Partners,centrl-inc,https://api.crunchbase.com/v3.1/organizations/centrl-inc,"",80388
Nyca Partners,nova-credit,https://api.crunchbase.com/v3.1/organizations/nova-credit,"",28625
Nyca Partners,clearmatics,https://api.crunchbase.com/v3.1/organizations/clearmatics,"",9958
Nyca Partners,payrange,https://api.crunchbase.com/v3.1/organizations/payrange,"",8956
Nyca Partners,goveem,https://api.crunchbase.com/v3.1/organizations/goveem,"",2884
Nyca Partners,fundbox,https://api.crunchbase.com/v3.1/organizations/fundbox,"",1139
Nyca Partners,payoneer,https://api.crunchbase.com/v3.1/organizations/payoneer,"",826
