Organization Name,Invested In,Api Url,Description,Rank
Oak HC/FT,ocrolus,https://api.crunchbase.com/v3.1/organizations/ocrolus,"",1005
Oak HC/FT,galileo-health,https://api.crunchbase.com/v3.1/organizations/galileo-health,"",71974
Oak HC/FT,the-pagaya-group,https://api.crunchbase.com/v3.1/organizations/the-pagaya-group,"",3693
Oak HC/FT,unite-us,https://api.crunchbase.com/v3.1/organizations/unite-us,"",2199
Oak HC/FT,kryon-systems,https://api.crunchbase.com/v3.1/organizations/kryon-systems,"",2208
Oak HC/FT,withme-health,https://api.crunchbase.com/v3.1/organizations/withme-health,"",10987
Oak HC/FT,hometeam-0827,https://api.crunchbase.com/v3.1/organizations/hometeam-0827,"",9658
Oak HC/FT,oncology-analytics,https://api.crunchbase.com/v3.1/organizations/oncology-analytics,"",8548
Oak HC/FT,devoted-health,https://api.crunchbase.com/v3.1/organizations/devoted-health,"",22483
Oak HC/FT,maven-clinic,https://api.crunchbase.com/v3.1/organizations/maven-clinic,"",2170
Oak HC/FT,notable,https://api.crunchbase.com/v3.1/organizations/notable,"",5570
Oak HC/FT,crickethealth,https://api.crunchbase.com/v3.1/organizations/crickethealth,"",2975
Oak HC/FT,paladina-health,https://api.crunchbase.com/v3.1/organizations/paladina-health,"",8368
Oak HC/FT,crosschx,https://api.crunchbase.com/v3.1/organizations/crosschx,"",2982
Oak HC/FT,groundspeed-analytics,https://api.crunchbase.com/v3.1/organizations/groundspeed-analytics,"",6455
Oak HC/FT,therapy-brands,https://api.crunchbase.com/v3.1/organizations/therapy-brands,"",93613
Oak HC/FT,ooda-health,https://api.crunchbase.com/v3.1/organizations/ooda-health,"",5389
Oak HC/FT,nextcapital,https://api.crunchbase.com/v3.1/organizations/nextcapital,"",6012
Oak HC/FT,clara-analytics,https://api.crunchbase.com/v3.1/organizations/clara-analytics,"",5082
Oak HC/FT,quartet-health,https://api.crunchbase.com/v3.1/organizations/quartet-health,"",1272
Oak HC/FT,kasisto-inc,https://api.crunchbase.com/v3.1/organizations/kasisto-inc,"",3450
Oak HC/FT,trov,https://api.crunchbase.com/v3.1/organizations/trov,"",1771
Oak HC/FT,urjanet,https://api.crunchbase.com/v3.1/organizations/urjanet,"",8648
Oak HC/FT,leehar-distributors-inc,https://api.crunchbase.com/v3.1/organizations/leehar-distributors-inc,"",194387
Oak HC/FT,axial-healthcare,https://api.crunchbase.com/v3.1/organizations/axial-healthcare,"",11036
Oak HC/FT,aspire-health,https://api.crunchbase.com/v3.1/organizations/aspire-health,"",8733
Oak HC/FT,us-healthvest,https://api.crunchbase.com/v3.1/organizations/us-healthvest,"",9467
Oak HC/FT,maestro-healthcare-technology,https://api.crunchbase.com/v3.1/organizations/maestro-healthcare-technology,"",8157
Oak HC/FT,hometeam,https://api.crunchbase.com/v3.1/organizations/hometeam,"",5760
Oak HC/FT,digital-currency-group,https://api.crunchbase.com/v3.1/organizations/digital-currency-group,"",38893
Oak HC/FT,poynt,https://api.crunchbase.com/v3.1/organizations/poynt,"",1465
Oak HC/FT,insureon,https://api.crunchbase.com/v3.1/organizations/insureon,"",5600
Oak HC/FT,villagemd,https://api.crunchbase.com/v3.1/organizations/villagemd,"",4098
Oak HC/FT,core-informatics,https://api.crunchbase.com/v3.1/organizations/core-informatics,"",18794
Oak HC/FT,feedzai,https://api.crunchbase.com/v3.1/organizations/feedzai,"",1554
Oak HC/FT,fast-pay-partners,https://api.crunchbase.com/v3.1/organizations/fast-pay-partners,"",3633
Oak HC/FT,limeade,https://api.crunchbase.com/v3.1/organizations/limeade,"",2195
