Organization Name,Invested In,Api Url,Description,Rank
Oakhouse Partners,voatz,https://api.crunchbase.com/v3.1/organizations/voatz,"",4011
Oakhouse Partners,zipline-international,https://api.crunchbase.com/v3.1/organizations/zipline-international,"",1092
Oakhouse Partners,revenuecat,https://api.crunchbase.com/v3.1/organizations/revenuecat,"",13741
Oakhouse Partners,icon3d,https://api.crunchbase.com/v3.1/organizations/icon3d,"",13400
Oakhouse Partners,cobalt-robotics-inc,https://api.crunchbase.com/v3.1/organizations/cobalt-robotics-inc,"",15498
Oakhouse Partners,eshares,https://api.crunchbase.com/v3.1/organizations/eshares,"",12713
Oakhouse Partners,sherpa-6,https://api.crunchbase.com/v3.1/organizations/sherpa-6,"",140313
Oakhouse Partners,excision-biotherapeutics,https://api.crunchbase.com/v3.1/organizations/excision-biotherapeutics,"",14619
Oakhouse Partners,ibeat,https://api.crunchbase.com/v3.1/organizations/ibeat,"",6799
Oakhouse Partners,healthloop,https://api.crunchbase.com/v3.1/organizations/healthloop,"",8146
Oakhouse Partners,palantir-technologies,https://api.crunchbase.com/v3.1/organizations/palantir-technologies,"",2406
Oakhouse Partners,parasail-health,https://api.crunchbase.com/v3.1/organizations/parasail-health,"",91959
Oakhouse Partners,practice-fusion,https://api.crunchbase.com/v3.1/organizations/practice-fusion,"",28881
Oakhouse Partners,captiv8-2,https://api.crunchbase.com/v3.1/organizations/captiv8-2,"",10217
Oakhouse Partners,blyncsy,https://api.crunchbase.com/v3.1/organizations/blyncsy,"",21736
Oakhouse Partners,savonix,https://api.crunchbase.com/v3.1/organizations/savonix,"",6057
Oakhouse Partners,simplecitizen,https://api.crunchbase.com/v3.1/organizations/simplecitizen,"",24360
Oakhouse Partners,molio,https://api.crunchbase.com/v3.1/organizations/molio,"",42300
Oakhouse Partners,vidi,https://api.crunchbase.com/v3.1/organizations/vidi,"",55180
Oakhouse Partners,stem-centrx,https://api.crunchbase.com/v3.1/organizations/stem-centrx,"",7173
Oakhouse Partners,caredox,https://api.crunchbase.com/v3.1/organizations/caredox,"",4956
Oakhouse Partners,outbound-io,https://api.crunchbase.com/v3.1/organizations/outbound-io,"",30523
Oakhouse Partners,quid,https://api.crunchbase.com/v3.1/organizations/quid,"",1707
Oakhouse Partners,collectivehealth,https://api.crunchbase.com/v3.1/organizations/collectivehealth,"",130
Oakhouse Partners,plangrade,https://api.crunchbase.com/v3.1/organizations/plangrade,"",74566
Oakhouse Partners,lithiumtechnologies,https://api.crunchbase.com/v3.1/organizations/lithiumtechnologies,"",2113
Oakhouse Partners,medlert,https://api.crunchbase.com/v3.1/organizations/medlert,"",28012
Oakhouse Partners,joyent,https://api.crunchbase.com/v3.1/organizations/joyent,"",7518
Oakhouse Partners,chefs-feed,https://api.crunchbase.com/v3.1/organizations/chefs-feed,"",8829
Oakhouse Partners,leeo,https://api.crunchbase.com/v3.1/organizations/leeo,"",11123
Oakhouse Partners,parsable,https://api.crunchbase.com/v3.1/organizations/parsable,"",1433
Oakhouse Partners,pokitdok,https://api.crunchbase.com/v3.1/organizations/pokitdok,"",5085
Oakhouse Partners,3dplusme,https://api.crunchbase.com/v3.1/organizations/3dplusme,"",54523
Oakhouse Partners,space-monkey,https://api.crunchbase.com/v3.1/organizations/space-monkey,"",21618
Oakhouse Partners,yiftee,https://api.crunchbase.com/v3.1/organizations/yiftee,"",27523
Oakhouse Partners,synata,https://api.crunchbase.com/v3.1/organizations/synata,"",45671
Oakhouse Partners,trusted-insight,https://api.crunchbase.com/v3.1/organizations/trusted-insight,"",221
Oakhouse Partners,http-chargeback-com,https://api.crunchbase.com/v3.1/organizations/http-chargeback-com,"",13842
Oakhouse Partners,zestfinance,https://api.crunchbase.com/v3.1/organizations/zestfinance,"",1227
Oakhouse Partners,moneydesktop,https://api.crunchbase.com/v3.1/organizations/moneydesktop,"",463
Oakhouse Partners,propeller,https://api.crunchbase.com/v3.1/organizations/propeller,"",44577
Oakhouse Partners,internmatch,https://api.crunchbase.com/v3.1/organizations/internmatch,"",16044
Oakhouse Partners,ownerlistens,https://api.crunchbase.com/v3.1/organizations/ownerlistens,"",42291
Oakhouse Partners,seatme,https://api.crunchbase.com/v3.1/organizations/seatme,"",83237
Oakhouse Partners,posmetrics,https://api.crunchbase.com/v3.1/organizations/posmetrics,"",66308
Oakhouse Partners,facebook,https://api.crunchbase.com/v3.1/organizations/facebook,"",35
Oakhouse Partners,yammer,https://api.crunchbase.com/v3.1/organizations/yammer,"",3057
Oakhouse Partners,caplinked,https://api.crunchbase.com/v3.1/organizations/caplinked,"",13680
Oakhouse Partners,orabrush,https://api.crunchbase.com/v3.1/organizations/orabrush,"",55136
Oakhouse Partners,robotex,https://api.crunchbase.com/v3.1/organizations/robotex,"",18443
Oakhouse Partners,zynga,https://api.crunchbase.com/v3.1/organizations/zynga,"",319
Oakhouse Partners,sugarcrm,https://api.crunchbase.com/v3.1/organizations/sugarcrm,"",1079
Oakhouse Partners,slide,https://api.crunchbase.com/v3.1/organizations/slide,"",79420
