Organization Name,Invested In,Api Url,Description,Rank
Obvious Ventures,recursion-pharmaceuticals,https://api.crunchbase.com/v3.1/organizations/recursion-pharmaceuticals,"",125
Obvious Ventures,lyric,https://api.crunchbase.com/v3.1/organizations/lyric,"",14322
Obvious Ventures,devoted-health,https://api.crunchbase.com/v3.1/organizations/devoted-health,"",22483
Obvious Ventures,myro,https://api.crunchbase.com/v3.1/organizations/myro,"",9067
Obvious Ventures,plant-prefab,https://api.crunchbase.com/v3.1/organizations/plant-prefab,"",6535
Obvious Ventures,darwinai,https://api.crunchbase.com/v3.1/organizations/darwinai,"",8831
Obvious Ventures,amply-power-inc,https://api.crunchbase.com/v3.1/organizations/amply-power-inc,"",86158
Obvious Ventures,good-eggs,https://api.crunchbase.com/v3.1/organizations/good-eggs,"",1497
Obvious Ventures,xpertsea-solutions,https://api.crunchbase.com/v3.1/organizations/xpertsea-solutions,"",13105
Obvious Ventures,tentrr,https://api.crunchbase.com/v3.1/organizations/tentrr,"",8879
Obvious Ventures,virta,https://api.crunchbase.com/v3.1/organizations/virta,"",1758
Obvious Ventures,joy-3,https://api.crunchbase.com/v3.1/organizations/joy-3,"",5987
Obvious Ventures,visor,https://api.crunchbase.com/v3.1/organizations/visor,"",5767
Obvious Ventures,fair,https://api.crunchbase.com/v3.1/organizations/fair,"",721
Obvious Ventures,lilium-aviation,https://api.crunchbase.com/v3.1/organizations/lilium-aviation,"",2050
Obvious Ventures,enbala-power-networks,https://api.crunchbase.com/v3.1/organizations/enbala-power-networks,"",7343
Obvious Ventures,incredible-health,https://api.crunchbase.com/v3.1/organizations/incredible-health,"",68534
Obvious Ventures,learners-guild,https://api.crunchbase.com/v3.1/organizations/learners-guild,"",46426
Obvious Ventures,miyoko-s-kitchen,https://api.crunchbase.com/v3.1/organizations/miyoko-s-kitchen,"",13841
Obvious Ventures,proterra,https://api.crunchbase.com/v3.1/organizations/proterra,"",1470
Obvious Ventures,seurat,https://api.crunchbase.com/v3.1/organizations/seurat,"",23786
Obvious Ventures,zymergen,https://api.crunchbase.com/v3.1/organizations/zymergen,"",1769
Obvious Ventures,solar-mosaic,https://api.crunchbase.com/v3.1/organizations/solar-mosaic,"",2560
Obvious Ventures,solstice-2,https://api.crunchbase.com/v3.1/organizations/solstice-2,"",11368
Obvious Ventures,workpop,https://api.crunchbase.com/v3.1/organizations/workpop,"",9188
Obvious Ventures,newco-3,https://api.crunchbase.com/v3.1/organizations/newco-3,"",10047
Obvious Ventures,flux-factory,https://api.crunchbase.com/v3.1/organizations/flux-factory,"",8020
Obvious Ventures,gusto,https://api.crunchbase.com/v3.1/organizations/gusto,"",37
Obvious Ventures,diamond-foundry,https://api.crunchbase.com/v3.1/organizations/diamond-foundry,"",2086
Obvious Ventures,sighten,https://api.crunchbase.com/v3.1/organizations/sighten,"",16790
Obvious Ventures,beyond-meat,https://api.crunchbase.com/v3.1/organizations/beyond-meat,"",10
Obvious Ventures,happiest-baby,https://api.crunchbase.com/v3.1/organizations/happiest-baby,"",3105
Obvious Ventures,medium,https://api.crunchbase.com/v3.1/organizations/medium,"",164
Obvious Ventures,maker-media,https://api.crunchbase.com/v3.1/organizations/maker-media,"",9829
Obvious Ventures,enervee,https://api.crunchbase.com/v3.1/organizations/enervee,"",13063
Obvious Ventures,metabiota,https://api.crunchbase.com/v3.1/organizations/metabiota,"",6634
Obvious Ventures,visual-supply-co-vsco,https://api.crunchbase.com/v3.1/organizations/visual-supply-co-vsco,"",12675
Obvious Ventures,lift-worldwide,https://api.crunchbase.com/v3.1/organizations/lift-worldwide,"",8800
Obvious Ventures,change-org,https://api.crunchbase.com/v3.1/organizations/change-org,"",4194
Obvious Ventures,loup,https://api.crunchbase.com/v3.1/organizations/loup,"",45093
Obvious Ventures,breezeworks,https://api.crunchbase.com/v3.1/organizations/breezeworks,"",21251
Obvious Ventures,magic-leap,https://api.crunchbase.com/v3.1/organizations/magic-leap,"",2247
Obvious Ventures,snap-ship,https://api.crunchbase.com/v3.1/organizations/snap-ship,"",21389
Obvious Ventures,urban-remedy,https://api.crunchbase.com/v3.1/organizations/urban-remedy,"",7662
Obvious Ventures,findery,https://api.crunchbase.com/v3.1/organizations/findery,"",24612
Obvious Ventures,open-places,https://api.crunchbase.com/v3.1/organizations/open-places,"",61897
