Organization Name,Invested In,Api Url,Description,Rank
Oreilly AlphaTech Ventures,hipcamp,https://api.crunchbase.com/v3.1/organizations/hipcamp,"",185
Oreilly AlphaTech Ventures,fetch-robotics,https://api.crunchbase.com/v3.1/organizations/fetch-robotics,"",5011
Oreilly AlphaTech Ventures,riffyn,https://api.crunchbase.com/v3.1/organizations/riffyn,"",4424
Oreilly AlphaTech Ventures,sight-machine,https://api.crunchbase.com/v3.1/organizations/sight-machine,"",2228
Oreilly AlphaTech Ventures,signal-sciences,https://api.crunchbase.com/v3.1/organizations/signal-sciences,"",989
Oreilly AlphaTech Ventures,scroll,https://api.crunchbase.com/v3.1/organizations/scroll,"",5968
Oreilly AlphaTech Ventures,fixer-0bd1,https://api.crunchbase.com/v3.1/organizations/fixer-0bd1,"",57040
Oreilly AlphaTech Ventures,opensignalmaps,https://api.crunchbase.com/v3.1/organizations/opensignalmaps,"",19843
Oreilly AlphaTech Ventures,fastly,https://api.crunchbase.com/v3.1/organizations/fastly,"",831
Oreilly AlphaTech Ventures,chairish,https://api.crunchbase.com/v3.1/organizations/chairish,"",7605
Oreilly AlphaTech Ventures,particle-3,https://api.crunchbase.com/v3.1/organizations/particle-3,"",2234
Oreilly AlphaTech Ventures,gethuman,https://api.crunchbase.com/v3.1/organizations/gethuman,"",21245
Oreilly AlphaTech Ventures,imzy,https://api.crunchbase.com/v3.1/organizations/imzy,"",47651
Oreilly AlphaTech Ventures,origin-5,https://api.crunchbase.com/v3.1/organizations/origin-5,"",6801
Oreilly AlphaTech Ventures,automat,https://api.crunchbase.com/v3.1/organizations/automat,"",9446
Oreilly AlphaTech Ventures,netki-inc,https://api.crunchbase.com/v3.1/organizations/netki-inc,"",16389
Oreilly AlphaTech Ventures,expanse-inc,https://api.crunchbase.com/v3.1/organizations/expanse-inc,"",990
Oreilly AlphaTech Ventures,haven,https://api.crunchbase.com/v3.1/organizations/haven,"",3196
Oreilly AlphaTech Ventures,science-exchange,https://api.crunchbase.com/v3.1/organizations/science-exchange,"",4296
Oreilly AlphaTech Ventures,seeclickfix,https://api.crunchbase.com/v3.1/organizations/seeclickfix,"",22048
Oreilly AlphaTech Ventures,curbside,https://api.crunchbase.com/v3.1/organizations/curbside,"",2404
Oreilly AlphaTech Ventures,maker-media,https://api.crunchbase.com/v3.1/organizations/maker-media,"",9825
Oreilly AlphaTech Ventures,tapster-robotics-inc,https://api.crunchbase.com/v3.1/organizations/tapster-robotics-inc,"",75158
Oreilly AlphaTech Ventures,sherpaa,https://api.crunchbase.com/v3.1/organizations/sherpaa,"",11314
Oreilly AlphaTech Ventures,3d-robotics,https://api.crunchbase.com/v3.1/organizations/3d-robotics,"",1282
Oreilly AlphaTech Ventures,planet-labs,https://api.crunchbase.com/v3.1/organizations/planet-labs,"",63
Oreilly AlphaTech Ventures,timehop,https://api.crunchbase.com/v3.1/organizations/timehop,"",9146
Oreilly AlphaTech Ventures,pay-with-cover,https://api.crunchbase.com/v3.1/organizations/pay-with-cover,"",9096
Oreilly AlphaTech Ventures,makespace,https://api.crunchbase.com/v3.1/organizations/makespace,"",2315
Oreilly AlphaTech Ventures,see-me-group,https://api.crunchbase.com/v3.1/organizations/see-me-group,"",43030
Oreilly AlphaTech Ventures,misfit-wearables,https://api.crunchbase.com/v3.1/organizations/misfit-wearables,"",3684
Oreilly AlphaTech Ventures,littlebits-electronics,https://api.crunchbase.com/v3.1/organizations/littlebits-electronics,"",4854
Oreilly AlphaTech Ventures,pathintelligence,https://api.crunchbase.com/v3.1/organizations/pathintelligence,"",116566
Oreilly AlphaTech Ventures,learnzillion,https://api.crunchbase.com/v3.1/organizations/learnzillion,"",10884
Oreilly AlphaTech Ventures,foursquare,https://api.crunchbase.com/v3.1/organizations/foursquare,"",1607
Oreilly AlphaTech Ventures,cidera,https://api.crunchbase.com/v3.1/organizations/cidera,"",42207
Oreilly AlphaTech Ventures,thebench,https://api.crunchbase.com/v3.1/organizations/thebench,"",116173
Oreilly AlphaTech Ventures,betabrand,https://api.crunchbase.com/v3.1/organizations/betabrand,"",7608
Oreilly AlphaTech Ventures,bitly,https://api.crunchbase.com/v3.1/organizations/bitly,"",3044
Oreilly AlphaTech Ventures,jirafe,https://api.crunchbase.com/v3.1/organizations/jirafe,"",33163
Oreilly AlphaTech Ventures,peerj,https://api.crunchbase.com/v3.1/organizations/peerj,"",74077
Oreilly AlphaTech Ventures,codecademy,https://api.crunchbase.com/v3.1/organizations/codecademy,"",2847
Oreilly AlphaTech Ventures,satisfaction,https://api.crunchbase.com/v3.1/organizations/satisfaction,"",22229
Oreilly AlphaTech Ventures,fidelis,https://api.crunchbase.com/v3.1/organizations/fidelis,"",14398
