Organization Name,Invested In,Api Url,Description,Rank
Otter Rock Capital,tripping,https://api.crunchbase.com/v3.1/organizations/tripping,"",5497
Otter Rock Capital,ando,https://api.crunchbase.com/v3.1/organizations/ando,"",20468
Otter Rock Capital,vacatia,https://api.crunchbase.com/v3.1/organizations/vacatia,"",14682
Otter Rock Capital,rinse,https://api.crunchbase.com/v3.1/organizations/rinse,"",2893
Otter Rock Capital,rentlytics,https://api.crunchbase.com/v3.1/organizations/rentlytics,"",7897
Otter Rock Capital,earnest,https://api.crunchbase.com/v3.1/organizations/earnest,"",1317
Otter Rock Capital,clutter,https://api.crunchbase.com/v3.1/organizations/clutter,"",487
Otter Rock Capital,monica-andy,https://api.crunchbase.com/v3.1/organizations/monica-andy,"",10248
Otter Rock Capital,common-2,https://api.crunchbase.com/v3.1/organizations/common-2,"",2287
Otter Rock Capital,one-month-rails,https://api.crunchbase.com/v3.1/organizations/one-month-rails,"",19319
Otter Rock Capital,score-beyond,https://api.crunchbase.com/v3.1/organizations/score-beyond,"",19730
Otter Rock Capital,policy-genius,https://api.crunchbase.com/v3.1/organizations/policy-genius,"",645
Otter Rock Capital,shipbob,https://api.crunchbase.com/v3.1/organizations/shipbob,"",1792
Otter Rock Capital,bright-md,https://api.crunchbase.com/v3.1/organizations/bright-md,"",8896
Otter Rock Capital,stratimsystems,https://api.crunchbase.com/v3.1/organizations/stratimsystems,"",10383
Otter Rock Capital,radpad,https://api.crunchbase.com/v3.1/organizations/radpad,"",12777
Otter Rock Capital,chobolabs,https://api.crunchbase.com/v3.1/organizations/chobolabs,"",22914
Otter Rock Capital,getable,https://api.crunchbase.com/v3.1/organizations/getable,"",11100
Otter Rock Capital,masterclass,https://api.crunchbase.com/v3.1/organizations/masterclass,"",69
Otter Rock Capital,woven-digital,https://api.crunchbase.com/v3.1/organizations/woven-digital,"",14969
Otter Rock Capital,breeze-4,https://api.crunchbase.com/v3.1/organizations/breeze-4,"",15645
Otter Rock Capital,capshare,https://api.crunchbase.com/v3.1/organizations/capshare,"",10971
Otter Rock Capital,moviepass,https://api.crunchbase.com/v3.1/organizations/moviepass,"",8045
Otter Rock Capital,interior-define,https://api.crunchbase.com/v3.1/organizations/interior-define,"",3621
Otter Rock Capital,assetavenue,https://api.crunchbase.com/v3.1/organizations/assetavenue,"",19785
Otter Rock Capital,the-bouqs-company,https://api.crunchbase.com/v3.1/organizations/the-bouqs-company,"",3982
Otter Rock Capital,carbon38,https://api.crunchbase.com/v3.1/organizations/carbon38,"",33541
Otter Rock Capital,smartasset,https://api.crunchbase.com/v3.1/organizations/smartasset,"",492
Otter Rock Capital,pillow,https://api.crunchbase.com/v3.1/organizations/pillow,"",4458
Otter Rock Capital,aloha,https://api.crunchbase.com/v3.1/organizations/aloha,"",8473
Otter Rock Capital,womply,https://api.crunchbase.com/v3.1/organizations/womply,"",2385
Otter Rock Capital,dollar-shave-club,https://api.crunchbase.com/v3.1/organizations/dollar-shave-club,"",150
Otter Rock Capital,able,https://api.crunchbase.com/v3.1/organizations/able,"",10344
Otter Rock Capital,buildzoom,https://api.crunchbase.com/v3.1/organizations/buildzoom,"",3853
Otter Rock Capital,philz-coffee,https://api.crunchbase.com/v3.1/organizations/philz-coffee,"",1860
Otter Rock Capital,lark,https://api.crunchbase.com/v3.1/organizations/lark,"",1936
Otter Rock Capital,bonobos,https://api.crunchbase.com/v3.1/organizations/bonobos,"",1018
