Organization Name,Invested In,Api Url,Description,Rank
Peak Ventures,spiff-8d22,https://api.crunchbase.com/v3.1/organizations/spiff-8d22,"",8679
Peak Ventures,qwick,https://api.crunchbase.com/v3.1/organizations/qwick,"",7652
Peak Ventures,filevine,https://api.crunchbase.com/v3.1/organizations/filevine,"",9416
Peak Ventures,mosyle,https://api.crunchbase.com/v3.1/organizations/mosyle,"",10643
Peak Ventures,strala,https://api.crunchbase.com/v3.1/organizations/strala,"",13026
Peak Ventures,clientsuccess,https://api.crunchbase.com/v3.1/organizations/clientsuccess,"",8220
Peak Ventures,divvy-7ad9,https://api.crunchbase.com/v3.1/organizations/divvy-7ad9,"",6384
Peak Ventures,neiybor,https://api.crunchbase.com/v3.1/organizations/neiybor,"",49110
Peak Ventures,cake-technologies-inc,https://api.crunchbase.com/v3.1/organizations/cake-technologies-inc,"",11673
Peak Ventures,equitysim,https://api.crunchbase.com/v3.1/organizations/equitysim,"",21771
Peak Ventures,marketware,https://api.crunchbase.com/v3.1/organizations/marketware,"",13901
Peak Ventures,sales-rabbit,https://api.crunchbase.com/v3.1/organizations/sales-rabbit,"",14770
Peak Ventures,demochimp,https://api.crunchbase.com/v3.1/organizations/demochimp,"",12928
Peak Ventures,zipbooks,https://api.crunchbase.com/v3.1/organizations/zipbooks,"",18768
Peak Ventures,homie-3,https://api.crunchbase.com/v3.1/organizations/homie-3,"",4923
Peak Ventures,clearvoice,https://api.crunchbase.com/v3.1/organizations/clearvoice,"",14401
Peak Ventures,weave,https://api.crunchbase.com/v3.1/organizations/weave,"",24913
Peak Ventures,omadi,https://api.crunchbase.com/v3.1/organizations/omadi,"",13379
Peak Ventures,creditera,https://api.crunchbase.com/v3.1/organizations/creditera,"",2521
Peak Ventures,eventboard,https://api.crunchbase.com/v3.1/organizations/eventboard,"",4890
Peak Ventures,campuslogic,https://api.crunchbase.com/v3.1/organizations/campuslogic,"",2900
Peak Ventures,molio,https://api.crunchbase.com/v3.1/organizations/molio,"",42300
Peak Ventures,vidi,https://api.crunchbase.com/v3.1/organizations/vidi,"",55180
Peak Ventures,owlet,https://api.crunchbase.com/v3.1/organizations/owlet,"",2917
Peak Ventures,tute-genomics,https://api.crunchbase.com/v3.1/organizations/tute-genomics,"",25854
Peak Ventures,observepoint,https://api.crunchbase.com/v3.1/organizations/observepoint,"",7189
Peak Ventures,hit-labs,https://api.crunchbase.com/v3.1/organizations/hit-labs,"",35295
Peak Ventures,lendio,https://api.crunchbase.com/v3.1/organizations/lendio,"",24528
Peak Ventures,degreed,https://api.crunchbase.com/v3.1/organizations/degreed,"",2838
Peak Ventures,plangrade,https://api.crunchbase.com/v3.1/organizations/plangrade,"",74566
Peak Ventures,pillow,https://api.crunchbase.com/v3.1/organizations/pillow,"",4458
Peak Ventures,studio,https://api.crunchbase.com/v3.1/organizations/studio,"",31761
Peak Ventures,converus,https://api.crunchbase.com/v3.1/organizations/converus,"",28219
Peak Ventures,moneydesktop,https://api.crunchbase.com/v3.1/organizations/moneydesktop,"",463
Peak Ventures,kpi-fire,https://api.crunchbase.com/v3.1/organizations/kpi-fire,"",173715
Peak Ventures,grasswire,https://api.crunchbase.com/v3.1/organizations/grasswire,"",36658
Peak Ventures,andela,https://api.crunchbase.com/v3.1/organizations/andela,"",804
Peak Ventures,true-science,https://api.crunchbase.com/v3.1/organizations/true-science,"",195062
Peak Ventures,chatads,https://api.crunchbase.com/v3.1/organizations/chatads,"",343444
Peak Ventures,podium-2,https://api.crunchbase.com/v3.1/organizations/podium-2,"",1723
Peak Ventures,screenie,https://api.crunchbase.com/v3.1/organizations/screenie,"",89451
Peak Ventures,meter-solutions,https://api.crunchbase.com/v3.1/organizations/meter-solutions,"",250330
