Organization Name,Invested In,Api Url,Description,Rank
Pegasus Tech Ventures,leuko-labs-inc,https://api.crunchbase.com/v3.1/organizations/leuko-labs-inc,"",6304
Pegasus Tech Ventures,monstar-lab,https://api.crunchbase.com/v3.1/organizations/monstar-lab,"",10462
Pegasus Tech Ventures,aeye-inc,https://api.crunchbase.com/v3.1/organizations/aeye-inc,"",2098
Pegasus Tech Ventures,loonify-space,https://api.crunchbase.com/v3.1/organizations/loonify-space,"",86186
Pegasus Tech Ventures,docbot,https://api.crunchbase.com/v3.1/organizations/docbot,"",90228
Pegasus Tech Ventures,ampup,https://api.crunchbase.com/v3.1/organizations/ampup,"",75424
Pegasus Tech Ventures,life-is-tech,https://api.crunchbase.com/v3.1/organizations/life-is-tech,"",45692
Pegasus Tech Ventures,superb-ai,https://api.crunchbase.com/v3.1/organizations/superb-ai,"",8324
Pegasus Tech Ventures,infradigital-nusantara,https://api.crunchbase.com/v3.1/organizations/infradigital-nusantara,"",103367
Pegasus Tech Ventures,star-festival,https://api.crunchbase.com/v3.1/organizations/star-festival,"",31031
Pegasus Tech Ventures,snark-ai,https://api.crunchbase.com/v3.1/organizations/snark-ai,"",13590
Pegasus Tech Ventures,div,https://api.crunchbase.com/v3.1/organizations/div,"",277736
Pegasus Tech Ventures,awantunai,https://api.crunchbase.com/v3.1/organizations/awantunai,"",13791
Pegasus Tech Ventures,d-id,https://api.crunchbase.com/v3.1/organizations/d-id,"",42185
Pegasus Tech Ventures,moka,https://api.crunchbase.com/v3.1/organizations/moka,"",2658
Pegasus Tech Ventures,fleetrover,https://api.crunchbase.com/v3.1/organizations/fleetrover,"",21877
Pegasus Tech Ventures,ritase,https://api.crunchbase.com/v3.1/organizations/ritase,"",3107
Pegasus Tech Ventures,vicarious-systems-inc,https://api.crunchbase.com/v3.1/organizations/vicarious-systems-inc,"",2712
Pegasus Tech Ventures,rain-neuromorphics,https://api.crunchbase.com/v3.1/organizations/rain-neuromorphics,"",76004
Pegasus Tech Ventures,matakota,https://api.crunchbase.com/v3.1/organizations/matakota,"",60015
Pegasus Tech Ventures,tamr,https://api.crunchbase.com/v3.1/organizations/tamr,"",2083
Pegasus Tech Ventures,qc-ware,https://api.crunchbase.com/v3.1/organizations/qc-ware,"",8933
Pegasus Tech Ventures,ononpay-vietnam,https://api.crunchbase.com/v3.1/organizations/ononpay-vietnam,"",25353
Pegasus Tech Ventures,playable-3,https://api.crunchbase.com/v3.1/organizations/playable-3,"",134157
Pegasus Tech Ventures,ahlijasa,https://api.crunchbase.com/v3.1/organizations/ahlijasa,"",39041
Pegasus Tech Ventures,populix,https://api.crunchbase.com/v3.1/organizations/populix,"",139268
Pegasus Tech Ventures,homade,https://api.crunchbase.com/v3.1/organizations/homade,"",280974
Pegasus Tech Ventures,bookslife,https://api.crunchbase.com/v3.1/organizations/bookslife,"",414424
Pegasus Tech Ventures,travelio,https://api.crunchbase.com/v3.1/organizations/travelio,"",9932
Pegasus Tech Ventures,if-this-then-that,https://api.crunchbase.com/v3.1/organizations/if-this-then-that,"",1403
Pegasus Tech Ventures,app-annie,https://api.crunchbase.com/v3.1/organizations/app-annie,"",481
Pegasus Tech Ventures,terra-motors,https://api.crunchbase.com/v3.1/organizations/terra-motors,"",25518
Pegasus Tech Ventures,blue-frog-robotics-2,https://api.crunchbase.com/v3.1/organizations/blue-frog-robotics-2,"",29394
Pegasus Tech Ventures,aos-mobile,https://api.crunchbase.com/v3.1/organizations/aos-mobile,"",59888
Pegasus Tech Ventures,darmiyan,https://api.crunchbase.com/v3.1/organizations/darmiyan,"",18408
Pegasus Tech Ventures,panen,https://api.crunchbase.com/v3.1/organizations/panen,"",678376
Pegasus Tech Ventures,sikad,https://api.crunchbase.com/v3.1/organizations/sikad,"",261779
Pegasus Tech Ventures,simplidots,https://api.crunchbase.com/v3.1/organizations/simplidots,"",184026
Pegasus Tech Ventures,plomo-group,https://api.crunchbase.com/v3.1/organizations/plomo-group,"",300847
Pegasus Tech Ventures,sticar,https://api.crunchbase.com/v3.1/organizations/sticar,"",58655
Pegasus Tech Ventures,color-genomics,https://api.crunchbase.com/v3.1/organizations/color-genomics,"",1410
Pegasus Tech Ventures,x-ai,https://api.crunchbase.com/v3.1/organizations/x-ai,"",3202
Pegasus Tech Ventures,pomona-c008,https://api.crunchbase.com/v3.1/organizations/pomona-c008,"",4112
Pegasus Tech Ventures,bulletin,https://api.crunchbase.com/v3.1/organizations/bulletin,"",943
Pegasus Tech Ventures,turingsense,https://api.crunchbase.com/v3.1/organizations/turingsense,"",20306
Pegasus Tech Ventures,multiply-labs,https://api.crunchbase.com/v3.1/organizations/multiply-labs,"",12764
Pegasus Tech Ventures,osaro,https://api.crunchbase.com/v3.1/organizations/osaro,"",5339
Pegasus Tech Ventures,unifa,https://api.crunchbase.com/v3.1/organizations/unifa,"",35878
Pegasus Tech Ventures,digicon-technologies,https://api.crunchbase.com/v3.1/organizations/digicon-technologies,"",291919
Pegasus Tech Ventures,millibatt,https://api.crunchbase.com/v3.1/organizations/millibatt,"",114733
Pegasus Tech Ventures,sinovia,https://api.crunchbase.com/v3.1/organizations/sinovia,"",20537
Pegasus Tech Ventures,sense-ly,https://api.crunchbase.com/v3.1/organizations/sense-ly,"",3209
Pegasus Tech Ventures,lark,https://api.crunchbase.com/v3.1/organizations/lark,"",1936
Pegasus Tech Ventures,fitnesia,https://api.crunchbase.com/v3.1/organizations/fitnesia,"",175962
Pegasus Tech Ventures,halohola,https://api.crunchbase.com/v3.1/organizations/halohola,"",684570
Pegasus Tech Ventures,pesanlab,https://api.crunchbase.com/v3.1/organizations/pesanlab,"",139148
Pegasus Tech Ventures,poplegal,https://api.crunchbase.com/v3.1/organizations/poplegal,"",298617
Pegasus Tech Ventures,buka-pintu,https://api.crunchbase.com/v3.1/organizations/buka-pintu,"",290448
Pegasus Tech Ventures,metaps,https://api.crunchbase.com/v3.1/organizations/metaps,"",21179
Pegasus Tech Ventures,blockstream,https://api.crunchbase.com/v3.1/organizations/blockstream,"",11050
Pegasus Tech Ventures,money-design-co-ltd,https://api.crunchbase.com/v3.1/organizations/money-design-co-ltd,"",16832
Pegasus Tech Ventures,telectg,https://api.crunchbase.com/v3.1/organizations/telectg,"",51415
Pegasus Tech Ventures,money-forward,https://api.crunchbase.com/v3.1/organizations/money-forward,"",8755
Pegasus Tech Ventures,jojonomic,https://api.crunchbase.com/v3.1/organizations/jojonomic,"",15350
Pegasus Tech Ventures,exvivo-labs,https://api.crunchbase.com/v3.1/organizations/exvivo-labs,"",46193
Pegasus Tech Ventures,sano-intelligence,https://api.crunchbase.com/v3.1/organizations/sano-intelligence,"",7643
Pegasus Tech Ventures,talenta,https://api.crunchbase.com/v3.1/organizations/talenta,"",39850
Pegasus Tech Ventures,ossia,https://api.crunchbase.com/v3.1/organizations/ossia,"",2908
Pegasus Tech Ventures,ajkerdeal,https://api.crunchbase.com/v3.1/organizations/ajkerdeal,"",103337
Pegasus Tech Ventures,klikdaily,https://api.crunchbase.com/v3.1/organizations/klikdaily,"",121227
Pegasus Tech Ventures,localbrand-asia,https://api.crunchbase.com/v3.1/organizations/localbrand-asia,"",345409
Pegasus Tech Ventures,xwork,https://api.crunchbase.com/v3.1/organizations/xwork,"",125260
Pegasus Tech Ventures,4doctor,https://api.crunchbase.com/v3.1/organizations/4doctor,"",294756
Pegasus Tech Ventures,affectiva,https://api.crunchbase.com/v3.1/organizations/affectiva,"",2249
